district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
01,01,11,01,3187,130,118,22,472,988,364,378,715,1537,1276
01,01,11,02,188,6,0,3,21,47,42,39,30,78,64
01,01,11,03,5192,256,347,124,627,1499,698,748,893,2390,1834
01,01,11,04,4685,300,390,140,881,1592,639,400,343,2145,1793
01,01,11,05,1180,77,56,24,90,357,214,182,180,563,492
01,01,12,01,2236,97,119,49,285,610,344,344,388,1055,801
01,01,12,02,620,18,52,6,63,206,119,68,88,265,235
01,01,12,03,1039,55,45,25,99,325,189,135,166,509,393
01,01,12,04,7707,378,372,112,728,2536,1084,932,1565,3795,2326
01,01,13,01,6611,439,367,63,649,2910,1016,596,571,3207,1940
01,01,13,02,12604,726,993,279,1125,4972,2382,1126,1001,6122,3296
01,01,13,03,9580,421,413,109,1214,3745,1249,892,1537,4513,3123
01,01,13,04,8598,448,483,161,790,2138,941,956,2681,4574,1994
01,01,13,05,7752,379,375,92,723,2438,1005,847,1893,3837,1811
01,01,13,06,9983,613,454,119,1354,3393,1434,1088,1528,4873,2805
01,01,14,01,16720,1175,1294,274,1626,7434,2720,1232,965,8177,4801
01,01,14,02,13423,1055,1015,186,1066,6329,2234,757,781,6685,3469
01,02,21,01,3577,226,206,59,665,1306,484,344,287,1614,1283
01,02,21,02,6446,357,412,136,1118,2357,823,644,599,2948,2617
01,02,21,03,252,16,46,3,16,92,32,23,24,112,128
01,02,21,04,18617,1008,1102,345,2872,6631,2491,2072,2096,8717,5875
01,02,21,05,5361,313,388,136,867,1922,686,523,526,2525,1968
01,02,21,06,11788,610,749,252,1419,3479,1799,1589,1891,5902,2605
01,02,22,01,11200,709,709,210,1928,4288,1398,948,1010,5214,3509
01,02,22,02,1517,92,164,63,231,429,225,146,167,762,500
01,02,22,03,7022,453,635,187,1038,2172,926,674,937,3462,2357
01,02,22,04,5896,318,348,83,707,1869,872,694,1005,2923,1491
01,02,22,05,3296,242,316,124,397,851,423,383,560,1587,1023
01,02,22,06,3016,153,211,36,336,951,482,409,438,1434,650
01,02,22,07,5673,200,251,90,989,1437,812,628,1266,2753,1775
01,03,31,01,26804,1991,2493,782,4200,9008,3372,2299,2659,12623,10922
01,03,31,02,12061,865,1068,332,1973,4060,1559,961,1243,5842,4687
01,03,32,01,13275,1045,1560,464,1630,3939,1688,1285,1664,6581,4031
01,03,32,02,9766,646,897,254,1064,2797,1299,1017,1792,4930,2611
01,03,32,03,14478,995,1286,429,2319,4944,1819,1213,1473,6723,5695
01,04,41,01,20653,1116,1367,407,2960,6454,2900,2357,3092,10017,6226
01,04,41,02,16322,897,955,291,1857,4520,2171,1925,3706,8388,3761
01,04,41,03,8575,507,522,178,1376,3208,1141,840,803,4063,3086
01,04,42,01,23791,1534,2084,714,4013,8037,3048,1979,2382,11121,10260
01,04,42,02,16719,963,1017,350,3115,6680,2013,1411,1170,7693,6698
01,04,42,03,16534,918,1216,368,2455,5686,2082,1595,2214,7742,6470
02,01,01,01,6291,370,501,189,1098,2159,830,580,564,2860,2636
02,01,01,02,13323,925,1430,430,1698,3947,1846,1301,1746,6625,4314
02,01,01,03,15477,1084,1593,518,2024,4501,2217,1506,2034,7589,5453
02,01,01,04,5068,288,575,208,609,1474,778,562,574,2515,1649
02,02,02,01,953,104,62,17,79,452,125,66,48,436,276
02,02,02,02,5939,379,459,159,706,2017,935,692,592,2845,1640
02,02,02,03,10895,719,727,181,1113,4087,1654,1279,1135,5347,2541
02,02,02,04,12377,740,805,256,1330,4685,1929,1426,1206,6002,3230
02,02,02,05,14834,834,972,352,1489,5216,2540,1916,1515,7332,3515
02,02,02,06,18943,1272,1421,405,1873,7252,2823,2133,1764,9422,5136
02,03,03,01,9075,472,714,255,1012,3196,1523,930,973,4354,3430
02,03,03,02,13162,739,995,330,1480,4817,2031,1421,1349,6303,4273
02,03,04,01,15161,923,1044,302,1568,6185,2303,1527,1309,7289,4754
02,03,04,02,11081,686,694,237,1202,4640,1676,1071,875,5366,3564
02,04,05,01,5428,251,382,90,372,1185,687,705,1756,2859,777
02,04,05,02,7209,423,394,98,718,2665,895,698,1318,3710,1192
02,04,05,03,11003,808,607,151,1018,4905,1323,843,1348,5493,1732
02,04,07,01,12374,705,685,221,1599,3871,1349,1208,2736,6334,2935
02,04,07,02,10709,634,646,160,963,4698,1484,863,1261,5214,1687
02,04,07,03,1165,100,105,27,220,558,67,64,24,500,686
02,05,06,01,8955,572,440,94,988,4804,1039,512,506,4197,1835
02,05,06,02,21272,1580,1343,295,2187,10987,2620,1278,982,10278,4095
02,05,08,01,19214,1256,1151,275,2303,10077,2199,1081,872,9147,4414
02,05,08,02,20487,1341,1075,247,2233,11320,2569,964,738,9751,4339
02,05,08,03,7142,503,314,86,804,3684,746,504,501,3384,1474
02,05,08,04,4323,417,388,100,266,1616,725,340,471,2065,547
03,01,01,01,3971,340,302,78,272,1223,611,523,622,1960,301
03,01,01,02,11774,782,993,281,970,2844,1367,1428,3109,6193,1152
03,01,01,04,231,12,24,6,21,101,41,15,11,99,31
03,02,02,03,2086,107,166,60,94,387,404,335,533,1049,31
03,02,02,09,14849,1046,1422,418,1208,3741,2752,1763,2499,7655,1252
03,02,02,10,11157,794,1050,300,732,2921,2079,1418,1863,5671,768
03,02,03,07,18157,1267,1714,570,1153,4416,3364,2602,3071,9265,826
03,03,04,05,11240,977,1148,308,865,3341,1612,1166,1823,5818,914
03,03,04,06,8231,417,660,274,506,1488,1611,1457,1818,4209,269
03,03,07,11,6825,357,575,188,388,1275,1367,1108,1567,3461,169
03,03,07,15,7408,430,571,211,589,1624,1429,1114,1440,3564,853
03,03,07,16,1142,40,81,15,53,161,223,218,351,573,22
03,04,05,08,4597,293,471,191,380,952,945,646,719,2292,281
03,04,05,12,9791,515,805,289,673,2229,1782,1283,2215,5100,588
03,04,05,13,3413,176,397,114,275,692,627,433,699,1759,224
03,04,06,14,35544,2651,3427,825,2378,10595,5728,3450,6490,18884,2583
03,04,08,18,34281,2301,2538,637,2558,11505,5226,3604,5912,17971,3224
03,05,09,19,5451,355,364,110,512,1544,854,611,1101,2747,768
03,05,09,20,7404,516,628,165,522,2177,1188,763,1445,3901,573
03,05,09,23,9227,698,632,153,880,3802,1323,858,881,4494,1168
03,05,09,24,5869,450,520,111,593,2301,894,523,477,2834,873
03,05,09,25,9635,820,984,267,680,3285,1594,823,1182,4960,1007
03,05,10,17,4244,269,282,87,443,1331,743,511,578,2043,573
03,05,10,21,6477,332,361,106,482,1727,856,655,1958,3472,479
03,05,10,22,4536,271,360,88,303,1084,710,584,1136,2459,161
03,06,11,26,15167,1017,1038,199,1615,6937,2316,930,1115,7379,2753
03,06,11,31,10543,805,783,147,1071,4838,1794,612,493,5182,2353
03,06,12,27,14534,895,902,203,1316,6463,2228,1004,1523,7486,2288
03,06,12,28,12592,622,585,160,1281,5130,1704,1103,2007,6429,1799
03,06,13,32,22619,1769,1952,438,1805,10014,4403,1350,888,11124,4382
03,06,14,29,10047,401,508,139,722,1965,1193,1050,4069,5436,855
03,06,14,30,3840,288,338,98,439,933,501,367,876,1834,1172
03,06,14,34,6301,464,371,98,577,2845,904,501,541,3158,1015
03,06,14,35,3893,214,248,66,401,1568,529,349,518,1947,678
03,06,14,41,2545,333,411,68,105,938,348,133,209,1290,313
03,07,15,36,10701,801,934,211,927,4574,2134,640,480,5267,2455
03,07,15,37,15606,1253,1345,328,1234,6373,2974,1211,888,7660,3596
03,07,16,33,3086,195,216,65,237,939,385,464,585,1537,516
03,07,16,38,17336,1353,1513,364,1513,7192,3096,1171,1134,8632,3414
03,07,16,39,12382,871,1352,258,893,4646,2509,948,905,6279,1974
04,01,01,01,10598,575,745,222,1039,2722,1448,1393,2454,5503,2659
04,01,01,02,1055,60,55,25,172,281,138,133,191,327,464
04,01,01,03,7846,534,658,221,735,1886,1127,894,1791,4149,2012
04,02,02,04,179,12,35,9,10,33,31,22,27,87,41
04,02,02,05,1342,55,111,37,150,241,210,193,345,675,209
04,02,02,06,2778,91,95,24,142,469,281,336,1340,1518,382
04,02,02,07,2553,95,183,74,205,505,470,319,702,1327,412
04,02,02,08,2916,122,324,111,203,398,557,357,844,1480,414
04,02,02,09,3207,117,269,102,678,647,384,356,654,1617,889
04,02,03,10,621,19,14,6,173,197,42,60,110,290,268
04,02,03,11,14848,598,973,350,1386,3086,2182,1817,4456,7680,2806
04,02,03,12,5516,300,356,117,454,1168,745,732,1644,2897,1085
04,02,03,13,7596,391,433,127,945,2085,1130,868,1617,3821,1962
04,02,03,14,329,28,13,12,147,102,12,9,6,41,326
04,03,04,15,2932,106,116,32,403,820,358,361,736,1472,1119
04,03,04,16,10670,659,821,271,1245,3003,1671,1422,1578,5497,2962
04,03,04,17,10950,600,729,226,1061,3081,1716,1413,2124,5733,2474
04,03,05,18,9411,439,476,146,1100,2862,1452,1311,1625,4809,2432
04,03,05,19,5759,311,356,96,706,1878,853,736,823,2815,1521
04,03,06,20,8714,422,463,159,894,2410,1306,1149,1911,4533,2203
04,03,06,21,3029,146,157,69,444,1063,458,321,371,1402,1021
04,03,06,22,10588,533,573,192,1116,2971,1554,1410,2239,5368,2856
04,03,06,23,4890,282,257,88,566,1530,665,525,977,2515,1558
04,03,07,24,6509,301,346,130,610,1579,942,901,1700,3547,1438
04,03,07,25,12258,592,816,293,1334,3405,2006,1715,2097,6176,3213
04,03,07,26,5560,243,323,123,469,1437,863,805,1297,2906,1451
04,03,08,27,12311,585,717,230,1461,3740,1872,1601,2105,6020,4259
04,03,08,28,9577,391,473,157,958,2659,1549,1415,1975,4838,2718
04,03,09,29,6027,277,338,96,535,1533,1013,883,1352,3089,1639
04,03,09,30,5619,248,321,117,465,1300,988,853,1327,2765,1593
04,03,09,31,4014,260,294,72,362,1103,574,517,832,1972,1683
04,03,10,32,15076,653,832,276,1324,3755,2296,2213,3727,7775,3546
04,04,11,33,39,0,3,0,3,6,6,12,9,18,3
04,04,11,34,5235,273,398,83,419,1082,776,661,1543,2695,1163
04,04,11,35,2762,118,188,72,175,427,424,406,952,1465,511
04,04,11,36,3038,129,216,61,206,535,447,422,1022,1610,558
04,04,11,37,8053,379,474,173,701,1911,1245,1092,2078,4317,1545
04,04,12,38,5972,276,524,148,450,1154,909,757,1754,3255,957
04,04,12,39,195,9,9,0,37,50,39,32,19,81,79
04,04,12,40,1511,55,124,63,86,203,249,190,541,827,200
04,04,12,41,6976,283,486,143,508,1255,1138,951,2212,3870,893
04,04,13,42,4132,146,187,54,247,765,597,705,1431,2223,723
04,04,13,43,3524,157,198,74,342,715,577,556,905,1891,547
04,04,13,44,10683,469,763,242,881,2156,1870,1479,2823,5802,1664
04,05,14,45,6279,293,381,128,651,1669,896,877,1384,3315,1449
04,05,14,46,10630,519,632,173,847,2535,1689,1560,2675,5462,2565
04,05,14,47,5268,220,288,98,481,1264,802,738,1377,2768,1267
04,05,14,48,9146,369,455,137,777,2329,1490,1305,2284,4613,2606
04,05,15,49,5312,392,472,126,771,1494,679,604,774,2599,1941
04,05,15,50,5569,263,355,104,665,1543,908,718,1013,2830,1278
04,05,15,51,4444,238,276,85,541,1218,655,595,836,2275,1056
04,05,16,52,9736,447,568,211,959,2240,1535,1425,2351,5124,2295
04,05,16,53,6851,294,405,137,584,1681,1068,955,1727,3477,1690
04,05,16,54,3035,102,128,55,277,760,443,403,867,1602,656
04,05,16,55,7016,351,474,155,767,1940,1060,908,1361,3573,1720
04,05,16,56,7648,393,568,178,802,2128,1221,999,1359,3955,1411
04,06,17,57,73,0,0,3,16,0,15,16,23,21,16
05,01,01,01,10826,658,839,295,1095,2556,1474,1272,2637,5564,1889
05,01,01,02,5915,239,300,112,578,1205,856,925,1700,3057,766
05,01,01,03,7654,328,492,188,735,1576,1197,1189,1949,3912,596
05,01,02,04,3339,219,358,117,316,627,407,377,918,1816,608
05,01,02,05,1925,73,170,70,262,358,458,332,202,976,194
05,01,02,06,10395,609,880,283,1016,2146,1457,1290,2714,5363,1787
05,01,02,07,11508,797,1159,365,1084,2551,1580,1457,2515,6028,2444
05,01,02,08,7675,522,501,168,844,2082,1176,959,1423,3985,1424
05,01,02,09,6102,279,410,195,553,1139,995,945,1586,3123,788
05,01,03,10,3927,284,277,83,469,1073,602,456,683,2040,778
05,01,03,11,5655,360,589,197,551,1207,659,533,1559,3028,1490
05,01,03,12,7147,512,655,203,994,2226,990,755,812,3332,2601
05,01,03,13,6734,430,509,181,925,1892,1047,879,871,3264,1590
05,01,03,14,12098,746,807,283,1430,3392,1808,1509,2123,6098,2489
