district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,10,01,01,2103,128,154,25,306,870,240,193,187,1025,1418
01,10,01,02,1214,64,92,21,130,553,140,126,88,571,903
01,10,01,03,3182,217,250,100,393,1132,370,322,398,1497,1940
01,10,01,04,3075,189,313,97,540,1135,353,245,203,1421,1835
01,10,02,05,1811,100,143,27,257,817,191,128,148,854,1344
01,10,02,06,971,82,81,25,73,435,137,79,59,487,663
01,10,02,07,4506,374,386,128,450,1954,507,343,364,2246,2952
01,10,03,08,3246,246,232,54,337,1691,367,176,143,1611,2306
01,10,03,09,5125,398,460,159,499,2369,714,340,186,2538,3330
01,10,03,10,5070,373,379,95,643,2495,536,339,210,2381,3634
01,10,03,11,4434,398,492,124,689,1672,468,288,303,2219,2909
01,10,03,12,4652,429,375,88,457,2279,490,290,244,2188,3093
01,10,03,13,5305,401,364,101,1153,2222,527,299,238,2621,3639
01,10,04,14,2998,351,299,56,251,1649,249,86,57,1519,2241
01,10,04,15,5308,389,513,131,568,2609,709,264,125,2682,3544
01,10,04,16,5438,501,531,115,475,2758,675,238,145,2768,3573
01,20,05,17,2190,179,238,89,257,862,226,196,143,1002,1528
01,20,05,18,4397,274,385,114,703,1684,540,375,322,1990,3037
01,20,05,19,4968,307,446,151,644,1887,651,429,453,2289,3369
01,20,05,20,4553,284,387,130,612,1630,577,511,422,2124,2766
01,20,05,21,3090,220,309,111,468,1039,411,280,252,1387,1951
01,20,05,22,4105,289,334,127,474,1570,491,371,449,2053,2307
01,20,06,23,5544,374,517,159,768,2159,692,479,396,2634,3385
01,20,06,24,4267,386,329,72,532,2337,326,147,138,2028,2985
01,20,06,25,4137,316,497,170,472,1290,562,362,468,2016,2331
01,20,06,26,2522,146,206,57,270,1022,351,225,245,1188,1518
01,20,06,27,2081,197,290,109,209,609,253,198,216,1026,1049
01,20,06,28,1424,125,113,45,132,613,174,124,98,689,770
01,20,06,29,2904,139,160,48,670,1176,276,195,240,1380,2029
01,30,07,30,5702,509,743,230,750,1797,731,492,450,2688,3722
01,30,07,31,5039,442,634,201,632,1686,638,478,328,2354,3235
01,30,07,32,6125,567,784,280,808,2067,730,477,412,2908,3888
01,30,07,33,7142,520,886,285,900,2393,997,601,560,3443,4382
01,30,08,34,9633,902,1441,462,948,2936,1206,872,866,4815,4422
01,30,08,35,6403,511,823,231,1022,1900,768,611,537,3163,3330
01,30,08,36,9585,713,1163,394,1330,3309,1251,767,658,4522,5888
01,40,09,37,5234,430,479,166,510,1909,708,528,504,2522,3159
01,40,09,38,5133,366,500,177,638,1989,614,452,397,2388,3291
01,40,09,39,3153,273,290,90,402,1198,407,281,212,1451,2196
01,40,09,40,2541,300,296,76,235,856,334,199,245,1307,1148
01,40,09,41,1753,163,173,53,186,582,214,196,186,846,972
01,40,09,42,4717,326,417,146,761,1739,605,432,291,2274,3214
01,40,10,43,5184,326,571,232,785,1495,732,580,463,2483,3157
01,40,10,44,6884,543,804,241,807,2485,917,596,491,3202,4449
01,40,10,45,4014,321,488,154,541,1347,530,363,270,1904,2468
01,40,10,46,4390,310,363,117,676,1768,505,374,277,2011,2789
01,40,10,47,5449,335,469,158,1100,2146,589,371,281,2448,3942
01,40,10,48,5587,330,512,175,871,2036,696,531,436,2601,3608
01,40,10,49,4028,289,416,134,440,1314,551,407,477,1926,2733
02,10,01,01,4364,317,453,165,486,1667,584,411,281,2108,2532
02,10,01,02,6138,471,782,292,706,1905,830,590,562,3079,3071
02,10,01,03,3418,288,451,154,322,1061,494,350,298,1678,1685
02,10,01,04,3891,316,489,164,420,1178,582,415,327,1919,2121
02,10,01,05,6779,513,823,277,665,2162,982,686,671,3339,3280
02,10,01,06,3263,211,401,154,369,986,475,354,313,1570,1622
02,20,02,07,922,102,127,23,63,428,78,41,60,417,532
02,20,02,08,2610,179,237,101,286,968,316,268,255,1254,1643
02,20,02,09,4476,382,410,105,426,1843,648,372,290,2149,2680
02,20,02,10,5373,375,424,128,566,2247,705,474,454,2573,3342
02,20,02,11,6228,427,458,184,700,2327,924,661,547,3072,3676
02,20,02,12,4338,318,490,163,452,1574,619,401,321,2105,2307
02,20,02,13,4652,279,403,133,446,2053,601,365,372,2287,2966
02,30,03,14,4574,232,394,159,449,1478,728,534,600,2177,2738
02,30,03,15,4888,311,446,184,518,1715,721,495,498,2335,2892
02,30,03,16,2089,106,177,67,169,798,311,218,243,1023,1248
02,30,04,17,4561,253,436,143,493,1795,622,389,430,2164,2811
02,30,04,18,3680,217,281,87,333,1572,541,317,332,1786,2282
02,30,04,19,5541,319,382,155,584,2337,786,486,492,2626,3580
02,40,05,20,2020,237,220,75,221,755,208,153,151,1028,1209
02,40,05,21,2794,259,283,78,300,1319,267,151,137,1379,1740
02,40,05,22,3457,365,295,62,324,1791,313,157,150,1736,2203
02,40,06,23,6435,646,587,162,1014,2759,568,356,343,3132,4199
02,40,06,24,4056,237,227,56,922,2000,319,147,148,1850,2947
02,40,06,25,754,37,95,30,79,435,48,30,0,353,653
02,50,07,26,3512,256,277,67,380,2035,267,156,74,1685,2471
02,50,07,27,2447,237,182,50,263,1312,233,73,97,1201,1683
02,50,07,28,3410,302,226,61,330,1988,308,127,68,1692,2394
02,50,07,29,1914,184,170,27,205,1031,161,76,60,926,1233
02,50,08,30,1572,126,94,25,209,877,155,52,34,780,1105
02,50,08,31,3079,260,241,54,363,1639,297,173,52,1493,2175
02,50,08,32,3915,409,309,64,426,2229,297,111,70,1873,2786
02,50,08,33,3951,307,160,35,476,2442,316,158,57,1878,2971
02,50,08,34,4112,343,266,52,524,2380,378,107,62,1963,2848
02,50,08,35,3235,282,213,24,406,1898,243,93,76,1497,2330
02,50,08,36,1170,180,133,21,74,504,125,65,68,586,540
03,10,01,01,831,102,98,22,81,346,87,36,59,344,520
03,10,01,02,885,113,101,25,130,348,74,39,55,418,669
03,10,01,03,1674,213,251,65,201,522,184,111,127,773,1204
03,20,02,04,199,24,38,3,13,50,28,9,34,86,105
03,20,02,05,1488,143,170,42,315,446,168,90,114,790,827
03,20,02,06,1335,141,176,46,221,436,147,95,73,682,858
03,20,02,07,2048,250,332,87,159,719,237,124,140,1040,1162
03,20,03,08,702,71,105,15,47,221,101,70,72,360,297
03,20,03,09,890,104,150,39,91,265,119,52,70,429,476
03,20,03,10,1286,131,212,86,87,373,149,96,152,677,560
03,30,04,11,2526,390,416,99,283,776,264,147,151,1269,1564
03,30,04,12,504,58,70,6,40,160,53,29,88,278,196
03,30,04,13,273,18,56,3,7,70,36,33,50,135,113
03,30,05,14,651,111,108,35,55,171,56,49,66,361,312
03,30,05,15,0,0,0,0,0,0,0,0,0,0,0
03,30,05,16,1765,181,259,50,251,657,186,89,92,780,1217
03,30,05,17,52,9,19,0,0,6,12,6,0,28,18
03,40,06,18,1073,106,172,60,81,306,137,118,93,534,368
03,40,06,19,2084,242,291,76,232,699,274,121,149,1071,1059
03,40,06,20,696,65,121,19,56,229,89,56,61,330,346
03,40,07,21,2538,301,371,74,228,986,321,150,107,1271,1383
03,40,07,22,601,61,103,38,34,193,71,25,76,313,280
03,40,07,23,1685,224,219,26,144,787,135,74,76,854,971
03,40,07,24,1105,171,122,23,131,403,119,58,78,606,614
03,40,07,25,1023,130,149,39,115,338,98,45,109,520,574
03,40,08,26,1492,164,195,40,197,639,134,57,66,748,1063
03,40,08,27,2412,237,219,50,227,1213,219,129,118,1186,1554
03,40,08,28,1246,133,99,9,107,698,102,41,57,614,871
03,40,08,29,1036,119,148,40,94,389,107,54,85,531,625
03,40,08,30,1575,182,159,49,136,701,175,94,79,804,942
03,40,08,31,0,0,0,0,0,0,0,0,0,0,0
03,50,09,32,1365,198,184,59,180,543,111,43,47,659,1080
03,50,09,33,1379,136,164,44,114,624,137,76,84,675,863
03,50,09,34,2854,318,274,64,264,1455,270,136,73,1369,1931
03,50,09,35,1814,202,200,39,201,832,205,74,61,878,1200
03,50,09,36,2205,270,306,71,235,907,210,117,89,1121,1432
03,50,10,37,1794,203,141,45,262,759,156,118,110,827,1231
03,50,10,38,1233,143,205,50,143,413,131,61,87,604,826
03,60,11,39,1340,132,118,26,157,672,131,69,35,643,889
03,60,11,40,1873,167,180,32,203,973,216,60,42,880,1241
