district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
01,10,01,01,3561,165,209,25,395,1271,375,403,718,1737,1542
01,10,01,02,2002,113,129,27,174,764,274,262,259,929,1090
01,10,01,03,5662,282,326,102,741,1791,653,747,1020,2661,2187
01,10,01,04,5029,260,397,137,801,1886,601,554,393,2316,2101
01,10,02,05,3009,147,178,52,390,1122,331,319,470,1426,1574
01,10,02,06,1915,100,112,41,190,652,280,248,292,932,745
01,10,02,07,8801,484,517,140,777,3259,1000,1040,1584,4321,3301
01,10,03,08,7384,441,476,115,674,3173,1046,711,748,3580,2547
01,10,03,09,12559,664,918,342,1214,4588,2124,1629,1080,6161,3580
01,10,03,10,10332,525,580,167,1108,4140,1250,1058,1504,4905,3970
01,10,03,11,9649,511,712,171,1181,2862,887,994,2331,4992,3296
01,10,03,12,10213,611,593,134,889,3934,1104,1084,1864,5020,3414
01,10,03,13,11160,605,689,177,1397,4040,1304,1233,1715,5498,3782
01,10,04,14,5556,502,438,106,465,2850,621,325,249,2716,2444
01,10,04,15,13339,768,1108,338,1410,5115,2289,1464,847,6571,4094
01,10,04,16,13527,864,1157,328,1050,5476,2399,1316,937,6772,3934
01,20,05,17,4078,242,318,97,600,1626,414,466,315,1824,1901
01,20,05,18,6970,363,434,138,1215,2757,751,665,647,3211,3119
01,20,05,19,9533,479,644,209,1315,3696,1070,999,1121,4450,3746
01,20,05,20,9548,457,592,160,1301,3538,1054,1215,1231,4509,2934
01,20,05,21,5307,263,397,143,781,1959,593,559,612,2393,2064
01,20,05,22,11621,568,727,254,1260,3610,1355,1729,2118,5911,2646
01,20,06,23,10969,599,707,223,1495,4472,1233,1203,1037,5184,3605
01,20,06,24,6504,534,422,90,765,3577,528,303,285,3034,3336
01,20,06,25,6970,368,624,198,900,2261,830,752,1037,3416,2450
01,20,06,26,5949,281,350,102,630,2032,750,776,1028,2927,1659
01,20,06,27,3424,262,388,113,430,925,353,411,542,1674,1230
01,20,06,28,3275,165,190,65,324,1129,474,431,497,1532,843
01,20,06,29,5956,224,266,90,969,1797,644,706,1260,2912,2038
01,30,07,30,7967,510,841,249,1217,2616,941,824,769,3745,3800
01,30,07,31,8826,537,775,269,1291,3091,983,903,977,4196,3550
01,30,07,32,9949,717,948,301,1346,3515,1191,949,982,4807,4103
01,30,07,33,11658,664,1096,339,1518,4089,1492,1215,1245,5609,4562
01,30,08,34,14379,1060,1619,546,1744,4371,1729,1494,1816,7194,4513
01,30,08,35,10872,625,982,281,1673,3075,1230,1240,1766,5535,3585
01,30,08,36,15051,929,1343,447,2236,5341,1801,1463,1491,7139,6341
01,40,09,37,10885,556,712,239,1262,3515,1285,1510,1806,5340,3528
01,40,09,38,9695,493,650,219,1162,3738,1089,1063,1281,4649,3404
01,40,09,39,6003,358,407,117,774,2237,666,660,784,2933,2317
