district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
01,10,01,01,3561,100.0,2282,64.1,2019,56.7,1279,35.9,740,20.8,1542,43.3
01,10,01,02,2002,100.0,1418,70.8,912,45.6,584,29.2,328,16.4,1090,54.4
01,10,01,03,5662,100.0,3472,61.3,3475,61.4,2190,38.7,1285,22.7,2187,38.6
01,10,01,04,5029,100.0,3363,66.9,2928,58.2,1666,33.1,1262,25.1,2101,41.8
01,10,02,05,3009,100.0,2046,68.0,1435,47.7,963,32.0,472,15.7,1574,52.3
01,10,02,06,1915,100.0,1072,56.0,1170,61.1,843,44.0,327,17.1,745,38.9
01,10,02,07,8801,100.0,4924,55.9,5500,62.5,3877,44.1,1623,18.4,3301,37.5
01,10,03,08,7384,100.0,3591,48.6,4837,65.5,3793,51.4,1044,14.1,2547,34.5
01,10,03,09,12559,100.0,5427,43.2,8979,71.5,7132,56.8,1847,14.7,3580,28.5
01,10,03,10,10332,100.0,5465,52.9,6362,61.6,4867,47.1,1495,14.5,3970,38.4
01,10,03,11,9649,100.0,4986,51.7,6353,65.8,4663,48.3,1690,17.5,3296,34.2
01,10,03,12,10213,100.0,5087,49.8,6799,66.6,5126,50.2,1673,16.4,3414,33.4
01,10,03,13,11160,100.0,5494,49.2,7378,66.1,5666,50.8,1712,15.3,3782,33.9
01,10,04,14,5556,100.0,3232,58.2,3112,56.0,2324,41.8,788,14.2,2444,44.0
01,10,04,15,13339,100.0,5950,44.6,9245,69.3,7389,55.4,1856,13.9,4094,30.7
01,10,04,16,13527,100.0,5860,43.3,9593,70.9,7667,56.7,1926,14.2,3934,29.1
01,20,05,17,4078,100.0,2573,63.1,2177,53.4,1505,36.9,672,16.5,1901,46.6
01,20,05,18,6970,100.0,4503,64.6,3851,55.3,2467,35.4,1384,19.9,3119,44.7
01,20,05,19,9533,100.0,5408,56.7,5787,60.7,4125,43.3,1662,17.4,3746,39.3
01,20,05,20,9548,100.0,4724,49.5,6614,69.3,4824,50.5,1790,18.7,2934,30.7
01,20,05,21,5307,100.0,3238,61.0,3243,61.1,2069,39.0,1174,22.1,2064,38.9
01,20,05,22,11621,100.0,4456,38.3,8975,77.2,7165,61.7,1810,15.6,2646,22.8
01,20,06,23,10969,100.0,5810,53.0,7364,67.1,5159,47.0,2205,20.1,3605,32.9
01,20,06,24,6504,100.0,4691,72.1,3168,48.7,1813,27.9,1355,20.8,3336,51.3
01,20,06,25,6970,100.0,4236,60.8,4520,64.8,2734,39.2,1786,25.6,2450,35.2
01,20,06,26,5949,100.0,2661,44.7,4290,72.1,3288,55.3,1002,16.8,1659,27.9
01,20,06,27,3424,100.0,2314,67.6,2194,64.1,1110,32.4,1084,31.7,1230,35.9
01,20,06,28,3275,100.0,1499,45.8,2432,74.3,1776,54.2,656,20.0,843,25.7
01,20,06,29,5956,100.0,2948,49.5,3918,65.8,3008,50.5,910,15.3,2038,34.2
01,30,07,30,7967,100.0,5796,72.8,4167,52.3,2171,27.2,1996,25.1,3800,47.7
01,30,07,31,8826,100.0,5411,61.3,5276,59.8,3415,38.7,1861,21.1,3550,40.2
01,30,07,32,9949,100.0,6367,64.0,5846,58.8,3582,36.0,2264,22.8,4103,41.2
01,30,07,33,11658,100.0,7362,63.1,7096,60.9,4296,36.9,2800,24.0,4562,39.1
01,30,08,34,14379,100.0,9694,67.4,9866,68.6,4685,32.6,5181,36.0,4513,31.4
01,30,08,35,10872,100.0,6726,61.9,7287,67.0,4146,38.1,3141,28.9,3585,33.0
01,30,08,36,15051,100.0,10035,66.7,8710,57.9,5016,33.3,3694,24.5,6341,42.1
01,40,09,37,10885,100.0,5618,51.6,7357,67.6,5267,48.4,2090,19.2,3528,32.4
01,40,09,38,9695,100.0,5259,54.2,6291,64.9,4436,45.8,1855,19.1,3404,35.1
01,40,09,39,6003,100.0,3279,54.6,3686,61.4,2724,45.4,962,16.0,2317,38.6
01,40,09,40,6882,100.0,2772,40.3,5624,81.7,4110,59.7,1514,22.0,1258,18.3
01,40,09,41,3898,100.0,1887,48.4,2815,72.2,2011,51.6,804,20.6,1083,27.8
01,40,09,42,8746,100.0,4910,56.1,5385,61.6,3836,43.9,1549,17.7,3361,38.4
01,40,10,43,7768,100.0,5329,68.6,4466,57.5,2439,31.4,2027,26.1,3302,42.5
01,40,10,44,10274,100.0,7122,69.3,5619,54.7,3152,30.7,2467,24.0,4655,45.3
01,40,10,45,5682,100.0,4179,73.5,3083,54.3,1503,26.5,1580,27.8,2599,45.7
01,40,10,46,8933,100.0,4607,51.6,5941,66.5,4326,48.4,1615,18.1,2992,33.5
01,40,10,47,8054,100.0,5668,70.4,3934,48.8,2386,29.6,1548,19.2,4120,51.2
01,40,10,48,9488,100.0,5853,61.7,5642,59.5,3635,38.3,2007,21.2,3846,40.5
01,40,10,49,6787,100.0,4220,62.2,3888,57.3,2567,37.8,1321,19.5,2899,42.7
02,10,01,01,6923,100.0,5123,74.0,3668,53.0,1800,26.0,1868,27.0,3255,47.0
02,10,01,02,8816,100.0,6331,71.8,5555,63.0,2485,28.2,3070,34.8,3261,37.0
02,10,01,03,5521,100.0,3524,63.8,3717,67.3,1997,36.2,1720,31.2,1804,32.7
02,10,01,04,5723,100.0,3974,69.4,3543,61.9,1749,30.6,1794,31.3,2180,38.1
02,10,01,05,9512,100.0,6852,72.0,6092,64.0,2660,28.0,3432,36.1,3420,36.0
02,10,01,06,4962,100.0,3261,65.7,3350,67.5,1701,34.3,1649,33.2,1612,32.5
02,20,02,07,2406,100.0,1048,43.6,1775,73.8,1358,56.4,417,17.3,631,26.2
02,20,02,08,5845,100.0,2688,46.0,4149,71.0,3157,54.0,992,17.0,1696,29.0
02,20,02,09,10908,100.0,4655,42.7,8100,74.3,6253,57.3,1847,16.9,2808,25.7
02,20,02,10,12221,100.0,5524,45.2,8803,72.0,6697,54.8,2106,17.2,3418,28.0
02,20,02,11,14783,100.0,6483,43.9,10939,74.0,8300,56.1,2639,17.9,3844,26.0
02,20,02,12,8510,100.0,4324,50.8,6204,72.9,4186,49.2,2018,23.7,2306,27.1
02,20,02,13,10173,100.0,4726,46.5,7137,70.2,5447,53.5,1690,16.6,3036,29.8
02,30,03,14,7376,100.0,4498,61.0,4700,63.7,2878,39.0,1822,24.7,2676,36.3
02,30,03,15,8484,100.0,4904,57.8,5553,65.5,3580,42.2,1973,23.3,2931,34.5
02,30,03,16,4220,100.0,2146,50.9,2934,69.5,2074,49.1,860,20.4,1286,30.5
02,30,04,17,8171,100.0,4524,55.4,5411,66.2,3647,44.6,1764,21.6,2760,33.8
02,30,04,18,7755,100.0,3834,49.4,5335,68.8,3921,50.6,1414,18.2,2420,31.2
02,30,04,19,10610,100.0,5558,52.4,7048,66.4,5052,47.6,1996,18.8,3562,33.6
02,40,05,20,5856,100.0,2291,39.1,4452,76.0,3565,60.9,887,15.1,1404,24.0
02,40,05,21,8278,100.0,3238,39.1,6178,74.6,5040,60.9,1138,13.7,2100,25.4
02,40,05,22,11375,100.0,3773,33.2,8985,79.0,7602,66.8,1383,12.2,2390,21.0
02,40,06,23,13602,100.0,6853,50.4,9070,66.7,6749,49.6,2321,17.1,4532,33.3
02,40,06,24,11907,100.0,4681,39.3,8452,71.0,7226,60.7,1226,10.3,3455,29.0
02,40,06,25,1114,100.0,767,68.9,471,42.3,347,31.1,124,11.1,643,57.7
02,50,07,26,9345,100.0,3727,39.9,6727,72.0,5618,60.1,1109,11.9,2618,28.0
02,50,07,27,6642,100.0,2644,39.8,4823,72.6,3998,60.2,825,12.4,1819,27.4
02,50,07,28,10138,100.0,3660,36.1,7554,74.5,6478,63.9,1076,10.6,2584,25.5
02,50,07,29,5520,100.0,2062,37.4,4175,75.6,3458,62.6,717,13.0,1345,24.4
02,50,08,30,4047,100.0,1734,42.8,2795,69.1,2313,57.2,482,11.9,1252,30.9
02,50,08,31,7970,100.0,3344,42.0,5584,70.1,4626,58.0,958,12.0,2386,29.9
02,50,08,32,9569,100.0,4396,45.9,6411,67.0,5173,54.1,1238,12.9,3158,33.0
02,50,08,33,10280,100.0,4175,40.6,7150,69.6,6105,59.4,1045,10.2,3130,30.4
02,50,08,34,11466,100.0,4292,37.4,8524,74.3,7174,62.6,1350,11.8,2942,25.7
02,50,08,35,8211,100.0,3590,43.7,5584,68.0,4621,56.3,963,11.7,2627,32.0
02,50,08,36,4992,100.0,1311,26.3,4339,86.9,3681,73.7,658,13.2,653,13.1
03,10,01,01,4697,100.0,915,19.5,4109,87.5,3782,80.5,327,7.0,588,12.5
03,10,01,02,3335,100.0,1068,32.0,2498,74.9,2267,68.0,231,6.9,837,25.1
03,10,01,03,9671,100.0,2577,26.6,7591,78.5,7094,73.4,497,5.1,2080,21.5
03,20,02,04,2403,100.0,501,20.8,1982,82.5,1902,79.2,80,3.3,421,17.5
03,20,02,05,8800,100.0,1693,19.2,7817,88.8,7107,80.8,710,8.1,983,11.2
