district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01,10,01,01,2282,592,49,69,82,37,68,112,32,16,18,28,70,12,27,471,152,177,16,477,120,55,209,9,50,16,55,89
01,10,01,02,1418,337,22,14,46,33,21,54,27,22,9,44,42,4,17,351,176,115,9,345,73,31,199,3,18,3,59,39
01,10,01,03,3472,986,147,45,101,34,57,193,71,135,42,77,160,33,61,558,229,184,45,965,326,87,380,60,89,37,107,133
01,10,01,04,3363,663,78,23,92,43,46,102,54,27,30,63,106,39,15,450,167,170,13,1328,413,75,630,150,141,21,72,222
01,10,02,05,2046,477,34,16,49,16,42,45,116,18,9,40,43,9,13,492,251,141,11,406,72,36,242,25,34,41,63,51
01,10,02,06,1072,274,34,14,37,21,32,27,28,15,3,34,18,3,12,385,207,103,20,156,53,13,45,6,3,15,59,21
01,10,02,07,4924,1254,103,43,145,80,84,181,203,65,27,77,169,46,53,1218,610,308,53,1088,225,67,560,58,197,176,142,158
01,10,03,08,3591,1258,140,51,145,111,115,168,53,89,27,142,107,15,28,610,247,211,30,563,156,62,210,6,31,41,200,59
01,10,03,09,5427,1852,268,66,324,139,174,216,114,59,44,266,176,12,60,716,309,226,28,840,213,83,356,21,124,119,400,86
01,10,03,10,5465,1478,158,74,220,80,149,199,118,73,28,163,150,22,49,756,296,258,35,1138,214,75,614,32,228,372,213,136
01,10,03,11,4986,881,85,47,131,19,103,126,81,56,12,61,234,42,44,595,196,196,34,1283,336,65,621,38,230,799,165,200
01,10,03,12,5087,1173,106,42,155,63,110,173,101,58,27,110,135,12,51,959,441,249,31,1211,341,61,562,47,182,141,145,201
01,10,03,13,5494,1529,169,58,225,73,152,241,90,90,39,124,195,44,49,690,201,303,48,1276,601,50,382,43,102,179,316,275
01,10,04,14,3232,857,80,21,113,93,79,141,34,72,27,76,107,16,30,582,215,148,12,753,164,53,358,16,75,42,105,61
01,10,04,15,5950,2140,294,100,345,165,192,231,93,75,34,275,140,10,34,874,308,341,29,912,210,62,377,21,130,93,390,84
01,10,04,16,5860,2290,353,118,377,199,232,209,79,73,44,347,138,30,33,816,258,329,27,649,160,60,236,30,54,58,475,106
01,20,05,17,2573,752,50,25,55,19,30,218,138,85,24,38,157,34,61,279,54,90,6,976,218,70,459,137,115,19,29,123
01,20,05,18,4503,1253,113,84,137,36,46,304,204,77,64,65,328,46,116,315,74,150,12,1685,624,56,716,163,142,42,62,248
01,20,05,19,5408,1458,137,66,173,68,65,321,148,109,97,104,452,70,136,419,141,188,12,1848,579,67,934,245,259,58,112,304
01,20,05,20,4724,1250,113,71,174,50,81,296,101,68,84,89,323,62,108,435,148,186,16,1549,759,74,474,140,86,63,81,255
01,20,05,21,3238,897,50,30,98,22,40,164,285,76,41,38,190,34,102,263,70,106,7,1315,444,45,646,230,152,9,46,180
01,20,05,22,4456,1363,141,72,149,57,119,250,101,125,58,128,212,50,72,535,167,207,28,1256,411,86,526,133,135,20,93,222
01,20,06,23,5810,1673,180,71,208,84,126,365,140,113,70,110,282,73,72,531,160,191,22,2078,924,91,723,136,196,25,128,315
01,20,06,24,4691,934,53,57,170,43,73,154,50,60,30,90,134,9,45,643,303,187,34,1383,599,110,466,87,79,47,96,269
01,20,06,25,4236,965,79,70,90,19,37,216,151,48,77,46,314,84,94,358,119,134,12,1823,915,28,708,254,166,23,51,371
01,20,06,26,2661,819,81,46,89,38,46,236,40,46,24,74,111,20,34,375,140,125,13,670,254,58,240,52,48,18,102,123
01,20,06,27,2314,352,17,15,50,18,15,113,54,21,9,6,183,43,71,347,110,125,21,1136,363,43,578,171,168,18,12,186
01,20,06,28,1499,540,60,40,36,28,34,168,40,18,3,24,42,10,10,182,66,52,22,353,150,27,103,19,10,22,36,89
01,20,06,29,2948,935,119,47,86,50,93,173,45,36,31,72,111,13,19,385,161,133,0,656,179,60,241,29,61,33,74,99
01,30,07,30,5796,1433,52,93,80,35,67,309,414,174,60,54,399,90,151,452,152,170,14,2767,1393,28,953,258,178,15,41,393
01,30,07,31,5411,1438,67,102,149,42,63,309,266,179,67,57,381,109,109,373,116,137,25,2366,1244,34,803,216,226,18,35,311
01,30,07,32,6367,1717,91,269,129,41,73,340,410,102,83,87,517,150,150,355,132,97,29,2864,1371,43,996,231,251,25,75,358
01,30,07,33,7362,1750,127,122,171,57,78,390,353,163,78,105,567,165,164,429,123,178,31,3436,2087,43,918,237,207,43,83,539
01,30,08,34,9694,1335,66,74,189,47,108,373,104,81,57,67,423,95,93,716,272,196,108,5559,3317,50,1692,667,337,46,95,1007
01,30,08,35,6726,1320,109,58,138,49,87,423,93,69,98,77,392,42,132,633,230,204,67,3095,1915,49,764,177,150,28,103,626
01,30,08,36,10035,2303,142,94,252,74,102,565,386,196,128,98,745,214,192,738,291,282,42,4570,2261,59,1734,482,437,71,172,646
01,40,09,37,5618,1648,93,88,132,31,70,504,308,133,82,65,372,66,113,367,114,138,18,2175,1097,47,659,93,186,51,51,389
01,40,09,38,5259,1596,134,116,181,50,82,311,293,69,113,113,455,133,123,355,129,141,19,1849,934,54,592,155,109,57,88,308
01,40,09,39,3279,954,68,38,79,24,40,272,187,44,41,47,241,35,59,261,94,78,3,1197,481,37,412,76,97,21,43,163
01,40,09,40,2772,655,32,19,51,16,15,331,62,37,35,18,253,78,41,127,54,35,9,1193,681,25,357,52,69,9,17,379
01,40,09,41,1887,443,43,25,48,7,16,141,90,21,10,25,126,14,36,122,34,51,0,781,446,15,239,61,88,12,6,182
01,40,09,42,4910,1491,129,92,171,57,61,258,324,106,59,77,231,46,41,424,127,166,28,1765,734,53,706,120,215,43,75,226
01,40,10,43,5329,1207,50,103,112,30,42,248,335,81,59,60,425,134,117,241,59,97,18,2526,1511,40,711,268,133,26,41,392
01,40,10,44,7122,1997,97,113,200,62,70,389,446,258,61,86,518,185,151,477,153,171,24,3043,1536,31,1130,288,213,54,89,436
01,40,10,45,4179,884,61,97,83,10,59,186,134,105,12,68,168,67,61,285,95,97,16,2069,1057,21,706,220,154,25,51,275
01,40,10,46,4607,1404,141,47,147,78,68,332,194,115,74,85,244,20,95,384,88,183,18,1612,630,37,657,186,108,30,118,240
01,40,10,47,5668,1343,82,103,105,45,87,283,340,79,28,67,280,78,76,301,103,112,24,2210,872,70,895,250,204,66,48,249
01,40,10,48,5853,1735,175,144,196,50,116,351,325,64,56,93,381,92,145,291,122,78,33,2337,1270,33,658,192,134,49,100,298
01,40,10,49,4220,1250,51,108,61,25,46,241,339,199,31,44,226,76,78,313,73,155,13,1786,1038,37,493,108,149,40,27,236
02,10,01,01,5123,943,57,49,134,27,67,185,127,94,48,60,180,67,30,974,232,496,51,2040,821,99,784,196,151,42,43,380
02,10,01,02,6331,1001,72,96,112,33,48,187,165,50,51,68,334,153,86,530,194,176,12,3117,1531,49,1341,443,244,56,157,754
02,10,01,03,3524,641,54,44,83,50,33,140,83,22,33,34,93,39,6,378,64,238,18,1717,1107,22,471,174,140,21,59,452
02,10,01,04,3974,501,40,18,90,21,33,119,61,0,9,25,74,22,15,255,48,59,6,2376,1856,17,343,46,117,53,19,492
02,10,01,05,6852,940,78,79,119,37,66,227,138,31,36,56,196,53,54,282,72,139,13,3939,3041,50,659,222,126,35,39,953
02,10,01,06,3261,459,50,49,59,21,43,53,63,32,12,39,68,34,10,64,15,27,0,2027,1413,37,514,185,92,0,50,371
02,20,02,07,1048,299,46,9,43,28,19,43,13,22,7,33,18,0,8,142,59,46,6,198,73,16,79,3,6,6,63,41
02,20,02,08,2688,780,117,47,126,38,61,110,32,35,54,94,140,35,33,242,62,121,6,801,382,36,279,84,90,0,114,145
02,20,02,09,4655,1662,174,97,367,102,134,242,61,50,80,170,213,37,34,337,93,148,19,1210,560,68,390,106,109,12,205,213
02,20,02,10,5524,1869,239,120,316,83,164,301,74,79,97,192,300,51,108,368,122,154,19,1480,853,80,414,92,99,33,276,301
