district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
01,01,11,01,3126,129,106,27,465,864,393,406,736,1504,1164
01,01,11,02,199,6,9,0,21,57,40,36,30,85,57
01,01,11,03,5157,251,341,99,681,1468,746,740,831,2355,1791
01,01,11,04,4442,279,365,121,847,1545,654,339,292,2039,1601
01,01,11,05,1118,75,76,24,90,324,227,153,149,508,450
01,01,12,01,2062,73,137,41,246,539,353,318,355,986,646
01,01,12,02,499,19,33,9,42,165,92,75,64,239,149
01,01,12,03,946,51,38,12,99,279,192,126,149,471,349
01,01,12,04,6627,261,321,97,616,1927,1010,868,1527,3304,1708
01,01,13,01,5877,405,291,53,573,2583,915,551,506,2848,1519
01,01,13,02,12316,704,1007,229,1264,4975,2247,998,892,5952,3044
01,01,13,03,8602,397,324,87,1017,3138,1224,849,1566,4091,2263
01,01,13,04,8454,377,444,142,859,1915,969,931,2817,4499,1643
01,01,13,05,7217,320,315,90,651,2137,1000,763,1941,3575,1406
01,01,13,06,8797,481,411,137,950,2960,1359,998,1501,4360,1974
01,01,14,01,15467,1118,1143,232,1535,7036,2439,1056,908,7622,4046
01,01,14,02,12893,1076,884,140,1075,6371,1921,688,738,6435,2940
01,02,21,01,3434,199,161,79,696,1226,473,316,284,1512,1199
01,02,21,02,6284,306,407,137,1173,2198,895,609,559,2826,2449
01,02,21,03,263,22,40,6,22,88,43,23,19,117,133
01,02,21,04,17903,957,1078,317,2849,6124,2582,1979,2017,8575,5202
01,02,21,05,5147,302,353,159,894,1754,655,507,523,2452,1708
01,02,21,06,11560,622,731,267,1285,3400,1914,1509,1832,5826,2237
01,02,22,01,10538,622,622,226,1906,3886,1458,908,910,4952,2912
01,02,22,02,1467,95,169,61,220,428,200,117,177,744,465
01,02,22,03,6866,452,598,182,1011,2104,872,683,964,3379,2187
01,02,22,04,5898,286,350,102,702,1804,963,690,1001,2906,1391
01,02,22,05,3219,220,315,117,392,833,421,380,541,1584,930
01,02,22,06,3044,176,215,43,330,968,516,374,422,1426,610
01,02,22,07,5581,219,252,81,965,1379,784,650,1251,2728,1615
01,03,31,01,26241,1981,2336,803,4512,8410,3348,2173,2678,12395,10010
01,03,31,02,11602,856,979,339,1830,3932,1522,920,1224,5578,4271
01,03,32,01,12955,1042,1508,452,1722,3740,1665,1209,1617,6464,3839
01,03,32,02,9720,648,851,246,1170,2692,1330,990,1793,4921,2506
01,03,32,03,13974,991,1259,420,2299,4564,1811,1123,1507,6473,5217
01,04,41,01,20069,1051,1294,388,3085,5907,3117,2186,3041,9708,5555
01,04,41,02,15825,791,866,286,1915,4088,2236,1871,3772,8212,3365
01,04,41,03,8094,429,457,144,1349,2924,1201,823,767,3792,2554
01,04,42,01,23308,1575,2155,735,4241,7428,3025,1810,2339,11010,9819
01,04,42,02,16628,936,1002,382,3333,6398,2084,1370,1123,7633,6437
01,04,42,03,15944,887,1127,367,2579,5171,2056,1524,2233,7468,5877
02,01,01,01,6140,356,506,192,1158,2046,785,554,543,2806,2439
02,01,01,02,13237,967,1405,446,1788,3837,1844,1231,1719,6631,4069
02,01,01,03,15588,1137,1611,540,2043,4529,2188,1465,2075,7676,5335
02,01,01,04,5103,313,563,187,680,1477,809,518,556,2563,1632
02,02,02,01,296,33,21,3,27,121,42,26,23,129,78
02,02,02,02,5844,367,419,168,745,1979,951,671,544,2827,1517
02,02,02,03,10728,684,697,173,1206,3939,1751,1176,1102,5296,2341
02,02,02,04,12167,689,771,267,1378,4573,2056,1319,1114,5906,3061
02,02,02,05,14832,803,1013,339,1516,5274,2719,1747,1421,7337,3452
02,02,02,06,19032,1299,1355,467,1941,7487,2945,1909,1629,9435,5082
02,03,03,01,9157,467,718,283,1132,3260,1503,855,939,4393,3515
02,03,03,02,13272,750,1034,359,1463,4965,2083,1347,1271,6322,4319
02,03,04,01,15187,890,1012,312,1622,6413,2337,1409,1192,7303,4600
02,03,04,02,11244,648,698,249,1254,4846,1704,1012,833,5482,3654
02,04,05,01,5447,297,324,78,393,1156,740,663,1796,2877,677
02,04,05,02,7152,381,369,96,774,2567,923,664,1378,3659,1008
02,04,05,03,10726,703,530,125,1233,4748,1272,748,1367,5366,1488
02,04,07,01,12316,573,641,196,1759,3711,1385,1166,2885,6323,2605
02,04,07,02,10671,648,597,122,1084,4658,1496,793,1273,5180,1423
02,04,07,03,928,75,89,23,201,397,64,63,16,420,516
02,05,06,01,8785,558,348,75,1233,4615,984,472,500,4141,1527
02,05,06,02,20075,1371,1268,261,2495,10243,2406,1113,918,9710,3307
02,05,08,01,18879,1180,1032,244,2629,9890,2094,946,864,9079,3603
02,05,08,02,19959,1279,965,187,2501,11180,2272,880,695,9491,3625
02,05,08,03,6664,407,271,75,949,3285,722,446,509,3217,1134
02,05,08,04,3567,305,328,68,229,1294,586,326,431,1668,405
03,01,01,01,3507,272,239,67,298,1007,591,426,607,1722,218
03,01,01,02,11649,772,922,244,1143,2707,1447,1415,2999,6107,1055
03,01,01,04,213,7,25,3,15,97,41,16,9,81,21
03,02,02,03,2053,125,161,42,97,396,399,336,497,1018,30
03,02,02,09,14143,951,1349,366,1117,3666,2683,1591,2420,7306,925
03,02,02,10,10503,747,917,283,677,2812,2045,1249,1773,5361,452
03,02,03,07,17366,1121,1608,552,1171,4169,3476,2361,2908,8856,554
03,03,04,05,10610,833,1023,284,878,3094,1640,1109,1749,5586,343
03,03,04,06,8147,385,695,231,532,1505,1739,1344,1716,4117,179
03,03,07,11,6724,333,549,192,389,1310,1400,1090,1461,3401,117
03,03,07,15,6687,340,488,176,476,1387,1398,1067,1355,3310,251
03,03,07,16,1136,40,75,18,45,181,232,181,364,573,10
03,04,05,08,4593,255,494,170,404,969,977,604,720,2290,244
03,04,05,12,9565,509,799,270,687,2189,1781,1183,2147,4960,433
03,04,05,13,3367,205,353,135,252,707,630,391,694,1755,176
03,04,06,14,34543,2677,3111,671,2561,10333,5513,3116,6561,18401,1948
03,04,08,18,33787,2202,2359,595,2794,11438,5126,3328,5945,17751,2652
03,05,09,19,5555,362,337,104,512,1633,905,558,1144,2817,792
03,05,09,20,7168,499,577,103,555,2135,1113,692,1494,3766,431
03,05,09,23,8820,660,567,130,931,3557,1364,775,836,4256,833
03,05,09,24,5613,400,448,106,663,2203,859,446,488,2722,646
03,05,09,25,8772,666,832,215,689,2994,1481,712,1183,4510,627
03,05,10,17,4138,232,276,97,485,1216,776,501,555,2039,453
03,05,10,21,6483,333,334,103,592,1608,916,595,2002,3470,370
03,05,10,22,4518,267,335,96,366,1048,736,527,1143,2487,121
03,06,11,26,14905,995,951,164,1732,7042,2057,889,1075,7263,2273
03,06,11,31,10145,754,651,125,1083,4917,1592,551,472,5007,1968
03,06,12,27,14376,917,832,173,1413,6509,2024,978,1530,7379,2070
03,06,12,28,12462,608,537,139,1459,4954,1675,1021,2069,6373,1472
03,06,13,32,22176,1859,1802,325,1912,10459,3861,1129,829,10939,3911
03,06,14,29,10078,369,483,158,733,1938,1215,1058,4124,5432,636
03,06,14,30,3206,188,214,61,291,709,482,357,904,1662,511
03,06,14,34,6124,453,333,60,664,2760,854,441,559,3077,794
03,06,14,35,3907,214,222,54,460,1561,539,330,527,1925,580
03,06,14,41,2418,360,324,46,136,959,294,112,187,1226,254
03,07,15,36,10594,867,878,169,945,4774,1947,549,465,5153,2281
03,07,15,37,14620,1120,1254,291,1213,6149,2746,1024,823,7176,3053
03,07,16,33,2709,136,199,60,242,691,377,440,564,1365,280
03,07,16,38,16933,1349,1392,299,1619,7349,2767,1057,1101,8388,3114
03,07,16,39,12257,991,1255,203,937,4857,2299,826,889,6204,1735
04,01,01,01,10389,532,703,219,1066,2529,1507,1361,2472,5463,2316
04,01,01,02,815,37,39,9,100,164,130,141,195,307,250
04,01,01,03,7638,474,629,202,773,1805,1078,843,1834,4055,1740
04,02,02,04,163,9,24,3,9,33,33,27,25,70,40
04,02,02,05,1256,61,96,37,93,230,224,187,328,647,154
04,02,02,06,2541,67,90,27,98,345,259,358,1297,1435,270
04,02,02,07,2598,96,185,74,181,529,512,319,702,1350,390
04,02,02,08,2848,112,304,106,187,455,535,337,812,1420,372
04,02,02,09,3130,112,267,87,669,622,420,326,627,1574,858
04,02,03,10,602,13,9,3,196,185,36,55,105,268,252
04,02,03,11,14127,512,930,319,1168,2794,2207,1789,4408,7469,2101
04,02,03,12,5357,269,351,97,420,1059,842,708,1611,2840,942
04,02,03,13,7339,369,400,132,869,1905,1134,916,1614,3702,1825
04,02,03,14,8,0,0,0,0,0,0,4,4,0,8
04,03,04,15,2758,76,111,23,343,819,310,330,746,1386,1006
04,03,04,16,10357,619,819,287,1192,2910,1658,1439,1433,5332,2684
04,03,04,17,10797,566,677,233,1148,2968,1792,1434,1979,5600,2317
04,03,05,18,9344,401,471,171,1178,2739,1534,1288,1562,4747,2297
04,03,05,19,5624,303,319,108,777,1761,872,681,803,2774,1345
04,03,06,20,8452,390,484,164,899,2188,1360,1137,1830,4415,2060
04,03,06,21,2972,134,171,65,446,1020,485,299,352,1387,935
04,03,06,22,10187,444,555,177,1137,2848,1482,1393,2151,5176,2639
04,03,06,23,4588,268,239,84,521,1377,691,521,887,2381,1428
