district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,01,11,01,2023,137,133,33,336,826,181,197,180,971,1336
01,01,11,02,76,0,4,3,10,41,8,10,0,27,60
01,01,11,03,2969,197,255,95,344,978,389,351,360,1407,1797
01,01,11,04,2940,182,324,94,520,1059,337,223,201,1351,1753
01,01,11,05,1051,81,70,21,117,428,164,99,71,482,795
01,01,12,01,1456,106,116,31,216,546,199,124,118,691,997
01,01,12,02,302,27,20,15,16,139,52,15,18,151,218
01,01,12,03,599,56,53,6,63,246,80,49,46,289,387
01,01,12,04,4283,391,369,96,433,1805,479,362,348,2152,2825
01,01,13,01,2936,244,198,54,331,1468,348,170,123,1414,2065
01,01,13,02,4929,414,490,134,447,2310,630,300,204,2427,3210
01,01,13,03,4725,331,349,96,655,2309,508,280,197,2256,3380
01,01,13,04,3840,387,433,146,526,1357,417,289,285,1959,2390
01,01,13,05,3877,371,275,78,400,1798,476,232,247,1813,2565
01,01,13,06,4844,377,348,71,1054,2032,490,251,221,2409,3234
01,01,14,01,7816,724,758,165,832,3949,896,306,186,3933,5446
01,01,14,02,5391,539,513,78,473,2775,659,193,161,2706,3564
01,02,21,01,1897,132,190,50,267,750,218,167,123,847,1284
01,02,21,02,4286,291,368,105,713,1586,559,370,294,1988,2959
01,02,21,03,219,22,45,21,31,62,21,11,6,109,159
01,02,21,04,9395,638,841,251,1303,3448,1188,887,839,4341,6092
01,02,21,05,3047,235,305,102,457,1063,419,212,254,1395,1868
01,02,21,06,3985,303,360,111,435,1524,463,384,405,1983,2226
01,02,22,01,5448,413,503,160,764,2072,699,447,390,2568,3299
01,02,22,02,2741,263,232,54,348,1391,220,110,123,1282,1750
01,02,22,03,4203,347,541,152,493,1334,533,348,455,2063,2375
01,02,22,04,2578,192,212,76,290,1034,340,231,203,1219,1540
01,02,22,05,2103,224,305,91,239,596,214,205,229,1027,1078
01,02,22,06,1304,91,126,45,134,501,157,122,128,632,710
01,02,22,07,2680,125,126,49,685,1028,257,188,222,1280,1899
01,03,31,01,16792,1577,2204,664,2227,5540,2078,1349,1153,7927,10865
01,03,31,02,7156,568,859,275,1026,2329,1000,573,526,3419,4381
01,03,32,01,9484,973,1462,427,1010,2860,1175,797,780,4695,4355
01,03,32,02,6163,545,790,235,861,1909,697,567,559,3055,3120
01,03,32,03,9373,727,1154,404,1312,3180,1238,727,631,4361,5810
01,04,41,01,10243,811,1027,332,1250,3757,1334,893,839,4810,6429
01,04,41,02,7025,689,741,195,766,2516,856,663,599,3397,4092
01,04,41,03,4716,331,427,150,760,1778,608,380,282,2271,3253
01,04,42,01,16239,1306,1927,629,2133,5354,2231,1467,1192,7612,10210
01,04,42,02,9834,619,849,288,1855,3914,1039,725,545,4429,6786
01,04,42,03,9382,640,967,314,1158,3223,1288,889,903,4402,6114
02,01,01,01,4502,302,475,142,580,1714,617,388,284,2143,2626
02,01,01,02,9464,759,1302,436,1020,2943,1289,872,843,4760,4684
02,01,01,03,10768,877,1349,456,1186,3314,1582,1052,952,5249,5442
02,01,01,04,3299,230,437,153,369,985,465,311,349,1607,1619
02,02,02,01,775,87,107,17,79,309,69,43,64,362,438
02,02,02,02,2690,212,252,87,324,1013,343,249,210,1300,1718
02,02,02,03,4399,356,408,93,485,1802,602,374,279,2112,2706
02,02,02,04,5472,400,452,148,594,2295,688,483,412,2627,3466
02,02,02,05,6276,422,535,190,704,2423,879,572,551,3108,3730
02,02,02,06,9045,660,874,304,926,3671,1202,724,684,4420,5378
02,03,03,01,5592,295,515,206,623,1781,847,584,741,2717,3320
02,03,03,02,7121,433,691,230,793,2601,996,651,726,3409,4269
02,03,04,01,7461,400,630,207,751,3249,1024,583,617,3570,4789
02,03,04,02,5629,349,417,151,630,2331,771,460,520,2646,3663
02,04,05,01,1625,166,217,45,193,532,213,113,146,853,887
02,04,05,02,2563,251,248,58,306,1167,241,144,148,1258,1621
02,04,05,03,3325,357,257,39,405,1715,261,151,140,1633,2176
02,04,07,01,6172,610,530,150,1092,2569,554,345,322,3000,4034
02,04,07,02,3564,232,214,51,836,1715,260,146,110,1625,2521
02,04,07,03,761,58,103,30,88,380,58,26,18,351,669
02,05,06,01,3157,256,227,51,405,1821,212,128,57,1513,2221
02,05,06,02,7365,667,518,118,810,4165,621,274,192,3602,5132
02,05,08,01,7854,707,573,142,996,4352,653,308,123,3819,5630
02,05,08,02,7624,567,404,73,1042,4612,579,212,135,3572,5546
02,05,08,03,2884,272,141,25,406,1645,230,90,75,1350,2056
02,05,08,04,1054,179,130,13,66,420,130,52,64,538,497
03,01,01,01,697,68,71,10,88,281,73,61,45,283,441
03,01,01,02,2813,359,345,75,487,1016,233,125,173,1239,2171
03,01,01,04,48,3,3,11,7,9,12,3,0,19,31
03,02,02,03,128,3,32,3,3,38,15,12,22,53,43
03,02,02,09,2661,269,330,99,499,825,312,148,179,1401,1554
03,02,02,10,1850,251,285,54,168,651,196,118,127,948,1033
03,02,03,07,2535,285,412,97,200,701,350,214,276,1311,1081
03,03,04,05,2191,351,319,67,238,737,194,126,159,1081,1291
03,03,04,06,751,84,108,21,58,205,91,73,111,391,316
03,03,07,11,568,70,96,38,57,148,52,49,58,308,235
03,03,07,15,1650,189,251,52,265,549,156,83,105,720,1143
03,03,07,16,42,7,7,0,0,9,12,4,3,20,18
03,04,05,08,953,81,149,46,96,227,151,107,96,473,311
03,04,05,12,1925,243,253,74,205,641,231,109,169,992,960
03,04,05,13,617,53,106,21,83,198,72,31,53,276,305
03,04,06,14,6298,777,845,174,594,2466,689,303,450,3190,3485
03,04,08,18,6593,786,689,154,657,2934,622,342,409,3293,4170
03,05,09,19,687,80,73,28,79,270,64,31,62,318,463
03,05,09,20,1188,129,156,30,111,484,149,63,66,595,697
03,05,09,23,2490,306,211,62,303,1162,250,133,63,1179,1640
03,05,09,24,1585,169,182,42,194,730,152,66,50,750,1077
03,05,09,25,1928,240,276,65,208,776,186,94,83,976,1218
03,05,10,17,956,68,68,21,190,391,76,78,64,411,666
03,05,10,21,1014,138,114,24,126,351,124,55,82,511,667
03,05,10,22,531,75,76,19,47,195,41,25,53,289,324
03,06,11,26,5163,483,454,74,671,2622,508,194,157,2499,3507
03,06,11,31,3742,317,331,49,396,1990,408,138,113,1879,2590
03,06,12,27,4042,358,296,82,420,2188,447,159,92,2039,2640
03,06,12,28,3333,289,290,58,386,1707,285,159,159,1710,2235
03,06,13,32,7389,668,778,158,654,3673,980,324,154,3671,4893
03,06,14,29,1861,210,215,52,264,645,176,126,173,993,1118
03,06,14,30,1681,212,274,72,286,523,147,89,78,768,1374
03,06,14,34,1941,184,153,34,192,1053,174,65,86,950,1378
03,06,14,35,1234,103,103,34,149,595,127,70,53,628,833
03,06,14,41,788,103,184,30,37,308,77,22,27,418,409
03,07,15,36,4289,362,396,161,488,2049,555,181,97,2114,2880
03,07,15,37,5753,597,594,134,500,2768,719,272,169,2904,3956
03,07,16,33,983,112,134,22,81,470,86,28,50,472,649
03,07,16,38,5851,578,579,121,579,2905,654,248,187,2965,3872
03,07,16,39,3631,353,409,96,328,1640,488,195,122,1877,2261
04,01,01,01,5380,438,530,153,617,1804,769,541,528,2626,3138
04,01,01,02,367,28,49,9,94,104,31,28,24,96,306
04,01,01,03,4448,460,615,168,389,1296,640,472,408,2292,2246
04,02,02,04,76,0,30,3,3,13,14,4,9,32,41
04,02,02,05,330,19,43,16,38,78,59,51,26,154,179
04,02,02,06,917,90,79,22,107,294,129,75,121,447,590
04,02,02,07,804,46,87,16,94,255,138,88,80,411,479
04,02,02,08,823,52,132,44,90,171,135,116,83,417,428
04,02,02,09,1250,46,68,24,419,470,87,66,70,605,967
04,02,03,10,540,62,58,19,147,197,28,16,13,254,468
04,02,03,11,5078,288,508,156,626,1608,765,496,631,2445,3005
04,02,03,12,1887,141,230,66,208,589,253,167,233,932,1170
04,02,03,13,2759,228,239,70,337,950,340,246,349,1406,1654
04,02,03,14,7,0,0,0,0,0,0,4,3,0,7
04,03,04,15,1783,81,112,28,293,709,214,164,182,816,1355
04,03,04,16,5127,396,498,171,495,1534,708,587,738,2625,2823
04,03,04,17,4295,300,402,139,467,1414,641,429,503,2140,2563
04,03,05,18,4492,319,328,89,522,1521,643,502,568,2213,2717
04,03,05,19,2779,200,266,74,303,1061,370,276,229,1310,1660
04,03,06,20,4038,246,337,104,399,1381,637,443,491,2011,2407
04,03,06,21,1989,139,174,43,189,819,263,174,188,921,1262
04,03,06,22,5255,367,445,136,469,1742,748,609,739,2635,3078
04,03,06,23,2909,220,242,71,282,1016,352,315,411,1523,1677
04,03,07,24,2580,157,182,55,247,894,308,269,468,1333,1581
04,03,07,25,5099,309,404,150,588,1781,738,547,582,2504,3231
04,03,07,26,2644,188,233,91,260,765,432,308,367,1351,1642
04,03,08,27,6783,417,534,150,795,2339,971,756,821,3253,4434
04,03,08,28,4536,254,279,109,505,1563,667,548,611,2285,2973
04,03,09,29,2689,150,208,50,220,865,391,373,432,1328,1648
04,03,09,30,2636,160,229,55,228,732,410,374,448,1232,1650
04,03,09,31,2186,147,195,57,173,690,316,256,352,1042,1485
04,03,10,32,6969,474,604,175,631,2335,1015,800,935,3522,4233
04,04,11,33,79,0,0,0,15,40,18,6,0,24,73
04,04,11,34,2247,173,266,73,192,618,366,239,320,1164,1214
04,04,11,35,1037,66,123,39,91,223,147,169,179,544,564
04,04,11,36,1159,101,151,51,96,277,204,121,158,632,623
04,04,11,37,3310,235,365,94,281,1075,501,336,423,1707,1813
04,04,12,38,2193,204,271,102,169,615,332,258,242,1127,1052
04,04,12,39,373,54,40,4,47,157,28,37,6,154,292
04,04,12,40,442,36,72,22,43,95,83,38,53,226,222
04,04,12,41,1896,141,206,50,219,530,290,222,238,972,1056
04,04,13,42,1523,126,148,39,101,436,210,195,268,769,842
04,04,13,43,1166,85,137,26,100,356,141,142,179,606,596
04,04,13,44,3116,212,329,88,296,884,510,353,444,1588,1830
04,05,14,45,2953,233,286,88,263,949,443,354,337,1532,1588
04,05,14,46,4949,350,497,110,400,1578,629,579,806,2477,2883
04,05,14,47,2292,151,183,64,226,671,339,302,356,1223,1358
04,05,14,48,4572,295,316,118,398,1489,706,563,687,2240,2912
04,05,15,49,2171,197,256,79,234,695,300,218,192,1014,1368
04,05,15,50,2479,158,231,79,277,794,377,255,308,1238,1517
04,05,15,51,2044,160,204,60,219,672,282,219,228,1008,1184
04,05,16,52,4038,267,396,132,412,1286,563,436,546,1986,2518
04,05,16,53,3110,192,262,79,321,1017,449,361,429,1556,1897
04,05,16,54,1193,82,98,10,118,436,167,134,148,608,714
04,05,16,55,3367,249,357,96,375,1167,462,290,371,1669,1983
04,05,16,56,2605,177,284,72,270,870,364,269,299,1274,1520
04,06,17,57,13,0,0,0,10,0,3,0,0,0,13
05,01,01,01,3197,362,459,113,315,956,436,265,291,1602,1560
05,01,01,02,3093,398,325,82,405,1122,345,214,202,1532,1924
05,01,01,03,1518,123,184,54,113,457,185,188,214,748,715
05,01,02,04,1613,164,324,81,188,403,195,121,137,839,930
05,01,02,05,627,37,76,36,68,181,100,57,72,317,244
05,01,02,06,4613,516,651,208,474,1360,565,459,380,2274,2520
05,01,02,07,6035,567,835,264,519,1696,804,647,703,3089,2765
05,01,02,08,2812,303,338,76,314,942,341,251,247,1370,1710
05,01,02,09,2007,166,288,65,204,553,304,223,204,964,980
05,01,03,10,1596,190,180,47,183,570,221,101,104,777,998
05,01,03,11,2875,238,429,135,297,806,409,282,279,1467,1384
05,01,03,12,4290,413,563,153,546,1449,551,305,310,1959,3123
05,01,03,13,2991,319,337,120,382,945,399,270,219,1419,1882
05,01,03,14,4993,441,515,172,563,1590,712,531,469,2444,2827
05,01,03,39,643,85,163,31,69,183,68,15,29,299,579
05,02,04,15,835,76,131,50,54,182,150,133,59,429,247
05,02,04,16,98,0,18,7,4,35,19,9,6,51,19
05,02,04,17,1781,111,214,91,238,437,250,207,233,848,834
05,02,04,18,1191,127,166,46,135,392,122,92,111,563,718
05,02,04,19,2340,301,327,70,205,759,264,210,204,1194,1259
05,02,04,20,204,15,42,7,18,49,31,25,17,100,89
05,02,05,21,914,66,122,49,115,240,164,100,58,452,346
