district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01,01,11,01,2069,601,45,52,66,27,83,19,106,28,22,30,113,18,31,343,135,69,25,447,88,38,232,7,37,16,46,65
01,01,11,02,78,50,0,0,4,3,6,6,15,0,7,3,6,0,0,0,0,0,0,6,0,0,6,3,0,0,6,4
01,01,11,03,2922,978,156,35,95,18,55,50,193,71,116,35,140,12,75,437,177,93,31,904,340,75,339,41,84,26,73,106
01,01,11,04,3010,653,91,43,77,34,50,44,98,54,21,19,130,57,25,264,111,65,6,1309,388,75,687,212,123,19,42,198
01,01,11,05,1002,273,19,13,37,19,19,12,51,15,9,0,12,3,6,221,131,47,21,308,33,12,226,3,15,3,36,15
01,01,12,01,1438,392,30,3,34,7,28,22,34,96,33,9,50,6,20,356,156,98,12,310,57,24,189,26,12,44,39,33
01,01,12,02,326,135,21,0,13,19,3,12,6,0,20,0,9,0,6,40,15,9,0,29,3,3,10,0,0,0,46,0
01,01,12,03,604,207,10,27,24,9,9,18,24,19,18,0,0,0,0,227,150,12,3,65,19,6,28,0,3,12,24,6
01,01,12,04,4232,1347,112,57,113,66,107,67,181,239,47,31,132,12,53,886,468,159,49,882,179,27,501,37,168,171,130,124
01,01,13,01,2952,1322,126,43,130,119,113,107,176,52,71,19,59,8,16,401,196,75,16,415,91,39,171,3,47,25,169,63
01,01,13,02,5108,2343,340,65,294,150,210,316,242,96,63,51,151,8,39,466,234,82,15,628,190,56,263,13,99,110,410,93
01,01,13,03,4846,1661,208,64,212,78,158,146,217,99,60,21,131,24,47,647,289,117,43,909,143,57,463,25,168,306,245,109
01,01,13,04,3675,831,61,21,100,24,105,32,171,65,40,6,211,26,30,384,147,62,30,868,264,34,360,18,109,706,61,121
01,01,13,05,3484,957,99,28,107,54,86,79,114,96,34,21,84,13,21,531,286,79,15,729,185,22,390,12,130,134,99,106
01,01,13,06,4754,1458,128,35,186,64,109,134,236,79,70,37,189,17,52,487,186,93,48,1138,601,43,312,22,79,179,353,224
01,01,14,01,7991,3538,480,135,438,255,271,332,387,139,124,51,201,37,49,787,350,157,25,1319,227,106,646,36,185,82,514,126
01,01,14,02,5550,2846,398,121,403,199,222,341,258,65,95,50,149,16,51,416,187,87,3,518,122,41,243,16,54,57,489,98
01,02,21,01,1992,782,51,40,52,23,30,34,263,80,83,25,126,36,37,126,42,27,9,709,147,34,423,143,110,7,36,94
01,02,21,02,4198,1379,96,86,123,30,57,46,369,196,73,70,347,58,123,189,58,30,15,1549,563,31,708,167,148,45,46,238
01,02,21,03,203,14,0,4,0,0,0,0,3,4,0,0,6,0,0,6,6,0,0,129,31,0,55,16,12,6,9,12
01,02,21,04,9539,3086,269,157,331,120,155,188,759,257,207,186,773,120,274,551,221,113,31,3422,1468,117,1343,399,316,101,167,503
01,02,21,05,3154,1023,54,64,108,23,25,33,188,265,78,51,219,31,104,203,69,49,12,1340,537,35,604,223,127,19,46,155
01,02,21,06,4058,1494,158,60,168,65,97,94,308,90,95,75,241,47,76,382,154,112,19,1095,404,89,428,141,62,22,110,170
01,02,22,01,5549,1823,188,88,197,68,99,108,380,105,176,93,336,69,100,366,133,82,18,2026,1010,73,707,152,226,44,118,309
01,02,22,02,1744,385,17,18,54,22,21,37,67,24,9,16,49,0,18,145,82,35,3,686,423,16,199,53,39,24,37,202
01,02,22,03,4230,1034,63,52,67,32,57,38,256,162,61,79,316,84,84,274,97,77,21,1950,1035,33,718,237,162,18,45,386
01,02,22,04,2639,984,100,70,102,31,45,53,222,64,73,19,103,12,36,295,124,65,12,723,291,42,278,49,51,29,72,100
01,02,22,05,2117,383,12,9,53,9,12,9,156,39,19,18,172,39,76,305,120,84,15,988,322,33,457,112,140,3,19,184
01,02,22,06,1223,446,36,44,34,12,26,17,150,38,12,3,45,12,12,131,63,16,15,306,130,9,107,19,12,16,28,89
01,02,22,07,2734,1075,130,47,125,53,121,53,192,56,38,33,106,6,37,310,123,80,15,545,167,36,203,33,54,31,85,77
01,03,31,01,17167,5170,205,537,321,133,191,170,1093,1232,557,187,1436,372,554,772,341,103,64,7774,4179,61,2494,606,590,79,135,1100
01,03,31,02,7417,1967,117,127,191,58,60,87,456,371,160,94,578,131,206,362,122,70,39,3550,2250,50,904,250,190,52,88,512
01,03,32,01,9576,1469,108,59,159,71,103,65,417,103,65,56,398,84,98,665,251,128,125,5562,3466,38,1537,676,262,44,98,957
01,03,32,02,6024,1252,62,47,109,44,46,59,445,90,69,108,338,37,117,453,180,110,46,3049,1935,36,788,225,154,16,64,583
01,03,32,03,9479,2428,163,114,234,57,131,108,573,312,229,126,720,214,177,557,292,91,52,4503,2328,51,1621,509,342,47,136,587
01,04,41,01,10355,3418,235,183,335,81,109,120,945,572,179,191,858,185,249,544,220,75,40,3999,2207,77,1170,262,234,100,146,652
01,04,41,02,6854,2145,132,109,186,44,82,55,817,306,67,107,609,128,142,405,179,70,25,2704,1451,58,838,151,214,57,55,546
01,04,41,03,4718,1589,140,97,179,51,75,60,264,309,151,68,228,33,52,278,121,58,18,1873,832,50,706,116,235,27,77,192
01,04,42,01,16597,4571,280,302,366,129,170,159,984,940,474,156,1173,407,342,757,293,132,62,7880,4393,74,2548,776,480,102,189,1128
01,04,42,02,10048,3143,220,178,288,108,159,157,754,526,204,92,545,99,207,442,179,84,41,3869,1578,75,1530,382,288,86,143,511
01,04,42,03,9739,3215,199,261,218,75,132,129,727,678,285,85,595,157,215,409,172,74,35,4200,2583,70,1123,323,227,71,141,499
02,01,01,01,4924,967,55,58,125,31,45,52,202,116,64,47,196,56,49,568,250,86,46,2189,970,130,825,254,141,57,65,332
02,01,01,02,9327,1531,135,123,172,61,67,108,282,196,61,90,344,111,92,650,230,125,34,5072,2903,78,1820,603,324,49,129,1155
02,01,01,03,10715,1326,83,94,173,75,86,68,320,188,29,31,267,86,103,306,106,61,33,6863,5424,48,1078,269,232,50,68,1404
02,01,01,04,3279,495,58,47,63,19,44,35,51,72,9,13,67,24,15,32,9,10,0,2042,1444,16,549,194,81,7,48,419
02,02,02,01,699,230,33,0,21,18,9,29,34,9,16,7,13,0,3,74,38,17,9,153,56,6,61,3,0,6,18,28
02,02,02,02,2723,947,101,51,135,46,54,86,136,61,41,73,171,33,44,113,51,21,4,933,415,25,405,73,149,6,123,163
02,02,02,03,4422,1783,205,101,302,104,148,191,266,68,41,74,236,44,71,163,81,18,7,1118,581,38,381,112,92,16,234,238
02,02,02,04,5450,2190,240,128,293,109,203,233,320,93,105,114,335,53,110,209,81,39,31,1562,870,83,467,113,108,37,236,291
02,02,02,05,6207,2229,303,124,298,122,164,243,248,62,81,110,261,51,41,231,92,47,3,1886,1300,79,411,105,110,16,387,442
02,02,02,06,8876,3099,404,134,450,181,236,305,370,232,106,99,371,89,95,257,107,29,11,3207,1897,66,1043,522,118,9,396,487
02,03,03,01,5698,1067,150,64,149,58,81,135,93,76,37,30,150,61,34,65,17,12,4,3342,2883,31,338,61,68,0,123,583
02,03,03,02,7134,1733,221,68,240,115,148,179,157,121,43,49,207,57,60,134,42,31,12,3504,2812,55,490,93,104,18,206,669
02,03,04,01,7568,2556,251,121,407,187,248,286,240,108,97,53,262,64,70,183,67,19,24,2783,2049,70,529,133,95,6,349,462
02,03,04,02,5685,1927,238,111,309,86,164,211,227,126,34,43,146,20,43,161,65,35,10,2099,1729,33,192,56,46,9,249,412
02,04,05,01,1554,416,28,6,45,13,16,21,93,60,12,6,55,3,27,220,95,34,23,337,54,0,179,7,65,283,21,65
02,04,05,02,2347,781,62,24,104,47,66,46,122,72,43,16,119,24,40,307,123,53,34,406,86,21,147,9,63,312,44,76
02,04,05,03,3139,1418,148,69,175,92,115,120,249,55,45,37,122,34,33,288,122,45,28,401,80,12,194,24,52,259,110,86
02,04,07,01,5786,1444,92,40,114,49,106,94,321,177,68,12,400,83,105,751,320,139,62,1575,362,67,684,43,212,594,95,175
02,04,07,02,3261,1521,186,52,231,70,179,128,206,59,41,33,87,13,13,263,131,41,39,437,151,25,149,6,50,95,184,68
02,04,07,03,789,453,12,9,28,0,27,30,28,13,244,16,31,0,12,102,37,18,3,108,56,3,23,0,3,18,18,14
02,05,06,01,2966,1295,192,50,183,80,108,109,166,47,48,28,123,40,33,241,103,54,21,435,82,13,199,18,76,170,127,65
02,05,06,02,6967,3311,427,96,534,190,320,299,406,136,114,58,263,80,63,679,261,132,92,914,195,25,438,38,149,275,340,87
02,05,08,01,7491,3249,423,88,529,144,326,277,410,106,119,35,353,95,121,526,204,89,76,1180,200,40,650,6,319,380,362,193
02,05,08,02,7147,3742,539,118,582,205,329,414,416,93,154,47,180,21,52,448,184,67,45,802,216,42,316,23,117,119,429,128
02,05,08,03,2715,1327,150,74,217,53,108,110,158,38,101,33,114,12,39,254,110,58,17,394,140,17,151,19,52,70,117,70
02,05,08,04,1148,404,38,17,37,18,21,56,65,16,26,8,45,3,27,161,58,30,12,228,38,9,122,0,26,31,43,37
