district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01,01,11,01,1955,569,54,62,66,16,84,27,93,32,19,16,76,14,22,314,108,78,27,467,84,39,267,9,63,15,47,56
01,01,11,02,71,37,3,3,3,4,4,3,11,0,3,0,3,0,3,6,3,0,0,4,0,0,4,0,4,0,9,0
01,01,11,03,2901,958,159,33,87,16,45,31,203,82,125,35,160,16,75,421,165,96,39,930,331,76,367,34,99,42,53,106
01,01,11,04,3124,728,116,36,74,28,49,34,123,51,30,23,127,60,15,257,105,62,7,1388,437,61,702,230,102,28,60,160
01,01,11,05,829,219,15,12,33,18,21,9,43,4,9,3,14,0,7,231,125,28,12,285,33,12,180,12,9,0,43,16
01,01,12,01,1413,407,26,12,30,15,33,16,32,104,53,6,41,6,18,325,147,89,22,307,48,21,197,22,9,44,41,42
01,01,12,02,306,138,16,3,15,18,15,9,10,0,16,0,6,3,3,50,27,8,0,29,12,0,8,0,0,0,19,0
01,01,12,03,578,179,9,12,16,15,13,20,21,13,6,3,13,0,6,207,131,19,3,58,18,10,12,0,0,22,24,12
01,01,12,04,3967,1324,100,56,99,56,88,88,199,247,46,31,131,18,43,805,442,120,39,811,157,24,470,37,156,165,120,126
01,01,13,01,2929,1311,128,34,124,109,126,118,165,56,66,18,94,18,22,384,173,67,28,378,104,46,137,3,51,22,172,52
01,01,13,02,4980,2363,375,59,261,165,196,308,245,121,53,56,166,15,40,476,232,76,24,602,176,31,258,16,94,120,404,78
01,01,13,03,4627,1653,203,65,195,79,163,147,191,102,91,12,122,27,46,574,245,127,34,889,156,42,475,30,129,270,244,76
01,01,13,04,3575,848,61,35,89,26,117,41,166,57,38,6,190,38,19,401,146,75,30,755,239,26,294,18,98,715,50,131
01,01,13,05,3063,881,81,7,114,59,74,66,106,96,39,18,65,3,17,464,241,78,19,626,169,15,318,12,89,117,77,108
01,01,13,06,4467,1503,131,71,166,69,108,113,283,73,57,43,207,28,51,481,172,99,44,1097,574,48,299,24,97,147,300,186
01,01,14,01,7424,3347,459,142,413,235,251,325,351,126,127,38,211,25,54,784,357,142,31,1151,213,69,549,35,155,71,467,113
01,01,14,02,5293,2711,369,126,407,177,237,313,222,66,87,47,118,17,24,432,189,73,13,493,114,54,196,6,44,60,447,95
01,02,21,01,1910,799,62,42,45,18,31,22,295,84,74,31,131,40,42,109,47,15,3,634,138,27,395,130,96,10,36,87
01,02,21,02,4053,1350,76,75,123,33,34,60,370,206,69,80,322,44,123,212,70,37,19,1548,574,31,709,140,134,52,35,241
01,02,21,03,209,36,3,3,0,0,0,7,6,11,3,0,3,0,0,6,6,0,0,130,38,11,42,12,7,10,0,13
01,02,21,04,9343,3156,270,164,343,110,158,165,820,265,203,175,709,120,234,546,219,114,36,3327,1458,109,1303,376,307,95,169,497
01,02,21,05,3126,1033,60,61,96,24,39,28,206,268,107,31,194,28,104,192,71,53,3,1273,541,28,547,222,79,19,43,186
01,02,21,06,4046,1442,146,72,164,69,84,90,292,77,117,64,233,43,73,364,143,93,25,1086,449,61,430,130,53,24,116,202
01,02,22,01,5438,1814,210,71,203,77,102,114,354,112,180,66,316,69,94,336,134,72,16,2035,1001,76,697,152,221,34,76,331
01,02,22,02,1288,243,15,10,43,18,7,21,47,13,13,4,19,3,6,76,43,18,6,627,392,15,176,52,29,3,9,186
01,02,22,03,4164,1007,61,59,78,29,55,42,282,137,61,65,332,97,103,288,92,73,30,1942,1052,24,735,243,142,18,26,375
01,02,22,04,2544,1003,99,61,92,41,56,59,238,94,49,16,99,15,27,299,143,53,15,675,253,39,274,46,65,12,89,105
