district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
01,01,11,01,3269,100.0,1955,59.8,1931,59.1,1314,40.2,617,18.9,1338,40.9
01,01,11,02,185,100.0,71,38.4,124,67.0,114,61.6,10,5.4,61,33.0
01,01,11,03,5073,100.0,2901,57.2,3286,64.8,2172,42.8,1114,22.0,1787,35.2
01,01,11,04,4781,100.0,3124,65.3,2872,60.1,1657,34.7,1215,25.4,1909,39.9
01,01,11,05,1322,100.0,829,62.7,717,54.2,493,37.3,224,16.9,605,45.8
01,01,12,01,2387,100.0,1413,59.2,1423,59.6,974,40.8,449,18.8,964,40.4
01,01,12,02,635,100.0,306,48.2,397,62.5,329,51.8,68,10.7,238,37.5
01,01,12,03,1086,100.0,578,53.2,682,62.8,508,46.8,174,16.0,404,37.2
01,01,12,04,8117,100.0,3967,48.9,5490,67.6,4150,51.1,1340,16.5,2627,32.4
01,01,13,01,6841,100.0,2929,42.8,4764,69.6,3912,57.2,852,12.5,2077,30.4
01,01,13,02,12640,100.0,4980,39.4,9234,73.1,7660,60.6,1574,12.5,3406,26.9
01,01,13,03,9923,100.0,4627,46.6,6536,65.9,5296,53.4,1240,12.5,3387,34.1
01,01,13,04,8765,100.0,3575,40.8,6532,74.5,5190,59.2,1342,15.3,2233,25.5
01,01,13,05,8007,100.0,3063,38.3,6002,75.0,4944,61.7,1058,13.2,2005,25.0
01,01,13,06,10416,100.0,4467,42.9,7372,70.8,5949,57.1,1423,13.7,3044,29.2
01,01,14,01,17588,100.0,7424,42.2,12193,69.3,10164,57.8,2029,11.5,5395,30.7
01,01,14,02,13593,100.0,5293,38.9,9968,73.3,8300,61.1,1668,12.3,3625,26.7
01,02,21,01,3566,100.0,1910,53.6,2230,62.5,1656,46.4,574,16.1,1336,37.5
01,02,21,02,6658,100.0,4053,60.9,3842,57.7,2605,39.1,1237,18.6,2816,42.3
01,02,21,03,266,100.0,209,78.6,120,45.1,57,21.4,63,23.7,146,54.9
01,02,21,04,18736,100.0,9343,49.9,12697,67.8,9393,50.1,3304,17.6,6039,32.2
01,02,21,05,5318,100.0,3126,58.8,3323,62.5,2192,41.2,1131,21.3,1995,37.5
01,02,21,06,11512,100.0,4046,35.1,9177,79.7,7466,64.9,1711,14.9,2335,20.3
01,02,22,01,10990,100.0,5438,49.5,7638,69.5,5552,50.5,2086,19.0,3352,30.5
01,02,22,02,2058,100.0,1288,62.6,1401,68.1,770,37.4,631,30.7,657,31.9
01,02,22,03,7021,100.0,4164,59.3,4662,66.4,2857,40.7,1805,25.7,2359,33.6
01,02,22,04,6008,100.0,2544,42.3,4446,74.0,3464,57.7,982,16.3,1562,26.0
01,02,22,05,3310,100.0,2050,61.9,2232,67.4,1260,38.1,972,29.4,1078,32.6
01,02,22,06,3048,100.0,1237,40.6,2369,77.7,1811,59.4,558,18.3,679,22.3
01,02,22,07,5730,100.0,2625,45.8,3855,67.3,3105,54.2,750,13.1,1875,32.7
01,03,31,01,26876,100.0,16880,62.8,15768,58.7,9996,37.2,5772,21.5,11108,41.3
01,03,31,02,12119,100.0,7463,61.6,7402,61.1,4656,38.4,2746,22.7,4717,38.9
01,03,32,01,13826,100.0,9243,66.9,9565,69.2,4583,33.1,4982,36.0,4261,30.8
01,03,32,02,9735,100.0,5509,56.6,7114,73.1,4226,43.4,2888,29.7,2621,26.9
01,03,32,03,14513,100.0,9323,64.2,8627,59.4,5190,35.8,3437,23.7,5886,40.6
01,04,41,01,20775,100.0,10046,48.4,14376,69.2,10729,51.6,3647,17.6,6399,30.8
01,04,41,02,16564,100.0,6643,40.1,12608,76.1,9921,59.9,2687,16.2,3956,23.9
01,04,41,03,8715,100.0,4615,53.0,5505,63.2,4100,47.0,1405,16.1,3210,36.8
01,04,42,01,24168,100.0,16510,68.3,13542,56.0,7658,31.7,5884,24.3,10626,44.0
01,04,42,02,16972,100.0,9897,58.3,10058,59.3,7075,41.7,2983,17.6,6914,40.7
01,04,42,03,16498,100.0,9810,59.5,9937,60.2,6688,40.5,3249,19.7,6561,39.8
02,01,01,01,6628,100.0,4702,70.9,3787,57.1,1926,29.1,1861,28.1,2841,42.9
02,01,01,02,13473,100.0,9189,68.2,8965,66.5,4284,31.8,4681,34.7,4508,33.5
02,01,01,03,15349,100.0,10797,70.3,9896,64.5,4552,29.7,5344,34.8,5453,35.5
02,01,01,04,5000,100.0,3245,64.9,3367,67.3,1755,35.1,1612,32.2,1633,32.7
02,02,02,01,1306,100.0,571,43.7,978,74.9,735,56.3,243,18.6,328,25.1
02,02,02,02,6003,100.0,2616,43.6,4316,71.9,3387,56.4,929,15.5,1687,28.1
02,02,02,03,10999,100.0,4317,39.2,8349,75.9,6682,60.8,1667,15.2,2650,24.1
02,02,02,04,12753,100.0,5443,42.7,9298,72.9,7310,57.3,1988,15.6,3455,27.1
02,02,02,05,14843,100.0,5961,40.2,11271,75.9,8882,59.8,2389,16.1,3572,24.1
02,02,02,06,19024,100.0,8738,45.9,13806,72.6,10286,54.1,3520,18.5,5218,27.4
02,03,03,01,9043,100.0,5717,63.2,5608,62.0,3326,36.8,2282,25.2,3435,38.0
02,03,03,02,13115,100.0,7123,54.3,8832,67.3,5992,45.7,2840,21.7,4283,32.7
02,03,04,01,15362,100.0,7527,49.0,10458,68.1,7835,51.0,2623,17.1,4904,31.9
02,03,04,02,11112,100.0,5603,50.4,7448,67.0,5509,49.6,1939,17.4,3664,33.0
02,04,05,01,5350,100.0,1482,27.7,4536,84.8,3868,72.3,668,12.5,814,15.2
02,04,05,02,7333,100.0,2155,29.4,5983,81.6,5178,70.6,805,11.0,1350,18.4
02,04,05,03,11161,100.0,2932,26.3,9270,83.1,8229,73.7,1041,9.3,1891,16.9
02,04,07,01,12662,100.0,5096,40.2,9427,74.5,7566,59.8,1861,14.7,3235,25.5
02,04,07,02,10842,100.0,2898,26.7,8897,82.1,7944,73.3,953,8.8,1945,17.9
02,04,07,03,1164,100.0,797,68.5,468,40.2,367,31.5,101,8.7,696,59.8
02,05,06,01,9065,100.0,2791,30.8,7098,78.3,6274,69.2,824,9.1,1967,21.7
02,05,06,02,21634,100.0,6508,30.1,17080,78.9,15126,69.9,1954,9.0,4554,21.1
02,05,08,01,19532,100.0,6596,33.8,14754,75.5,12936,66.2,1818,9.3,4778,24.5
02,05,08,02,21150,100.0,6617,31.3,16303,77.1,14533,68.7,1770,8.4,4847,22.9
02,05,08,03,7468,100.0,2457,32.9,5746,76.9,5011,67.1,735,9.8,1722,23.1
02,05,08,04,4592,100.0,1070,23.3,4006,87.2,3522,76.7,484,10.5,586,12.8
03,01,01,01,4063,100.0,557,13.7,3705,91.2,3506,86.3,199,4.9,358,8.8
03,01,01,02,12313,100.0,2359,19.2,10535,85.6,9954,80.8,581,4.7,1778,14.4
03,01,01,04,222,100.0,47,21.2,196,88.3,175,78.8,21,9.5,26,11.7
03,02,02,03,2315,100.0,377,16.3,2023,87.4,1938,83.7,85,3.7,292,12.6
03,02,02,09,14956,100.0,2374,15.9,13578,90.8,12582,84.1,996,6.7,1378,9.2
03,02,02,10,11372,100.0,1632,14.4,10462,92.0,9740,85.6,722,6.3,910,8.0
03,02,03,07,18242,100.0,2357,12.9,17312,94.9,15885,87.1,1427,7.8,930,5.1
03,03,04,05,11462,100.0,1907,16.6,10380,90.6,9555,83.4,825,7.2,1082,9.4
03,03,04,06,8143,100.0,692,8.5,7876,96.7,7451,91.5,425,5.2,267,3.3
03,03,07,11,6845,100.0,474,6.9,6661,97.3,6371,93.1,290,4.2,184,2.7
03,03,07,15,7661,100.0,1450,18.9,6644,86.7,6211,81.1,433,5.7,1017,13.3
03,03,07,16,1138,100.0,41,3.6,1114,97.9,1097,96.4,17,1.5,24,2.1
03,04,05,08,4615,100.0,936,20.3,4329,93.8,3679,79.7,650,14.1,286,6.2
03,04,05,12,9951,100.0,1539,15.5,9247,92.9,8412,84.5,835,8.4,704,7.1
03,04,05,13,3375,100.0,491,14.5,3145,93.2,2884,85.5,261,7.7,230,6.8
03,04,06,14,36065,100.0,5298,14.7,33237,92.2,30767,85.3,2470,6.8,2828,7.8
03,04,08,18,34701,100.0,5718,16.5,31102,89.6,28983,83.5,2119,6.1,3599,10.4
03,05,09,19,5559,100.0,1061,19.1,4747,85.4,4498,80.9,249,4.5,812,14.6
03,05,09,20,7402,100.0,1076,14.5,6797,91.8,6326,85.5,471,6.4,605,8.2
