district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
03,05,10,22,253,24,54,9,24,83,37,15,7,129,128
03,06,11,26,3487,319,289,38,605,1781,292,108,55,1667,2381
03,06,11,31,2915,276,223,45,459,1494,266,110,42,1453,2029
03,06,12,27,3177,286,240,48,427,1724,306,104,42,1574,2135
03,06,12,28,2300,202,171,51,340,1152,223,98,63,1152,1555
03,06,13,32,6102,671,543,102,728,3170,648,167,73,3041,4021
03,06,14,29,1114,155,142,30,162,378,138,67,42,566,657
03,06,14,30,856,137,124,13,178,282,52,40,30,371,686
03,06,14,34,1244,125,97,20,192,607,102,58,43,629,836
03,06,14,35,883,68,91,18,153,395,104,48,6,446,600
03,06,14,41,559,88,129,12,52,193,46,27,12,290,276
03,07,15,36,3455,342,348,68,451,1682,378,111,75,1696,2322
03,07,15,37,4596,499,470,63,540,2221,518,163,122,2244,3248
03,07,16,33,554,64,89,19,79,223,37,21,22,265,320
03,07,16,38,4776,541,435,94,625,2340,479,177,85,2355,3215
03,07,16,39,2904,324,364,50,355,1284,329,135,63,1452,1870
04,01,01,01,4568,392,502,128,644,1452,607,467,376,2231,2593
04,01,01,02,288,20,18,9,57,93,39,43,9,62,253
04,01,01,03,3769,388,469,145,431,1169,539,346,282,1943,1804
04,02,02,04,66,6,19,3,4,12,7,6,9,28,41
04,02,02,05,296,27,35,9,34,92,56,28,15,141,183
04,02,02,06,517,36,52,12,46,150,61,70,90,256,295
04,02,02,07,703,43,89,33,78,241,108,72,39,347,394
04,02,02,08,680,48,103,42,71,156,133,72,55,353,357
04,02,02,09,1154,41,67,21,430,400,91,71,33,560,887
04,02,03,10,302,22,6,0,113,124,19,12,6,134,264
04,02,03,11,3894,269,394,144,475,1210,648,379,375,1914,2223
04,02,03,12,1468,123,167,46,168,492,175,145,152,711,901
04,02,03,13,2844,249,301,77,390,1012,339,255,221,1378,1882
04,02,03,14,15,0,0,0,3,0,3,6,3,3,15
04,03,04,15,1369,53,83,25,237,552,168,137,114,634,1019
04,03,04,16,4844,386,472,158,593,1490,696,526,523,2453,2757
04,03,04,17,3950,318,407,111,482,1326,553,373,380,1974,2394
04,03,05,18,3938,266,345,104,502,1282,572,460,407,1933,2371
04,03,05,19,2386,191,239,79,300,853,335,236,153,1131,1385
04,03,06,20,3581,245,327,109,367,1230,566,388,349,1791,2095
04,03,06,21,1536,110,131,39,224,530,234,134,134,721,925
04,03,06,22,4583,307,392,124,531,1544,642,552,491,2307,2693
04,03,06,23,2488,215,209,61,261,861,333,262,286,1284,1452
04,03,07,24,2117,134,174,66,197,672,291,264,319,1153,1260
04,03,07,25,4562,337,428,126,529,1608,668,471,395,2215,2993
04,03,07,26,2214,146,205,81,202,731,361,241,247,1126,1370
04,03,08,27,6155,426,525,165,654,2171,918,680,616,2928,4019
04,03,08,28,3901,211,292,93,444,1342,648,461,410,1968,2498
04,03,09,29,2319,142,157,66,271,715,337,329,302,1180,1459
04,03,09,30,2351,142,219,67,213,681,410,314,305,1105,1537
04,03,09,31,1995,143,176,46,221,614,333,247,215,935,1378
04,03,10,32,5537,385,507,118,552,1797,898,679,601,2885,3241
04,04,11,33,6,0,0,0,0,0,3,3,0,3,0
04,04,11,34,1834,157,201,55,204,537,292,199,189,934,1050
04,04,11,35,881,70,113,38,67,211,164,106,112,457,502
04,04,11,36,925,42,135,24,80,255,174,109,106,493,549
04,04,11,37,2631,235,267,69,238,869,384,316,253,1391,1421
04,04,12,38,1635,136,254,64,135,466,250,192,138,838,795
04,04,12,39,97,3,6,3,12,40,15,15,3,48,73
04,04,12,40,400,26,55,30,41,104,77,37,30,206,226
04,04,12,41,1636,123,200,73,162,496,271,151,160,847,948
04,04,13,42,1183,91,95,27,94,305,194,193,184,616,635
04,04,13,43,1001,79,98,30,102,295,173,123,101,525,545
04,04,13,44,2673,208,319,104,221,786,412,306,317,1381,1575
04,05,14,45,2541,203,271,64,229,855,389,292,238,1329,1452
04,05,14,46,4256,311,383,108,415,1338,632,554,515,2142,2491
04,05,14,47,2063,146,194,42,217,645,307,274,238,1082,1284
04,05,14,48,3876,251,281,76,438,1278,587,484,481,1909,2466
04,05,15,49,2108,202,258,64,335,736,237,168,108,916,1488
04,05,15,50,2025,111,235,82,224,648,310,238,177,1034,1157
04,05,15,51,1664,127,159,46,194,548,226,190,174,808,956
04,05,16,52,3474,234,332,105,405,1096,515,411,376,1743,2197
04,05,16,53,2545,180,241,65,285,796,371,318,289,1287,1514
04,05,16,54,1007,61,70,22,130,325,166,125,108,515,619
04,05,16,55,2805,252,309,82,292,958,395,280,237,1364,1695
04,05,16,56,2220,187,229,92,231,741,340,194,206,1092,1291
04,06,17,57,6,0,0,0,0,0,0,3,3,0,3
05,01,01,01,2821,327,406,106,376,862,341,231,172,1331,1554
05,01,01,02,1091,84,86,36,162,336,155,122,110,542,611
05,01,01,03,1068,82,139,40,88,321,153,145,100,538,442
05,01,02,04,1147,98,220,76,130,292,129,100,102,589,518
05,01,02,05,474,31,66,26,70,102,82,57,40,260,173
05,01,02,06,3143,311,455,116,326,843,460,354,278,1553,1302
05,01,02,07,5231,503,745,206,531,1476,664,623,483,2701,2058
05,01,02,08,2168,287,226,54,271,723,282,182,143,1073,1203
05,01,02,09,1625,146,203,90,172,466,270,164,114,827,679
05,01,03,10,1140,133,136,38,124,378,163,79,89,576,643
05,01,03,11,2810,268,455,135,353,806,339,240,214,1403,1466
05,01,03,12,3488,354,417,130,536,1156,432,256,207,1586,2337
05,01,03,13,2444,249,270,125,368,722,355,215,140,1173,1428
05,01,03,14,4039,326,442,130,469,1279,648,427,318,1966,2194
05,01,03,39,475,73,97,30,61,163,23,21,7,203,423
05,02,04,15,713,57,117,33,73,175,148,71,39,355,203
05,02,04,16,86,9,12,3,3,25,25,9,0,38,27
05,02,04,17,1487,83,204,82,171,423,214,170,140,697,673
05,02,04,18,725,65,110,36,62,211,98,83,60,346,321
05,02,04,19,1609,182,205,59,181,449,200,193,140,842,774
05,02,04,20,135,15,18,12,12,18,33,21,6,69,45
05,02,05,21,730,65,123,48,57,214,140,53,30,360,239
05,02,05,22,2905,386,431,134,368,875,323,222,166,1443,1707
05,02,05,23,5744,614,986,268,598,1548,761,555,414,2923,2317
05,02,05,24,969,69,117,58,101,220,186,148,70,489,398
05,02,06,25,2187,201,252,91,266,675,241,257,204,1089,1136
05,02,06,26,5754,586,666,190,829,1878,757,457,391,2726,3521
05,02,06,27,1366,153,235,69,167,376,182,120,64,655,685
05,02,06,28,405,38,41,19,31,112,66,49,49,206,181
05,02,06,29,594,51,81,24,58,130,122,64,64,303,289
05,03,07,30,2003,200,313,123,162,637,333,144,91,994,617
05,03,07,31,4511,436,515,161,539,1328,602,559,371,2273,2009
05,03,08,32,4624,484,574,195,531,1386,608,470,376,2293,2563
05,03,08,33,1008,89,107,34,313,341,69,31,24,342,921
05,04,09,34,1041,123,179,41,165,274,119,72,68,469,722
05,04,09,35,96,3,9,3,15,27,21,9,9,36,69
05,04,09,36,1511,164,306,83,107,369,236,135,111,770,523
05,04,09,37,272,18,49,6,21,67,35,40,36,150,97
05,04,09,38,387,33,65,29,27,82,66,42,43,207,139
06,01,01,01,1477,121,188,58,159,417,220,152,162,760,787
06,01,01,02,2847,264,302,106,288,948,416,293,230,1464,1568
06,01,01,03,1844,177,213,58,153,643,253,182,165,939,931
06,01,02,04,2075,171,239,64,236,623,322,234,186,1076,1000
06,01,02,05,2632,251,294,113,275,837,401,278,183,1332,1277
06,01,02,06,1891,185,187,45,180,616,241,225,212,945,1000
06,01,02,07,2253,212,269,73,221,722,312,278,166,1162,1154
06,01,02,08,1765,143,188,36,215,573,263,174,173,892,907
06,01,02,09,2593,214,251,81,297,837,399,292,222,1347,1371
06,01,02,10,1217,136,117,23,116,376,195,148,106,612,621
06,02,03,01,996,78,128,34,115,306,126,114,95,524,472
06,02,03,02,1099,102,136,43,95,307,157,129,130,582,555
06,02,03,03,1946,214,206,58,191,651,264,213,149,954,972
06,02,03,04,1653,146,190,54,177,533,238,179,136,838,831
06,02,03,05,3377,258,361,90,471,1098,430,368,301,1738,1786
06,02,03,06,1087,98,108,63,86,314,171,127,120,567,450
06,02,04,07,2371,220,304,78,350,675,287,260,197,1198,1229
06,02,04,08,1551,157,208,95,182,401,231,150,127,765,833
06,02,04,09,1787,157,203,69,180,504,264,201,209,914,964
06,02,04,10,1173,94,129,37,158,339,150,144,122,605,680
06,02,04,11,1678,137,251,64,148,431,262,239,146,871,688
06,03,05,01,1230,93,171,63,203,355,155,97,93,527,779
06,03,05,02,1041,109,130,37,89,285,162,115,114,554,457
06,03,05,03,2754,225,377,120,280,752,434,307,259,1443,1393
06,03,05,04,2095,156,320,129,188,457,332,268,245,1117,1058
06,03,06,05,1706,136,199,57,203,502,232,219,158,853,955
06,03,06,06,1563,118,193,50,243,437,223,159,140,809,883
06,03,06,07,1137,39,80,24,318,474,105,51,46,596,826
06,03,06,08,2904,249,501,179,319,744,419,307,186,1403,1401
06,03,06,09,2522,264,316,100,226,764,369,263,220,1308,1345
06,03,06,10,1631,127,235,74,179,402,286,153,175,860,930
06,04,07,01,1758,135,268,62,150,413,306,200,224,916,933
06,04,07,02,990,76,188,68,93,206,161,115,83,523,415
06,04,07,03,2518,134,228,79,727,692,264,193,201,1251,1705
06,04,08,04,1140,101,160,56,144,207,201,116,155,594,600
06,04,08,05,1028,100,178,52,80,219,162,122,115,561,511
06,04,08,06,1074,91,157,43,128,284,147,121,103,574,568
06,04,08,07,1144,114,151,52,116,288,175,119,129,591,599
06,04,08,08,1678,145,331,92,212,404,275,151,68,846,768
06,04,08,09,1398,91,193,61,139,375,207,140,192,712,910
06,04,08,10,1896,135,270,83,239,508,281,205,175,983,1068
07,01,01,01,4390,288,361,117,435,1412,743,564,470,2126,2682
07,01,01,02,8339,526,896,326,1159,2542,1220,859,811,3987,5121
07,01,01,03,3595,257,377,83,416,1256,505,402,299,1773,2179
07,01,01,04,7762,557,815,272,985,2510,1097,704,822,3737,4831
07,02,02,01,3399,266,312,122,386,1108,525,359,321,1748,1863
07,02,02,02,4092,327,406,103,557,1530,519,350,300,1899,2469
07,02,02,03,7346,593,790,228,987,2436,1064,689,559,3542,4379
07,02,02,04,4176,358,405,95,589,1560,577,304,288,1957,2558
07,03,03,01,5798,483,712,230,684,1847,812,588,442,2977,3091
07,03,03,02,2666,216,315,77,328,830,369,311,220,1372,1399
07,03,03,03,5001,460,611,202,603,1525,767,443,390,2508,2532
07,04,04,01,6511,630,768,238,840,2094,910,568,463,3216,3429
07,04,04,02,391,37,49,3,30,125,69,45,33,191,158
07,04,04,03,8020,749,941,272,905,2810,1045,721,577,3968,4310
07,04,04,04,1160,78,155,48,121,328,173,111,146,578,555
07,04,04,05,4317,437,512,164,582,1479,559,308,276,2114,2406
07,04,04,06,1848,236,143,25,267,722,233,113,109,836,1131
07,05,05,01,5669,575,651,168,651,1856,739,576,453,2850,2820
07,05,05,02,2700,191,328,96,371,869,399,270,176,1269,1556
07,05,05,03,2576,219,268,91,287,828,353,313,217,1302,1226
07,05,05,04,1633,145,200,88,203,442,241,197,117,805,676
07,05,05,05,2563,231,362,118,267,733,389,240,223,1299,1089
07,05,05,06,475,34,81,20,47,122,94,51,26,239,200
07,06,06,01,3783,355,552,177,494,1105,450,358,292,1780,1958
07,06,06,02,936,83,125,24,84,270,165,110,75,441,403
07,06,06,03,942,100,161,49,104,265,128,99,36,479,401
07,06,06,04,4860,453,587,189,427,1401,669,615,519,2491,1733
07,07,07,01,1823,170,270,93,135,498,298,207,152,933,759
07,07,07,02,1801,176,264,85,163,445,325,198,145,933,656
07,07,07,03,1595,97,208,74,137,375,280,249,175,836,662
07,07,07,04,2640,258,476,162,233,642,370,280,219,1348,1153
07,07,07,05,1036,95,149,52,94,307,164,95,80,555,440
07,07,07,06,729,77,108,26,125,216,88,43,46,301,482
