district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01,01,11,01,1698,532,41,63,49,25,71,22,88,28,24,16,61,18,15,298,136,45,22,390,77,37,217,15,40,12,27,108
01,01,11,02,75,42,0,6,6,6,6,3,6,0,0,0,0,0,0,9,3,3,0,9,0,0,3,0,3,3,3,3
01,01,11,03,3180,975,150,28,89,18,42,50,203,84,125,33,192,28,81,405,154,93,26,1122,282,60,537,53,231,33,43,176
01,01,11,04,2908,752,115,46,70,28,49,31,150,74,33,12,86,40,16,262,100,63,10,1274,456,68,574,211,43,22,52,172
01,01,11,05,622,164,9,6,21,12,18,7,33,8,7,0,6,0,3,163,91,23,6,195,18,3,124,6,12,0,21,6
01,01,12,01,1000,293,28,9,35,6,18,15,16,94,18,3,9,3,3,269,113,74,6,214,35,9,149,21,15,28,22,51
01,01,12,02,245,101,21,7,9,11,4,12,6,0,6,0,15,0,9,26,14,3,0,18,12,0,0,0,0,0,37,0
01,01,12,03,481,178,18,13,21,9,12,21,18,9,10,0,3,0,3,206,142,9,0,29,17,0,9,0,0,9,22,3
01,01,12,04,2776,1009,58,46,82,60,62,55,154,225,36,24,91,13,33,558,268,94,24,591,87,12,352,24,138,94,59,80
01,01,13,01,2314,1022,110,39,90,92,84,68,141,39,60,24,74,16,27,313,163,48,25,302,61,40,124,0,27,31,124,43
01,01,13,02,4439,2169,333,48,283,183,164,273,208,83,57,38,151,15,42,412,163,71,21,538,187,30,192,24,45,48,372,69
01,01,13,03,3518,1284,170,56,146,89,130,108,172,74,49,15,99,19,25,406,174,81,26,616,95,46,323,40,90,231,157,112
01,01,13,04,2771,648,59,36,84,19,83,32,105,58,21,7,189,23,30,299,107,67,27,585,210,16,225,0,37,531,43,112
01,01,13,05,2304,664,71,15,70,28,60,52,88,80,22,19,62,3,18,402,213,54,24,480,150,9,203,24,34,85,87,90
01,01,13,06,3145,1056,76,39,113,43,88,74,183,74,43,46,207,51,51,312,86,67,33,851,508,24,220,16,75,121,148,188
01,01,14,01,5833,2866,388,115,353,203,224,283,277,89,111,33,218,46,58,543,250,100,19,785,160,48,337,14,130,58,339,104
01,01,14,02,4479,2396,338,90,367,169,249,290,213,49,48,22,79,9,30,375,126,79,9,361,95,30,122,12,15,34,330,68
01,02,21,01,1750,738,55,46,44,18,25,18,295,72,93,19,119,37,39,84,33,12,3,570,145,15,344,143,18,15,22,100
01,02,21,02,3655,1275,78,70,108,31,39,46,404,192,54,76,316,54,114,164,55,28,12,1387,580,28,587,140,73,53,25,218
01,02,21,03,165,35,3,3,3,0,3,0,13,4,3,0,3,0,0,6,3,0,0,89,30,6,15,6,0,10,0,16
01,02,21,04,8443,2780,231,128,295,87,131,134,860,192,167,157,674,95,260,501,175,111,36,3013,1454,90,1059,364,210,111,136,513
01,02,21,05,2967,932,63,49,83,15,33,24,222,196,86,41,250,33,152,202,63,43,6,1219,564,27,473,215,47,18,33,200
01,02,21,06,3872,1326,136,68,127,54,84,75,295,86,98,52,253,66,79,378,147,97,38,1156,398,66,510,113,95,21,90,225
01,02,22,01,5097,1650,178,74,176,73,79,69,357,101,154,85,356,58,135,327,135,71,24,1897,1039,55,598,156,152,37,85,338
01,02,22,02,976,108,0,6,21,9,3,3,32,12,0,0,21,6,15,52,36,10,0,567,368,6,166,42,13,3,3,148
01,02,22,03,3925,925,38,55,79,29,48,49,299,75,70,39,326,112,102,289,67,83,20,1866,1076,30,632,243,61,24,17,364
01,02,22,04,2225,931,79,56,101,43,50,59,228,87,39,13,80,15,30,243,90,58,21,623,273,37,244,52,48,19,55,82
01,02,22,05,1837,369,21,20,52,15,16,9,143,21,18,18,158,28,87,319,129,93,16,746,279,32,310,103,52,6,9,156
01,02,22,06,1150,454,37,44,42,9,34,15,134,28,15,6,39,6,6,120,63,10,15,320,144,9,119,15,24,19,25,84
01,02,22,07,2420,944,103,43,78,43,92,46,201,85,43,21,97,15,40,286,131,49,9,411,131,40,130,30,27,47,70,87
01,03,31,01,15905,4587,151,499,275,98,167,103,1174,1033,439,164,1505,386,637,796,326,104,79,7240,4384,51,1832,618,266,92,100,1019
01,03,31,02,6902,1798,108,101,132,49,74,61,442,392,131,82,573,151,211,268,110,66,18,3446,2354,30,820,248,108,43,66,492
01,03,32,01,8438,1321,91,37,123,36,82,44,400,189,54,57,369,75,122,632,283,91,130,5122,3286,16,1383,690,123,34,59,824
01,03,32,02,5270,1071,58,46,95,30,47,42,438,67,41,89,317,54,98,409,184,79,48,2699,1815,25,579,191,67,15,47,578
01,03,32,03,8768,2265,116,102,190,64,125,79,659,338,170,114,724,197,219,567,256,71,53,4144,2483,22,1148,485,118,40,77,590
01,04,41,01,9103,3081,203,154,277,80,109,98,945,535,134,170,751,138,290,459,150,90,51,3581,2206,72,853,234,102,77,104,604
01,04,41,02,5811,2006,101,108,144,54,55,45,838,275,66,97,600,119,182,293,120,45,31,2185,1350,24,534,120,111,60,46,439
01,04,41,03,3980,1349,89,98,141,66,40,37,337,224,59,66,288,68,76,243,118,42,12,1433,833,40,378,89,54,30,48,223
01,04,42,01,15665,4124,206,265,307,106,156,130,1047,910,336,147,1363,472,470,742,287,140,51,7506,4495,49,2097,759,261,89,125,1083
01,04,42,02,9421,2954,164,205,222,98,186,116,809,476,172,100,564,121,208,440,164,82,44,3655,1636,55,1291,384,183,85,93,491
01,04,42,03,9070,2960,150,237,196,56,155,86,798,645,137,103,691,187,286,359,131,69,24,3969,2622,46,857,269,129,49,63,486
02,01,01,01,4253,896,51,55,112,27,50,34,199,129,38,37,148,48,36,410,159,79,36,2022,910,78,835,293,115,30,27,318
02,01,01,02,8888,1470,106,144,148,49,71,71,335,168,52,115,421,120,126,590,211,126,34,4869,3048,70,1572,674,167,26,163,1069
02,01,01,03,10563,1323,76,100,137,58,99,54,383,175,32,42,348,113,119,260,105,51,22,6830,5624,41,909,258,125,37,49,1333
02,01,01,04,3231,458,49,40,79,15,41,30,58,57,10,6,64,24,31,50,15,7,3,1995,1482,15,455,144,76,0,45,450
02,02,02,01,286,90,12,3,12,7,0,3,9,3,10,0,3,0,0,28,12,0,12,81,22,19,28,0,0,0,6,3
02,02,02,02,2361,828,122,57,116,27,54,69,137,33,19,52,145,39,33,101,34,19,6,805,419,12,311,116,51,9,78,153
02,02,02,03,3929,1664,174,81,288,106,124,158,230,50,49,102,291,55,73,93,48,6,4,1108,644,30,357,122,44,16,167,216
02,02,02,04,4954,1951,193,108,258,105,172,159,321,84,69,105,329,67,105,213,86,49,12,1526,945,71,406,106,81,21,162,288
02,02,02,05,5870,2180,273,124,304,147,178,217,255,60,108,102,265,46,62,155,63,30,9,1859,1362,53,320,91,64,17,382,447
02,02,02,06,8517,2925,396,128,440,159,254,249,314,201,71,103,368,82,114,228,73,36,12,3246,1982,60,1047,512,103,16,326,518
02,03,03,01,5732,1058,156,63,164,70,110,121,62,61,34,18,102,57,21,69,15,18,6,3470,3100,35,271,76,33,12,113,584
02,03,03,02,6981,1764,210,81,228,129,170,161,177,138,31,54,202,53,70,111,46,13,6,3575,3066,30,383,81,46,12,196,577
02,03,04,01,7030,2328,256,89,352,165,230,231,253,113,49,46,248,44,90,150,48,31,21,2746,2153,52,406,122,28,3,306,476
02,03,04,02,5498,1893,246,82,312,85,199,208,196,123,34,33,156,28,61,139,51,15,6,2163,1856,21,200,56,43,9,207,374
02,04,05,01,1223,281,18,6,37,13,12,19,51,41,15,12,61,6,25,225,116,33,21,220,24,6,100,9,28,269,17,58
