district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,10,01,01,2432,134,171,38,362,1016,272,186,253,1187,1663
01,10,01,02,1440,83,109,31,151,643,190,141,92,677,1096
01,10,01,03,3486,239,291,90,400,1284,424,353,405,1709,2171
01,10,01,04,3301,195,299,105,496,1271,401,291,243,1573,2024
01,10,02,05,2009,112,148,48,279,908,227,121,166,920,1502
01,10,02,06,999,63,82,25,108,422,138,106,55,512,676
01,10,02,07,5019,373,463,108,501,2229,559,364,422,2527,3290
01,10,03,08,3655,271,284,50,420,1795,442,212,181,1808,2576
01,10,03,09,5564,392,501,197,541,2481,806,436,210,2783,3622
01,10,03,10,5496,364,417,114,687,2662,576,396,280,2592,3884
01,10,03,11,5284,407,586,168,916,1983,562,342,320,2657,3489
01,10,03,12,5464,451,478,102,530,2615,632,353,303,2595,3668
01,10,03,13,5891,385,446,129,1128,2593,594,358,258,2909,4108
01,10,04,14,3289,322,383,64,266,1793,311,95,55,1651,2491
01,10,04,15,6227,413,602,187,740,2922,767,391,205,3121,4312
01,10,04,16,6077,479,561,169,528,2952,803,358,227,3077,4045
01,20,05,17,2433,157,226,72,353,1003,265,177,180,1091,1749
01,20,05,18,4566,299,369,118,711,1760,560,409,340,2123,3173
01,20,05,19,5510,295,481,156,737,2207,687,469,478,2526,3822
01,20,05,20,4753,272,389,138,624,1787,579,519,445,2203,2971
01,20,05,21,3314,202,337,126,449,1206,385,328,281,1523,2176
01,20,05,22,4494,294,360,111,570,1694,553,411,501,2262,2642
01,20,06,23,5922,382,491,171,726,2411,753,543,445,2851,3737
01,20,06,24,4854,475,368,98,524,2674,349,198,168,2268,3431
01,20,06,25,4221,246,475,168,491,1384,557,404,496,2074,2437
01,20,06,26,2807,149,218,62,281,1183,396,252,266,1304,1763
01,20,06,27,2270,200,356,101,258,650,276,231,198,1118,1197
01,20,06,28,1537,117,139,43,126,649,200,149,114,772,892
01,20,06,29,2969,135,182,43,592,1253,275,220,269,1426,2072
