district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
01,10,01,01,3667,100.0,2432,66.3,2004,54.6,1235,33.7,769,21.0,1663,45.4
01,10,01,02,2025,100.0,1440,71.1,929,45.9,585,28.9,344,17.0,1096,54.1
01,10,01,03,5695,100.0,3486,61.2,3524,61.9,2209,38.8,1315,23.1,2171,38.1
01,10,01,04,4955,100.0,3301,66.6,2931,59.2,1654,33.4,1277,25.8,2024,40.8
01,10,02,05,2932,100.0,2009,68.5,1430,48.8,923,31.5,507,17.3,1502,51.2
01,10,02,06,1862,100.0,999,53.7,1186,63.7,863,46.3,323,17.3,676,36.3
01,10,02,07,8804,100.0,5019,57.0,5514,62.6,3785,43.0,1729,19.6,3290,37.4
01,10,03,08,7326,100.0,3655,49.9,4750,64.8,3671,50.1,1079,14.7,2576,35.2
01,10,03,09,12526,100.0,5564,44.4,8904,71.1,6962,55.6,1942,15.5,3622,28.9
01,10,03,10,10139,100.0,5496,54.2,6255,61.7,4643,45.8,1612,15.9,3884,38.3
01,10,03,11,9782,100.0,5284,54.0,6293,64.3,4498,46.0,1795,18.4,3489,35.7
01,10,03,12,10574,100.0,5464,51.7,6906,65.3,5110,48.3,1796,17.0,3668,34.7
01,10,03,13,11466,100.0,5891,51.4,7358,64.2,5575,48.6,1783,15.6,4108,35.8
01,10,04,14,5523,100.0,3289,59.6,3032,54.9,2234,40.4,798,14.4,2491,45.1
01,10,04,15,13468,100.0,6227,46.2,9156,68.0,7241,53.8,1915,14.2,4312,32.0
01,10,04,16,13587,100.0,6077,44.7,9542,70.2,7510,55.3,2032,15.0,4045,29.8
01,20,05,17,3882,100.0,2433,62.7,2133,54.9,1449,37.3,684,17.6,1749,45.1
01,20,05,18,6981,100.0,4566,65.4,3808,54.5,2415,34.6,1393,20.0,3173,45.5
01,20,05,19,9531,100.0,5510,57.8,5709,59.9,4021,42.2,1688,17.7,3822,40.1
01,20,05,20,9459,100.0,4753,50.2,6488,68.6,4706,49.8,1782,18.8,2971,31.4
01,20,05,21,5354,100.0,3314,61.9,3178,59.4,2040,38.1,1138,21.3,2176,40.6
01,20,05,22,11536,100.0,4494,39.0,8894,77.1,7042,61.0,1852,16.1,2642,22.9
01,20,06,23,10988,100.0,5922,53.9,7251,66.0,5066,46.1,2185,19.9,3737,34.0
