district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
01,10,01,01,3680,100.0,2426,65.9,2020,54.9,1254,34.1,766,20.8,1660,45.1
01,10,01,02,2040,100.0,1443,70.7,922,45.2,597,29.3,325,15.9,1118,54.8
01,10,01,03,5720,100.0,3517,61.5,3495,61.1,2203,38.5,1292,22.6,2225,38.9
01,10,01,04,4997,100.0,3326,66.6,2945,58.9,1671,33.4,1274,25.5,2052,41.1
01,10,02,05,2960,100.0,2012,68.0,1427,48.2,948,32.0,479,16.2,1533,51.8
01,10,02,06,1916,100.0,1051,54.9,1182,61.7,865,45.1,317,16.5,734,38.3
01,10,02,07,8806,100.0,5010,56.9,5463,62.0,3796,43.1,1667,18.9,3343,38.0
01,10,03,08,7446,100.0,3714,49.9,4794,64.4,3732,50.1,1062,14.3,2652,35.6
01,10,03,09,12575,100.0,5553,44.2,8943,71.1,7022,55.8,1921,15.3,3632,28.9
01,10,03,10,10190,100.0,5464,53.6,6293,61.8,4726,46.4,1567,15.4,3897,38.2
01,10,03,11,9720,100.0,5174,53.2,6267,64.5,4546,46.8,1721,17.7,3453,35.5
01,10,03,12,10271,100.0,5202,50.6,6750,65.7,5069,49.4,1681,16.4,3521,34.3
01,10,03,13,11420,100.0,5827,51.0,7359,64.4,5593,49.0,1766,15.5,4061,35.6
01,10,04,14,5542,100.0,3287,59.3,3026,54.6,2255,40.7,771,13.9,2516,45.4
01,10,04,15,13469,100.0,6225,46.2,9174,68.1,7244,53.8,1930,14.3,4295,31.9
01,10,04,16,13560,100.0,6016,44.4,9521,70.2,7544,55.6,1977,14.6,4039,29.8
01,20,05,17,3898,100.0,2435,62.5,2141,54.9,1463,37.5,678,17.4,1757,45.1
01,20,05,18,7009,100.0,4534,64.7,3847,54.9,2475,35.3,1372,19.6,3162,45.1
01,20,05,19,9593,100.0,5519,57.5,5773,60.2,4074,42.5,1699,17.7,3820,39.8
01,20,05,20,9496,100.0,4728,49.8,6546,68.9,4768,50.2,1778,18.7,2950,31.1
01,20,05,21,5343,100.0,3289,61.6,3206,60.0,2054,38.4,1152,21.6,2137,40.0
01,20,05,22,11620,100.0,4509,38.8,8931,76.9,7111,61.2,1820,15.7,2689,23.1
01,20,06,23,11008,100.0,5892,53.5,7293,66.3,5116,46.5,2177,19.8,3715,33.7
01,20,06,24,6562,100.0,4766,72.6,3168,48.3,1796,27.4,1372,20.9,3394,51.7
01,20,06,25,6929,100.0,4242,61.2,4457,64.3,2687,38.8,1770,25.5,2472,35.7
01,20,06,26,5994,100.0,2760,46.0,4252,70.9,3234,54.0,1018,17.0,1742,29.1
01,20,06,27,3360,100.0,2250,67.0,2169,64.6,1110,33.0,1059,31.5,1191,35.4
01,20,06,28,3301,100.0,1540,46.7,2411,73.0,1761,53.3,650,19.7,890,27.0
01,20,06,29,5951,100.0,2956,49.7,3882,65.2,2995,50.3,887,14.9,2069,34.8
01,30,07,30,8068,100.0,5877,72.8,4102,50.8,2191,27.2,1911,23.7,3966,49.2
01,30,07,31,8975,100.0,5582,62.2,5229,58.3,3393,37.8,1836,20.5,3746,41.7
01,30,07,32,10178,100.0,6450,63.4,5975,58.7,3728,36.6,2247,22.1,4203,41.3
01,30,07,33,11692,100.0,7435,63.6,7014,60.0,4257,36.4,2757,23.6,4678,40.0
01,30,08,34,14376,100.0,9676,67.3,9830,68.4,4700,32.7,5130,35.7,4546,31.6
01,30,08,35,10972,100.0,6818,62.1,7254,66.1,4154,37.9,3100,28.3,3718,33.9
01,30,08,36,14988,100.0,10034,66.9,8580,57.2,4954,33.1,3626,24.2,6408,42.8
01,40,09,37,10940,100.0,5824,53.2,7212,65.9,5116,46.8,2096,19.2,3728,34.1
01,40,09,38,9703,100.0,5310,54.7,6252,64.4,4393,45.3,1859,19.2,3451,35.6
01,40,09,39,6122,100.0,3497,57.1,3599,58.8,2625,42.9,974,15.9,2523,41.2
01,40,09,40,7088,100.0,2968,41.9,5726,80.8,4120,58.1,1606,22.7,1362,19.2
01,40,09,41,3879,100.0,1908,49.2,2767,71.3,1971,50.8,796,20.5,1112,28.7
01,40,09,42,8690,100.0,4900,56.4,5348,61.5,3790,43.6,1558,17.9,3342,38.5
01,40,10,43,7690,100.0,5239,68.1,4431,57.6,2451,31.9,1980,25.7,3259,42.4
01,40,10,44,10304,100.0,7209,70.0,5564,54.0,3095,30.0,2469,24.0,4740,46.0
01,40,10,45,5689,100.0,4216,74.1,3057,53.7,1473,25.9,1584,27.8,2632,46.3
01,40,10,46,8973,100.0,4720,52.6,5812,64.8,4253,47.4,1559,17.4,3161,35.2
01,40,10,47,8211,100.0,5822,70.9,3937,47.9,2389,29.1,1548,18.9,4274,52.1
01,40,10,48,9504,100.0,5946,62.6,5511,58.0,3558,37.4,1953,20.5,3993,42.0
01,40,10,49,6716,100.0,4160,61.9,3868,57.6,2556,38.1,1312,19.5,2848,42.4
02,10,01,01,7175,100.0,5356,74.6,3694,51.5,1819,25.4,1875,26.1,3481,48.5
02,10,01,02,8695,100.0,6228,71.6,5473,62.9,2467,28.4,3006,34.6,3222,37.1
02,10,01,03,5466,100.0,3496,64.0,3696,67.6,1970,36.0,1726,31.6,1770,32.4
02,10,01,04,5636,100.0,3905,69.3,3493,62.0,1731,30.7,1762,31.3,2143,38.0
02,10,01,05,9452,100.0,6782,71.8,6056,64.1,2670,28.2,3386,35.8,3396,35.9
02,10,01,06,4903,100.0,3201,65.3,3292,67.1,1702,34.7,1590,32.4,1611,32.9
02,20,02,07,2574,100.0,1198,46.5,1820,70.7,1376,53.5,444,17.2,754,29.3
02,20,02,08,5767,100.0,2682,46.5,4057,70.3,3085,53.5,972,16.9,1710,29.7
02,20,02,09,10976,100.0,4731,43.1,8137,74.1,6245,56.9,1892,17.2,2839,25.9
02,20,02,10,12269,100.0,5622,45.8,8788,71.6,6647,54.2,2141,17.5,3481,28.4
02,20,02,11,14676,100.0,6434,43.8,10892,74.2,8242,56.2,2650,18.1,3784,25.8
