district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,10,01,01,2426,125,194,28,364,1037,272,178,228,1186,1660
01,10,01,02,1443,80,113,31,137,664,182,134,102,682,1118
01,10,01,03,3517,236,265,81,457,1297,405,360,416,1715,2225
01,10,01,04,3326,194,310,112,508,1278,411,276,237,1575,2052
01,10,02,05,2012,108,144,54,297,872,246,146,145,945,1533
01,10,02,06,1051,72,98,31,92,444,170,100,44,534,734
01,10,02,07,5010,396,457,100,512,2214,549,387,395,2525,3343
01,10,03,08,3714,291,260,79,394,1910,435,183,162,1824,2652
01,10,03,09,5553,430,479,171,597,2461,807,400,208,2772,3632
01,10,03,10,5464,366,437,120,687,2647,559,373,275,2601,3897
01,10,03,11,5174,399,574,142,922,1943,529,371,294,2616,3453
01,10,03,12,5202,426,443,103,501,2498,597,333,301,2458,3521
01,10,03,13,5827,404,450,126,1122,2511,611,333,270,2887,4061
01,10,04,14,3287,313,396,71,239,1819,280,92,77,1669,2516
01,10,04,15,6225,443,588,176,736,2947,805,324,206,3119,4295
01,10,04,16,6016,476,579,179,519,2935,782,348,198,3050,4039
01,20,05,17,2435,185,248,65,361,953,268,187,168,1100,1757
01,20,05,18,4534,285,370,119,732,1731,578,404,315,2107,3162
01,20,05,19,5519,318,478,170,717,2172,705,456,503,2510,3820
01,20,05,20,4728,274,410,124,590,1824,571,511,424,2192,2950
01,20,05,21,3289,192,338,122,452,1199,393,325,268,1494,2137
01,20,05,22,4509,311,378,137,533,1708,548,427,467,2269,2689
01,20,06,23,5892,379,519,171,755,2385,733,520,430,2850,3715
01,20,06,24,4766,455,341,90,536,2648,353,191,152,2256,3394
01,20,06,25,4242,263,495,182,492,1338,565,412,495,2080,2472
01,20,06,26,2760,170,202,59,272,1146,407,258,246,1305,1742
01,20,06,27,2250,195,317,108,278,653,282,228,189,1113,1191
01,20,06,28,1540,125,142,58,142,629,193,117,134,771,890
01,20,06,29,2956,131,185,46,620,1230,280,220,244,1433,2069
01,30,07,30,5877,413,742,252,791,1895,771,535,478,2760,3966
01,30,07,31,5582,431,638,228,780,1973,650,518,364,2604,3746
01,30,07,32,6450,527,814,274,815,2246,803,545,426,3062,4203
01,30,07,33,7435,499,878,318,912,2506,1061,689,572,3537,4678
01,30,08,34,9676,805,1441,513,907,2879,1278,946,907,4829,4546
01,30,08,35,6818,474,777,239,1243,2032,843,636,574,3388,3718
01,30,08,36,10034,684,1160,392,1394,3513,1317,894,680,4749,6408
01,40,09,37,5824,407,515,178,730,2187,733,577,497,2765,3728
01,40,09,38,5310,326,487,178,648,2049,707,520,395,2479,3451
01,40,09,39,3497,265,337,88,497,1364,416,299,231,1596,2523
01,40,09,40,2968,377,353,82,274,1007,350,245,280,1499,1362
