district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,10,01,01,2223,133,160,28,328,919,252,174,229,1093,1509
01,10,01,02,1392,93,116,25,150,617,176,118,97,675,1065
01,10,01,03,3352,219,277,90,421,1189,400,366,390,1592,2094
01,10,01,04,3215,193,326,116,557,1176,389,263,195,1503,1974
01,10,02,05,2010,120,168,35,268,917,201,142,159,944,1552
01,10,02,06,1049,102,100,27,75,452,154,85,54,543,723
01,10,02,07,4908,387,449,138,501,2155,502,397,379,2481,3317
01,10,03,08,3510,263,243,73,385,1794,385,189,178,1769,2520
01,10,03,09,5335,417,508,167,516,2466,719,349,193,2684,3521
01,10,03,10,5368,399,423,119,689,2624,560,336,218,2526,3894
01,10,03,11,4671,408,509,126,742,1813,454,326,293,2348,3051
01,10,03,12,4940,440,387,91,480,2424,530,311,277,2354,3310
01,10,03,13,5312,400,408,120,1004,2292,564,290,234,2668,3633
01,10,04,14,3203,356,378,60,272,1690,268,95,84,1627,2428
01,10,04,15,5531,395,539,139,619,2661,731,268,179,2810,3724
01,10,04,16,5656,508,574,129,497,2820,714,263,151,2895,3774
01,20,05,17,2237,170,252,80,270,897,216,206,146,1024,1576
01,20,05,18,4437,296,385,118,682,1685,568,356,347,2058,3065
01,20,05,19,5095,317,457,166,692,1955,621,435,452,2354,3490
01,20,05,20,4698,282,426,104,641,1740,594,494,417,2181,2905
01,20,05,21,3176,225,304,120,495,1070,405,290,267,1420,2019
01,20,05,22,4370,328,370,138,521,1616,524,399,474,2223,2566
01,20,06,23,5710,388,518,168,746,2258,727,501,404,2744,3533
01,20,06,24,4526,398,334,88,514,2522,360,159,151,2155,3206
01,20,06,25,4189,321,484,183,479,1298,551,406,467,2048,2375
01,20,06,26,2612,163,213,62,248,1082,377,212,255,1235,1612
01,20,06,27,2236,216,320,110,245,655,263,206,221,1090,1183
01,20,06,28,1455,111,152,44,124,595,168,135,126,714,792
01,20,06,29,2866,143,172,47,624,1157,262,202,259,1385,1972
01,30,07,30,5833,502,792,231,738,1867,743,512,448,2769,3839
01,30,07,31,5216,425,649,209,671,1802,604,494,362,2449,3402
01,30,07,32,6214,579,792,275,806,2116,755,481,410,2953,3952
01,30,07,33,7306,536,895,295,903,2429,1036,631,581,3517,4519
01,30,08,34,9700,896,1445,484,931,2935,1252,891,866,4846,4474
01,30,08,35,6601,515,820,237,1079,1983,759,617,591,3284,3512
01,30,08,36,9843,750,1177,417,1374,3349,1272,821,683,4661,6137
01,40,09,37,5513,448,509,177,590,2007,728,572,482,2684,3437
01,40,09,38,5200,353,496,174,618,2067,636,454,402,2426,3357
01,40,09,39,3236,261,317,78,430,1254,407,265,224,1495,2284
01,40,09,40,2636,344,305,82,252,872,312,217,252,1359,1203
01,40,09,41,1829,169,161,58,207,623,193,230,188,885,1045
01,40,09,42,4802,326,425,141,726,1838,606,394,346,2333,3295
01,40,10,43,5269,326,572,241,761,1575,726,594,474,2522,3260
01,40,10,44,6932,541,795,246,819,2459,939,609,524,3248,4500
01,40,10,45,4086,316,476,160,580,1379,520,391,264,1910,2517
01,40,10,46,4520,299,376,126,696,1822,511,380,310,2084,2910
01,40,10,47,5484,327,509,146,1084,2179,580,378,281,2481,3966
01,40,10,48,5753,364,489,170,967,2078,707,536,442,2690,3747
01,40,10,49,4126,288,427,135,470,1276,597,454,479,1968,2804
02,10,01,01,4555,322,481,160,489,1743,610,409,341,2188,2683
02,10,01,02,6198,482,762,299,722,1939,830,627,537,3131,3143
02,10,01,03,3414,267,437,152,302,1057,511,400,288,1715,1717
02,10,01,04,3937,304,470,188,416,1203,578,436,342,1934,2138
02,10,01,05,6815,507,800,278,683,2200,982,697,668,3361,3361
02,10,01,06,3274,210,399,145,351,1018,480,354,317,1574,1655
02,20,02,07,1088,102,122,22,125,511,90,60,56,510,693
02,20,02,08,2691,198,255,83,289,1032,346,243,245,1309,1719
02,20,02,09,4589,351,438,132,471,1848,639,394,316,2211,2767
02,20,02,10,5497,384,448,144,561,2294,714,509,443,2652,3411
02,20,02,11,6310,422,470,202,719,2372,913,665,547,3152,3722
02,20,02,12,4353,340,486,155,448,1587,598,375,364,2122,2325
02,20,02,13,4713,290,425,131,483,2010,621,384,369,2350,3011
02,30,03,14,4563,222,381,159,447,1478,734,556,586,2184,2734
02,30,03,15,4908,320,435,183,538,1732,724,483,493,2359,2920
02,30,03,16,2121,98,192,69,186,800,308,241,227,1035,1279
02,30,04,17,4521,268,431,133,443,1773,681,366,426,2150,2777
02,30,04,18,3790,228,289,100,379,1603,557,299,335,1850,2380
02,30,04,19,5586,293,422,142,619,2377,749,505,479,2634,3603
