district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
01,01,11,01,3445,100.0,2075,60.2,2040,59.2,1370,39.8,670,19.4,1405,40.8
01,01,11,02,188,100.0,71,37.8,135,71.8,117,62.2,18,9.6,53,28.2
01,01,11,03,5159,100.0,2979,57.7,3349,64.9,2180,42.3,1169,22.7,1810,35.1
01,01,11,04,4626,100.0,3005,65.0,2816,60.9,1621,35.0,1195,25.8,1810,39.1
01,01,11,05,1567,100.0,1047,66.8,778,49.6,520,33.2,258,16.5,789,50.4
01,01,12,01,2456,100.0,1494,60.8,1420,57.8,962,39.2,458,18.6,1036,42.2
01,01,12,02,654,100.0,315,48.2,422,64.5,339,51.8,83,12.7,232,35.5
01,01,12,03,1171,100.0,637,54.4,738,63.0,534,45.6,204,17.4,433,37.0
01,01,12,04,8461,100.0,4341,51.3,5537,65.4,4120,48.7,1417,16.7,2924,34.6
01,01,13,01,6910,100.0,3009,43.5,4778,69.1,3901,56.5,877,12.7,2132,30.9
01,01,13,02,12540,100.0,5095,40.6,9140,72.9,7445,59.4,1695,13.5,3400,27.1
01,01,13,03,10011,100.0,4811,48.1,6529,65.2,5200,51.9,1329,13.3,3482,34.8
01,01,13,04,8813,100.0,3832,43.5,6386,72.5,4981,56.5,1405,15.9,2427,27.5
01,01,13,05,8778,100.0,3700,42.2,6308,71.9,5078,57.8,1230,14.0,2470,28.1
01,01,13,06,10831,100.0,4939,45.6,7480,69.1,5892,54.4,1588,14.7,3351,30.9
01,01,14,01,18200,100.0,8085,44.4,12424,68.3,10115,55.6,2309,12.7,5776,31.7
01,01,14,02,13640,100.0,5578,40.9,9882,72.4,8062,59.1,1820,13.3,3758,27.6
01,02,21,01,3524,100.0,1913,54.3,2221,63.0,1611,45.7,610,17.3,1303,37.0
01,02,21,02,6809,100.0,4258,62.5,3866,56.8,2551,37.5,1315,19.3,2943,43.2
01,02,21,03,295,100.0,248,84.1,106,35.9,47,15.9,59,20.0,189,64.1
01,02,21,04,18823,100.0,9559,50.8,12577,66.8,9264,49.2,3313,17.6,6246,33.2
01,02,21,05,5365,100.0,3154,58.8,3382,63.0,2211,41.2,1171,21.8,1983,37.0
01,02,21,06,11459,100.0,4120,36.0,9077,79.2,7339,64.0,1738,15.2,2382,20.8
01,02,22,01,11048,100.0,5627,50.9,7568,68.5,5421,49.1,2147,19.4,3480,31.5
01,02,22,02,3580,100.0,2277,63.6,2190,61.2,1303,36.4,887,24.8,1390,38.8
