district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01,01,11,01,2075,609,48,61,74,24,72,35,108,23,19,31,69,9,11,370,130,80,27,479,91,48,256,21,48,19,50,88
01,01,11,02,71,39,3,0,0,0,6,6,6,0,3,0,3,0,0,0,0,0,0,9,0,0,6,0,3,0,7,3
01,01,11,03,2979,972,143,34,93,38,53,40,181,87,110,30,135,15,66,415,179,88,38,907,326,72,358,45,99,34,53,138
01,01,11,04,3005,682,98,32,74,30,47,49,115,55,27,18,115,51,22,263,107,74,6,1301,400,63,665,203,121,22,48,179
01,01,11,05,1047,280,22,9,41,15,26,16,58,12,4,3,9,0,3,239,130,49,17,332,47,16,228,4,11,3,30,24
01,01,12,01,1494,378,24,18,43,10,19,21,33,98,30,0,25,6,12,337,161,86,6,316,50,25,202,21,20,47,46,67
01,01,12,02,315,156,19,3,25,15,4,12,7,3,29,0,3,0,3,56,24,15,4,19,3,0,9,3,0,0,33,0
01,01,12,03,637,182,12,20,22,6,6,27,19,15,6,6,18,3,9,228,148,12,6,91,44,6,26,7,0,19,30,7
01,01,12,04,4341,1307,103,41,117,66,91,71,181,217,53,37,129,9,43,920,476,171,34,965,189,55,535,43,178,164,128,146
01,01,13,01,3009,1255,115,30,117,112,109,119,154,47,81,32,90,15,28,432,193,64,32,464,107,48,166,6,47,34,186,43
01,01,13,02,5095,2184,318,58,262,134,192,303,238,119,48,47,174,12,50,499,245,81,12,705,212,52,280,17,105,96,398,83
01,01,13,03,4811,1630,158,78,216,69,164,160,199,112,64,27,138,19,49,595,288,101,40,895,158,63,451,40,152,306,243,130
01,01,13,04,3832,828,68,35,110,15,99,37,168,54,43,6,201,34,29,419,166,72,36,950,282,41,386,10,100,698,64,134
01,01,13,05,3700,963,84,15,109,42,91,99,121,86,28,27,78,15,13,581,301,106,23,836,187,31,452,31,145,106,114,127
01,01,13,06,4939,1520,133,43,198,73,114,135,238,97,71,40,207,25,57,468,179,99,46,1140,591,40,306,19,87,219,385,226
01,01,14,01,8085,3417,418,128,413,231,263,372,394,127,150,50,182,21,42,864,408,168,46,1323,257,86,639,18,201,73,515,170
01,01,14,02,5578,2703,376,118,398,201,226,340,208,80,82,39,136,21,48,424,200,73,16,589,144,50,252,15,36,53,523,111
01,02,21,01,1913,710,50,39,40,24,22,34,225,81,63,28,139,40,52,108,32,29,6,688,163,40,386,144,82,7,39,86
01,02,21,02,4258,1387,100,98,105,34,52,55,338,226,79,72,360,51,135,187,65,27,15,1585,571,38,748,159,149,48,59,227
01,02,21,03,248,40,3,7,0,0,0,3,9,9,0,6,16,4,3,0,0,0,0,148,36,6,53,15,12,7,3,18
01,02,21,04,9559,3021,256,166,344,100,173,187,717,246,196,180,768,117,271,569,230,125,30,3393,1364,110,1437,427,327,114,189,511
01,02,21,05,3154,936,51,50,105,27,32,33,155,267,72,32,201,31,107,197,73,66,6,1287,515,45,587,208,138,10,32,202
01,02,21,06,4120,1499,156,72,172,72,92,99,284,99,115,57,225,47,67,427,176,111,34,1141,421,84,444,116,68,21,113,166
01,02,22,01,5627,1762,193,94,214,76,103,101,366,116,137,75,317,69,93,342,133,85,20,2157,1051,86,718,154,221,43,128,327
01,02,22,02,2277,546,34,35,88,38,27,52,84,34,16,13,69,7,25,229,129,44,6,802,480,18,245,66,43,12,49,221
01,02,22,03,4304,1092,70,61,72,26,52,40,269,166,64,89,349,90,94,277,108,73,23,1969,1029,26,752,262,154,18,42,369
01,02,22,04,2661,980,103,60,84,42,47,48,226,56,74,28,130,10,48,307,141,67,10,652,246,44,262,42,62,21,80,120
