district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
01,01,11,01,3384,100.0,2054,60.7,1967,58.1,1330,39.3,637,18.8,1417,41.9
01,01,11,02,196,100.0,76,38.8,129,65.8,120,61.2,9,4.6,67,34.2
01,01,11,03,5038,100.0,2885,57.3,3287,65.2,2153,42.7,1134,22.5,1751,34.8
01,01,11,04,4759,100.0,3110,65.3,2858,60.1,1649,34.7,1209,25.4,1901,39.9
01,01,11,05,1421,100.0,899,63.3,767,54.0,522,36.7,245,17.2,654,46.0
01,01,12,01,2405,100.0,1438,59.8,1419,59.0,967,40.2,452,18.8,986,41.0
01,01,12,02,632,100.0,303,47.9,401,63.4,329,52.1,72,11.4,231,36.6
01,01,12,03,1115,100.0,593,53.2,707,63.4,522,46.8,185,16.6,408,36.6
01,01,12,04,8279,100.0,4152,50.2,5522,66.7,4127,49.8,1395,16.8,2757,33.3
01,01,13,01,6919,100.0,2964,42.8,4806,69.5,3955,57.2,851,12.3,2113,30.5
01,01,13,02,12572,100.0,5040,40.1,9143,72.7,7532,59.9,1611,12.8,3429,27.3
01,01,13,03,9999,100.0,4764,47.6,6506,65.1,5235,52.4,1271,12.7,3493,34.9
01,01,13,04,8761,100.0,3644,41.6,6473,73.9,5117,58.4,1356,15.5,2288,26.1
01,01,13,05,8243,100.0,3254,39.5,6081,73.8,4989,60.5,1092,13.2,2162,26.2
01,01,13,06,10607,100.0,4651,43.8,7439,70.1,5956,56.2,1483,14.0,3168,29.9
01,01,14,01,17948,100.0,7792,43.4,12281,68.4,10156,56.6,2125,11.8,5667,31.6
01,01,14,02,13645,100.0,5493,40.3,9869,72.3,8152,59.7,1717,12.6,3776,27.7
01,02,21,01,3557,100.0,1915,53.8,2214,62.2,1642,46.2,572,16.1,1343,37.8
01,02,21,02,6709,100.0,4139,61.7,3828,57.1,2570,38.3,1258,18.8,2881,42.9
01,02,21,03,272,100.0,213,78.3,119,43.8,59,21.7,60,22.1,153,56.3
01,02,21,04,18974,100.0,9586,50.5,12755,67.2,9388,49.5,3367,17.7,6219,32.8
01,02,21,05,5426,100.0,3234,59.6,3357,61.9,2192,40.4,1165,21.5,2069,38.1
01,02,21,06,11421,100.0,4053,35.5,9092,79.6,7368,64.5,1724,15.1,2329,20.4
01,02,22,01,11027,100.0,5556,50.4,7568,68.6,5471,49.6,2097,19.0,3459,31.4
01,02,22,02,2495,100.0,1554,62.3,1622,65.0,941,37.7,681,27.3,873,35.0
01,02,22,03,7083,100.0,4225,59.6,4697,66.3,2858,40.4,1839,26.0,2386,33.7
01,02,22,04,6236,100.0,2780,44.6,4462,71.6,3456,55.4,1006,16.1,1774,28.4
01,02,22,05,3349,100.0,2121,63.3,2222,66.3,1228,36.7,994,29.7,1127,33.7
01,02,22,06,3044,100.0,1252,41.1,2368,77.8,1792,58.9,576,18.9,676,22.2
01,02,22,07,5771,100.0,2713,47.0,3818,66.2,3058,53.0,760,13.2,1953,33.8
01,03,31,01,27088,100.0,17200,63.5,15724,58.0,9888,36.5,5836,21.5,11364,42.0
01,03,31,02,12063,100.0,7462,61.9,7365,61.1,4601,38.1,2764,22.9,4698,38.9
01,03,32,01,13919,100.0,9338,67.1,9626,69.2,4581,32.9,5045,36.2,4293,30.8
01,03,32,02,10273,100.0,5946,57.9,7327,71.3,4327,42.1,3000,29.2,2946,28.7
01,03,32,03,14684,100.0,9428,64.2,8758,59.6,5256,35.8,3502,23.8,5926,40.4
01,04,41,01,21023,100.0,10358,49.3,14386,68.4,10665,50.7,3721,17.7,6637,31.6
01,04,41,02,16630,100.0,6815,41.0,12588,75.7,9815,59.0,2773,16.7,4042,24.3
01,04,41,03,8684,100.0,4656,53.6,5442,62.7,4028,46.4,1414,16.3,3242,37.3
01,04,42,01,24356,100.0,16713,68.6,13567,55.7,7643,31.4,5924,24.3,10789,44.3
01,04,42,02,17122,100.0,10105,59.0,10030,58.6,7017,41.0,3013,17.6,7092,41.4
01,04,42,03,16328,100.0,9793,60.0,9797,60.0,6535,40.0,3262,20.0,6531,40.0
02,01,01,01,6823,100.0,4940,72.4,3762,55.1,1883,27.6,1879,27.5,3061,44.9
02,01,01,02,13693,100.0,9349,68.3,9104,66.5,4344,31.7,4760,34.8,4589,33.5
02,01,01,03,15302,100.0,10806,70.6,9856,64.4,4496,29.4,5360,35.0,5446,35.6
02,01,01,04,5086,100.0,3315,65.2,3425,67.3,1771,34.8,1654,32.5,1661,32.7
02,02,02,01,1790,100.0,690,38.5,1406,78.5,1100,61.5,306,17.1,384,21.5
02,02,02,02,6099,100.0,2722,44.6,4326,70.9,3377,55.4,949,15.6,1773,29.1
02,02,02,03,11056,100.0,4412,39.9,8310,75.2,6644,60.1,1666,15.1,2746,24.8
02,02,02,04,12808,100.0,5537,43.2,9271,72.4,7271,56.8,2000,15.6,3537,27.6
02,02,02,05,15107,100.0,6269,41.5,11246,74.4,8838,58.5,2408,15.9,3861,25.6
02,02,02,06,19040,100.0,8875,46.6,13730,72.1,10165,53.4,3565,18.7,5310,27.9
02,03,03,01,8996,100.0,5706,63.4,5545,61.6,3290,36.6,2255,25.1,3451,38.4
02,03,03,02,13131,100.0,7131,54.3,8851,67.4,6000,45.7,2851,21.7,4280,32.6
02,03,04,01,15263,100.0,7534,49.4,10377,68.0,7729,50.6,2648,17.3,4886,32.0
02,03,04,02,11172,100.0,5692,50.9,7436,66.6,5480,49.1,1956,17.5,3736,33.4
02,04,05,01,5390,100.0,1551,28.8,4524,83.9,3839,71.2,685,12.7,866,16.1
02,04,05,02,7443,100.0,2290,30.8,5985,80.4,5153,69.2,832,11.2,1458,19.6
02,04,05,03,11157,100.0,2973,26.6,9228,82.7,8184,73.4,1044,9.4,1929,17.3
02,04,07,01,13151,100.0,5550,42.2,9571,72.8,7601,57.8,1970,15.0,3580,27.2
02,04,07,02,10973,100.0,3137,28.6,8802,80.2,7836,71.4,966,8.8,2171,19.8
02,04,07,03,1155,100.0,792,68.6,469,40.6,363,31.4,106,9.2,686,59.4
02,05,06,01,9124,100.0,2871,31.5,7106,77.9,6253,68.5,853,9.3,2018,22.1
02,05,06,02,21730,100.0,6774,31.2,16946,78.0,14956,68.8,1990,9.2,4784,22.0
02,05,08,01,20028,100.0,7043,35.2,14908,74.4,12985,64.8,1923,9.6,5120,25.6
02,05,08,02,21280,100.0,6930,32.6,16215,76.2,14350,67.4,1865,8.8,5065,23.8
02,05,08,03,7598,100.0,2629,34.6,5730,75.4,4969,65.4,761,10.0,1868,24.6
02,05,08,04,4725,100.0,1136,24.0,4101,86.8,3589,76.0,512,10.8,624,13.2
03,01,01,01,4119,100.0,614,14.9,3716,90.2,3505,85.1,211,5.1,403,9.8
03,01,01,02,12348,100.0,2377,19.3,10545,85.4,9971,80.7,574,4.6,1803,14.6
03,01,01,04,239,100.0,57,23.8,209,87.4,182,76.2,27,11.3,30,12.6
03,02,02,03,2285,100.0,337,14.7,2020,88.4,1948,85.3,72,3.2,265,11.6
03,02,02,09,14967,100.0,2393,16.0,13603,90.9,12574,84.0,1029,6.9,1364,9.1
03,02,02,10,11488,100.0,1701,14.8,10533,91.7,9787,85.2,746,6.5,955,8.3
03,02,03,07,18304,100.0,2434,13.3,17292,94.5,15870,86.7,1422,7.8,1012,5.5
03,03,04,05,11352,100.0,1912,16.8,10269,90.5,9440,83.2,829,7.3,1083,9.5
03,03,04,06,8225,100.0,722,8.8,7926,96.4,7503,91.2,423,5.1,299,3.6
03,03,07,11,6869,100.0,502,7.3,6665,97.0,6367,92.7,298,4.3,204,3.0
03,03,07,15,7664,100.0,1477,19.3,6647,86.7,6187,80.7,460,6.0,1017,13.3
03,03,07,16,1131,100.0,41,3.6,1112,98.3,1090,96.4,22,1.9,19,1.7
03,04,05,08,4588,100.0,932,20.3,4303,93.8,3656,79.7,647,14.1,285,6.2
03,04,05,12,10074,100.0,1646,16.3,9306,92.4,8428,83.7,878,8.7,768,7.6
03,04,05,13,3356,100.0,496,14.8,3127,93.2,2860,85.2,267,8.0,229,6.8
03,04,06,14,36487,100.0,5650,15.5,33411,91.6,30837,84.5,2574,7.1,3076,8.4
03,04,08,18,34800,100.0,5989,17.2,31000,89.1,28811,82.8,2189,6.3,3800,10.9
03,05,09,19,5583,100.0,1101,19.7,4724,84.6,4482,80.3,242,4.3,859,15.4
03,05,09,20,7430,100.0,1096,14.8,6799,91.5,6334,85.2,465,6.3,631,8.5
03,05,09,23,9674,100.0,2127,22.0,8256,85.3,7547,78.0,709,7.3,1418,14.7
03,05,09,24,6140,100.0,1434,23.4,5154,83.9,4706,76.6,448,7.3,986,16.1
03,05,09,25,9755,100.0,1823,18.7,8593,88.1,7932,81.3,661,6.8,1162,11.9
03,05,10,17,4250,100.0,939,22.1,3587,84.4,3311,77.9,276,6.5,663,15.6
03,05,10,21,6468,100.0,760,11.8,5957,92.1,5708,88.2,249,3.8,511,7.9
03,05,10,22,4651,100.0,445,9.6,4395,94.5,4206,90.4,189,4.1,256,5.5
03,06,11,26,15688,100.0,4663,29.7,12486,79.6,11025,70.3,1461,9.3,3202,20.4
03,06,11,31,10755,100.0,3610,33.6,8235,76.6,7145,66.4,1090,10.1,2520,23.4
03,06,12,27,14649,100.0,3892,26.6,12097,82.6,10757,73.4,1340,9.1,2552,17.4
03,06,12,28,12787,100.0,3090,24.2,10697,83.7,9697,75.8,1000,7.8,2090,16.3
03,06,13,32,22873,100.0,7216,31.5,18101,79.1,15657,68.5,2444,10.7,4772,20.9
03,06,14,29,10001,100.0,1660,16.6,9035,90.3,8341,83.4,694,6.9,966,9.7
03,06,14,30,4126,100.0,1721,41.7,2678,64.9,2405,58.3,273,6.6,1448,35.1
03,06,14,34,6472,100.0,1751,27.1,5246,81.1,4721,72.9,525,8.1,1226,18.9
03,06,14,35,3941,100.0,1163,29.5,3146,79.8,2778,70.5,368,9.3,795,20.2
03,06,14,41,2660,100.0,736,27.7,2268,85.3,1924,72.3,344,12.9,392,14.7
03,07,15,36,11137,100.0,4043,36.3,8375,75.2,7094,63.7,1281,11.5,2762,24.8
03,07,15,37,16027,100.0,5621,35.1,12159,75.9,10406,64.9,1753,10.9,3868,24.1
03,07,16,33,3229,100.0,988,30.6,2583,80.0,2241,69.4,342,10.6,646,20.0
03,07,16,38,17709,100.0,5660,32.0,13961,78.8,12049,68.0,1912,10.8,3748,21.2
03,07,16,39,12738,100.0,3424,26.9,10574,83.0,9314,73.1,1260,9.9,2164,17.0
04,01,01,01,10785,100.0,5120,47.5,7850,72.8,5665,52.5,2185,20.3,2935,27.2
04,01,01,02,812,100.0,337,41.5,518,63.8,475,58.5,43,5.3,294,36.2
04,01,01,03,7881,100.0,4284,54.4,5760,73.1,3597,45.6,2163,27.4,2121,26.9
04,02,02,04,181,100.0,63,34.8,145,80.1,118,65.2,27,14.9,36,19.9
04,02,02,05,1329,100.0,339,25.5,1135,85.4,990,74.5,145,10.9,194,14.6
04,02,02,06,2869,100.0,815,28.4,2374,82.7,2054,71.6,320,11.2,495,17.3
04,02,02,07,2559,100.0,767,30.0,2107,82.3,1792,70.0,315,12.3,452,17.7
04,02,02,08,2922,100.0,784,26.8,2509,85.9,2138,73.2,371,12.7,413,14.1
04,02,02,09,3214,100.0,1241,38.6,2272,70.7,1973,61.4,299,9.3,942,29.3
04,02,03,10,616,100.0,338,54.9,335,54.4,278,45.1,57,9.3,281,45.6
04,02,03,11,15071,100.0,5049,33.5,12015,79.7,10022,66.5,1993,13.2,3056,20.3
04,02,03,12,5552,100.0,1793,32.3,4443,80.0,3759,67.7,684,12.3,1109,20.0
04,02,03,13,7452,100.0,2881,38.7,5682,76.2,4571,61.3,1111,14.9,1770,23.8
04,02,03,14,12,100.0,12,100.0,0,0.0,0,0.0,0,0.0,12,100.0
04,03,04,15,3048,100.0,1618,53.1,1853,60.8,1430,46.9,423,13.9,1195,39.2
04,03,04,16,10652,100.0,5221,49.0,7757,72.8,5431,51.0,2326,21.8,2895,27.2
04,03,04,17,10976,100.0,4294,39.1,8414,76.7,6682,60.9,1732,15.8,2562,23.3
04,03,05,18,9581,100.0,4335,45.2,6978,72.8,5246,54.8,1732,18.1,2603,27.2
04,03,05,19,5901,100.0,2715,46.0,4277,72.5,3186,54.0,1091,18.5,1624,27.5
04,03,06,20,8887,100.0,3973,44.7,6558,73.8,4914,55.3,1644,18.5,2329,26.2
04,03,06,21,3026,100.0,1750,57.8,1947,64.3,1276,42.2,671,22.2,1079,35.7
04,03,06,22,10833,100.0,5152,47.6,7838,72.4,5681,52.4,2157,19.9,2995,27.6
04,03,06,23,5049,100.0,2849,56.4,3406,67.5,2200,43.6,1206,23.9,1643,32.5
04,03,07,24,6490,100.0,2450,37.8,5027,77.5,4040,62.2,987,15.2,1463,22.5
04,03,07,25,12302,100.0,5023,40.8,9090,73.9,7279,59.2,1811,14.7,3212,26.1
04,03,07,26,5795,100.0,2633,45.4,4152,71.6,3162,54.6,990,17.1,1643,28.4
04,03,08,27,12235,100.0,6611,54.0,7948,65.0,5624,46.0,2324,19.0,4287,35.0
04,03,08,28,9668,100.0,4417,45.7,6808,70.4,5251,54.3,1557,16.1,2860,29.6
04,03,09,29,6072,100.0,2664,43.9,4425,72.9,3408,56.1,1017,16.7,1647,27.1
04,03,09,30,5649,100.0,2596,46.0,4008,71.0,3053,54.0,955,16.9,1641,29.0
04,03,09,31,3711,100.0,2144,57.8,2245,60.5,1567,42.2,678,18.3,1466,39.5
04,03,10,32,15628,100.0,6695,42.8,11585,74.1,8933,57.2,2652,17.0,4043,25.9
04,04,11,33,60,100.0,29,48.3,31,51.7,31,51.7,0,0.0,29,48.3
