district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,01,11,01,1710,113,100,17,359,624,196,146,155,801,1174
01,01,11,02,74,6,3,0,6,38,18,3,0,25,59
01,01,11,03,3241,233,355,102,508,1063,360,347,273,1458,2148
01,01,11,04,2943,214,346,101,600,1013,325,207,137,1382,1711
01,01,11,05,660,56,44,25,81,222,117,56,59,312,472
01,01,12,01,1044,71,98,25,181,333,151,121,64,490,664
01,01,12,02,244,19,27,6,15,97,43,25,12,115,185
01,01,12,03,496,31,42,8,55,193,76,52,39,229,369
01,01,12,04,3006,237,269,64,363,1199,377,290,207,1497,1960
01,01,13,01,2446,201,180,18,329,1219,256,152,91,1195,1760
01,01,13,02,4600,311,427,94,621,2238,583,201,125,2263,3183
01,01,13,03,3779,271,246,64,653,1856,381,209,99,1755,2732
01,01,13,04,2941,292,320,105,457,1066,390,196,115,1499,1840
01,01,13,05,2502,227,220,65,317,1075,353,129,116,1139,1629
01,01,13,06,3357,263,264,72,659,1405,389,190,115,1635,2235
01,01,14,01,6118,540,594,102,776,3183,571,223,129,3057,4414
01,01,14,02,4662,456,385,67,483,2617,433,130,91,2386,3237
01,02,21,01,1767,148,133,39,338,641,228,140,100,800,1201
01,02,21,02,3663,268,310,124,549,1367,482,313,250,1676,2524
01,02,21,03,179,12,32,7,20,64,27,10,7,83,131
01,02,21,04,8731,581,822,222,1323,3203,1163,807,610,3994,5595
01,02,21,05,2994,244,330,88,504,1024,383,209,212,1398,1874
01,02,21,06,4185,321,432,149,565,1524,531,381,282,2010,2559
01,02,22,01,5568,465,504,182,990,2092,664,383,288,2525,3513
01,02,22,02,972,91,144,46,145,284,128,53,81,488,481
01,02,22,03,3960,339,533,137,511,1261,495,309,375,1971,2241
01,02,22,04,2300,159,195,49,351,882,312,176,176,1085,1443
01,02,22,05,1969,185,285,100,252,591,223,161,172,963,1063
01,02,22,06,1186,105,118,24,150,430,164,104,91,583,638
01,02,22,07,2401,106,142,58,672,804,275,171,173,1155,1689
01,03,31,01,16273,1587,2043,673,2609,5363,2011,1082,905,7512,10725
01,03,31,02,6909,589,859,283,1054,2291,932,488,413,3272,4301
01,03,32,01,8835,894,1426,382,1089,2688,1092,694,570,4280,4217
01,03,32,02,5298,522,726,184,625,1705,719,383,434,2619,2534
01,03,32,03,9081,872,1189,345,1441,3025,1088,573,548,4204,5675
01,04,41,01,9435,742,956,248,1361,3372,1312,853,591,4343,6027
01,04,41,02,6053,521,611,177,844,2109,811,528,452,2901,3645
01,04,41,03,4200,336,409,116,669,1582,562,302,224,1968,2825
01,04,42,01,15807,1326,1958,635,2508,5151,2189,1037,1003,7354,10178
01,04,42,02,9418,670,859,280,1916,3559,1092,657,385,4282,6544
01,04,42,03,9193,696,916,283,1398,3157,1267,749,727,4192,6143
02,01,01,01,4628,384,514,209,858,1571,551,335,206,2159,2856
02,01,01,02,9057,807,1302,381,1183,2783,1239,668,694,4564,4344
02,01,01,03,10851,947,1479,415,1482,3494,1510,754,770,5167,5599
02,01,01,04,3303,244,490,164,415,1005,508,229,248,1611,1662
02,02,02,01,392,51,45,10,36,180,25,28,17,185,233
02,02,02,02,2579,164,251,110,458,894,340,197,165,1206,1729
02,02,02,03,4031,318,381,97,524,1625,528,306,252,1956,2478
02,02,02,04,5005,382,376,152,706,2062,602,395,330,2395,3160
