district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
01,01,11,01,3085,100.0,1710,55.4,1911,61.9,1375,44.6,536,17.4,1174,38.1
01,01,11,02,198,100.0,74,37.4,139,70.2,124,62.6,15,7.6,59,29.8
01,01,11,03,5537,100.0,3241,58.5,3389,61.2,2296,41.5,1093,19.7,2148,38.8
01,01,11,04,4622,100.0,2943,63.7,2911,63.0,1679,36.3,1232,26.7,1711,37.0
01,01,11,05,1150,100.0,660,57.4,678,59.0,490,42.6,188,16.3,472,41.0
01,01,12,01,2096,100.0,1044,49.8,1432,68.3,1052,50.2,380,18.1,664,31.7
01,01,12,02,568,100.0,244,43.0,383,67.4,324,57.0,59,10.4,185,32.6
01,01,12,03,961,100.0,496,51.6,592,61.6,465,48.4,127,13.2,369,38.4
01,01,12,04,7021,100.0,3006,42.8,5061,72.1,4015,57.2,1046,14.9,1960,27.9
01,01,13,01,6333,100.0,2446,38.6,4573,72.2,3887,61.4,686,10.8,1760,27.8
01,01,13,02,12484,100.0,4600,36.8,9301,74.5,7884,63.2,1417,11.4,3183,25.5
01,01,13,03,9143,100.0,3779,41.3,6411,70.1,5364,58.7,1047,11.5,2732,29.9
01,01,13,04,8554,100.0,2941,34.4,6714,78.5,5613,65.6,1101,12.9,1840,21.5
01,01,13,05,7479,100.0,2502,33.5,5850,78.2,4977,66.5,873,11.7,1629,21.8
01,01,13,06,9156,100.0,3357,36.7,6921,75.6,5799,63.3,1122,12.3,2235,24.4
01,01,14,01,16139,100.0,6118,37.9,11725,72.7,10021,62.1,1704,10.6,4414,27.3
01,01,14,02,13210,100.0,4662,35.3,9973,75.5,8548,64.7,1425,10.8,3237,24.5
01,02,21,01,3456,100.0,1767,51.1,2255,65.2,1689,48.9,566,16.4,1201,34.8
01,02,21,02,6303,100.0,3663,58.1,3779,60.0,2640,41.9,1139,18.1,2524,40.0
01,02,21,03,259,100.0,179,69.1,128,49.4,80,30.9,48,18.5,131,50.6
01,02,21,04,18375,100.0,8731,47.5,12780,69.6,9644,52.5,3136,17.1,5595,30.4
01,02,21,05,5281,100.0,2994,56.7,3407,64.5,2287,43.3,1120,21.2,1874,35.5
01,02,21,06,11811,100.0,4185,35.4,9252,78.3,7626,64.6,1626,13.8,2559,21.7
01,02,22,01,11205,100.0,5568,49.7,7692,68.6,5637,50.3,2055,18.3,3513,31.4
01,02,22,02,1486,100.0,972,65.4,1005,67.6,514,34.6,491,33.0,481,32.4
01,02,22,03,6895,100.0,3960,57.4,4654,67.5,2935,42.6,1719,24.9,2241,32.5
01,02,22,04,5904,100.0,2300,39.0,4461,75.6,3604,61.0,857,14.5,1443,24.4
01,02,22,05,3331,100.0,1969,59.1,2268,68.1,1362,40.9,906,27.2,1063,31.9
01,02,22,06,3038,100.0,1186,39.0,2400,79.0,1852,61.0,548,18.0,638,21.0
01,02,22,07,5609,100.0,2401,42.8,3920,69.9,3208,57.2,712,12.7,1689,30.1
01,03,31,01,26811,100.0,16273,60.7,16086,60.0,10538,39.3,5548,20.7,10725,40.0
01,03,31,02,11649,100.0,6909,59.3,7348,63.1,4740,40.7,2608,22.4,4301,36.9
01,03,32,01,13340,100.0,8835,66.2,9123,68.4,4505,33.8,4618,34.6,4217,31.6
01,03,32,02,9723,100.0,5298,54.5,7189,73.9,4425,45.5,2764,28.4,2534,26.1
01,03,32,03,14473,100.0,9081,62.7,8798,60.8,5392,37.3,3406,23.5,5675,39.2
01,04,41,01,20528,100.0,9435,46.0,14501,70.6,11093,54.0,3408,16.6,6027,29.4
01,04,41,02,16214,100.0,6053,37.3,12569,77.5,10161,62.7,2408,14.9,3645,22.5
01,04,41,03,8330,100.0,4200,50.4,5505,66.1,4130,49.6,1375,16.5,2825,33.9
01,04,42,01,23528,100.0,15807,67.2,13350,56.7,7721,32.8,5629,23.9,10178,43.3
01,04,42,02,16641,100.0,9418,56.6,10097,60.7,7223,43.4,2874,17.3,6544,39.3
01,04,42,03,16196,100.0,9193,56.8,10053,62.1,7003,43.2,3050,18.8,6143,37.9
02,01,01,01,6523,100.0,4628,70.9,3667,56.2,1895,29.1,1772,27.2,2856,43.8
02,01,01,02,13489,100.0,9057,67.1,9145,67.8,4432,32.9,4713,34.9,4344,32.2
02,01,01,03,15721,100.0,10851,69.0,10122,64.4,4870,31.0,5252,33.4,5599,35.6
02,01,01,04,5106,100.0,3303,64.7,3444,67.5,1803,35.3,1641,32.1,1662,32.5
02,02,02,01,828,100.0,392,47.3,595,71.9,436,52.7,159,19.2,233,28.1
02,02,02,02,6020,100.0,2579,42.8,4291,71.3,3441,57.2,850,14.1,1729,28.7
02,02,02,03,10824,100.0,4031,37.2,8346,77.1,6793,62.8,1553,14.3,2478,22.9
02,02,02,04,12301,100.0,5005,40.7,9141,74.3,7296,59.3,1845,15.0,3160,25.7
02,02,02,05,14976,100.0,5860,39.1,11358,75.8,9116,60.9,2242,15.0,3618,24.2
02,02,02,06,19308,100.0,8712,45.1,13928,72.1,10596,54.9,3332,17.3,5380,27.9
02,03,03,01,9177,100.0,5751,62.7,5638,61.4,3426,37.3,2212,24.1,3539,38.6
02,03,03,02,13369,100.0,7132,53.3,8915,66.7,6237,46.7,2678,20.0,4454,33.3
02,03,04,01,15067,100.0,7030,46.7,10473,69.5,8037,53.3,2436,16.2,4594,30.5
02,03,04,02,11178,100.0,5427,48.6,7596,68.0,5751,51.4,1845,16.5,3582,32.0
02,04,05,01,5416,100.0,1243,23.0,4688,86.6,4173,77.0,515,9.5,728,13.4
02,04,05,02,7163,100.0,1753,24.5,6073,84.8,5410,75.5,663,9.3,1090,15.2
