district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,10,01,01,2371,113,193,25,326,1052,264,168,230,1142,1627
01,10,01,02,1438,94,114,23,127,673,170,134,103,682,1105
01,10,01,03,3497,251,282,78,464,1256,424,351,391,1705,2188
01,10,01,04,3327,200,289,123,519,1292,390,289,225,1573,2050
01,10,02,05,2004,129,136,46,296,880,223,142,152,943,1526
01,10,02,06,1072,83,101,35,95,456,165,76,61,538,747
01,10,02,07,4926,386,446,112,490,2199,512,377,404,2470,3303
01,10,03,08,3634,266,277,58,396,1851,443,191,152,1786,2593
01,10,03,09,5539,416,531,174,537,2540,735,431,175,2785,3656
01,10,03,10,5436,360,408,135,673,2654,567,377,262,2578,3917
01,10,03,11,5022,426,540,132,835,1966,490,325,308,2526,3354
01,10,03,12,5150,448,447,94,497,2502,569,334,259,2441,3446
01,10,03,13,5565,403,449,122,1015,2400,602,300,274,2781,3832
01,10,04,14,3261,350,355,70,245,1780,286,101,74,1642,2478
01,10,04,15,6210,446,597,167,738,2954,765,332,211,3097,4307
01,10,04,16,5987,484,567,163,505,3000,778,302,188,3051,4042
01,20,05,17,2652,203,282,81,383,1048,273,239,143,1156,2004
01,20,05,18,4481,305,356,121,722,1695,580,406,296,2087,3094
01,20,05,19,5467,298,483,151,730,2192,663,447,503,2499,3794
01,20,05,20,4707,269,405,133,608,1779,579,499,435,2198,2938
01,20,05,21,3257,214,341,114,486,1127,416,277,282,1463,2100
01,20,05,22,4468,314,372,146,537,1699,537,401,462,2252,2681
01,20,06,23,5832,390,526,174,715,2351,713,531,432,2820,3658
01,20,06,24,4661,457,347,85,490,2610,348,169,155,2221,3297
01,20,06,25,4232,261,501,181,491,1344,589,412,453,2061,2444
01,20,06,26,2704,155,217,70,269,1117,384,244,248,1275,1703
01,20,06,27,2301,213,310,103,302,704,269,195,205,1120,1248
01,20,06,28,1542,130,144,46,137,637,186,146,116,765,897
01,20,06,29,2951,139,182,51,630,1209,281,209,250,1440,2058
01,30,07,30,5901,434,771,243,781,1912,775,546,439,2783,3960
01,30,07,31,5505,404,664,218,774,1950,644,498,353,2570,3692
01,30,07,32,6486,593,814,272,826,2241,810,504,426,3096,4177
01,30,07,33,7364,506,886,333,879,2472,1037,669,582,3527,4600
01,30,08,34,9670,837,1444,482,923,2875,1317,927,865,4833,4534
01,30,08,35,6778,500,792,256,1151,2076,786,611,606,3387,3677
01,30,08,36,10125,739,1184,406,1353,3572,1310,880,681,4787,6472
01,40,09,37,5786,440,529,163,706,2150,753,550,495,2755,3706
01,40,09,38,5298,360,491,166,633,2078,674,499,397,2482,3437
01,40,09,39,3472,255,373,98,458,1332,437,317,202,1626,2508
01,40,09,40,2933,368,369,86,277,989,347,247,250,1475,1353
01,40,09,41,1936,168,168,65,231,692,187,216,209,917,1163
01,40,09,42,4812,305,399,162,683,1929,574,415,345,2321,3271
01,40,10,43,5304,321,548,246,756,1563,789,606,475,2542,3299
01,40,10,44,7177,523,816,264,836,2577,949,683,529,3356,4708
01,40,10,45,4194,305,508,148,534,1477,530,431,261,1930,2611
