district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
01,10,01,01,3648,100.0,2371,65.0,2021,55.4,1277,35.0,744,20.4,1627,44.6
01,10,01,02,2020,100.0,1438,71.2,915,45.3,582,28.8,333,16.5,1105,54.7
01,10,01,03,5699,100.0,3497,61.4,3511,61.6,2202,38.6,1309,23.0,2188,38.4
01,10,01,04,4982,100.0,3327,66.8,2932,58.9,1655,33.2,1277,25.6,2050,41.1
01,10,02,05,2966,100.0,2004,67.6,1440,48.6,962,32.4,478,16.1,1526,51.4
01,10,02,06,1913,100.0,1072,56.0,1166,61.0,841,44.0,325,17.0,747,39.0
01,10,02,07,8772,100.0,4926,56.2,5469,62.3,3846,43.8,1623,18.5,3303,37.7
01,10,03,08,7410,100.0,3634,49.0,4817,65.0,3776,51.0,1041,14.0,2593,35.0
01,10,03,09,12579,100.0,5539,44.0,8923,70.9,7040,56.0,1883,15.0,3656,29.1
01,10,03,10,10277,100.0,5436,52.9,6360,61.9,4841,47.1,1519,14.8,3917,38.1
01,10,03,11,9636,100.0,5022,52.1,6282,65.2,4614,47.9,1668,17.3,3354,34.8
01,10,03,12,10262,100.0,5150,50.2,6816,66.4,5112,49.8,1704,16.6,3446,33.6
01,10,03,13,11199,100.0,5565,49.7,7367,65.8,5634,50.3,1733,15.5,3832,34.2
01,10,04,14,5560,100.0,3261,58.7,3082,55.4,2299,41.3,783,14.1,2478,44.6
01,10,04,15,13551,100.0,6210,45.8,9244,68.2,7341,54.2,1903,14.0,4307,31.8
01,10,04,16,13656,100.0,5987,43.8,9614,70.4,7669,56.2,1945,14.2,4042,29.6
01,20,05,17,4160,100.0,2652,63.8,2156,51.8,1508,36.3,648,15.6,2004,48.2
01,20,05,18,6942,100.0,4481,64.5,3848,55.4,2461,35.5,1387,20.0,3094,44.6
01,20,05,19,9610,100.0,5467,56.9,5816,60.5,4143,43.1,1673,17.4,3794,39.5
01,20,05,20,9503,100.0,4707,49.5,6565,69.1,4796,50.5,1769,18.6,2938,30.9
01,20,05,21,5308,100.0,3257,61.4,3208,60.4,2051,38.6,1157,21.8,2100,39.6
01,20,05,22,11644,100.0,4468,38.4,8963,77.0,7176,61.6,1787,15.3,2681,23.0
01,20,06,23,10998,100.0,5832,53.0,7340,66.7,5166,47.0,2174,19.8,3658,33.3
01,20,06,24,6482,100.0,4661,71.9,3185,49.1,1821,28.1,1364,21.0,3297,50.9
01,20,06,25,6955,100.0,4232,60.8,4511,64.9,2723,39.2,1788,25.7,2444,35.1
01,20,06,26,5972,100.0,2704,45.3,4269,71.5,3268,54.7,1001,16.8,1703,28.5
01,20,06,27,3421,100.0,2301,67.3,2173,63.5,1120,32.7,1053,30.8,1248,36.5
01,20,06,28,3304,100.0,1542,46.7,2407,72.9,1762,53.3,645,19.5,897,27.1
01,20,06,29,5967,100.0,2951,49.5,3909,65.5,3016,50.5,893,15.0,2058,34.5
01,30,07,30,8106,100.0,5901,72.8,4146,51.1,2205,27.2,1941,23.9,3960,48.9
01,30,07,31,8916,100.0,5505,61.7,5224,58.6,3411,38.3,1813,20.3,3692,41.4
01,30,07,32,10166,100.0,6486,63.8,5989,58.9,3680,36.2,2309,22.7,4177,41.1
01,30,07,33,11667,100.0,7364,63.1,7067,60.6,4303,36.9,2764,23.7,4600,39.4
01,30,08,34,14425,100.0,9670,67.0,9891,68.6,4755,33.0,5136,35.6,4534,31.4
01,30,08,35,10925,100.0,6778,62.0,7248,66.3,4147,38.0,3101,28.4,3677,33.7
01,30,08,36,15123,100.0,10125,67.0,8651,57.2,4998,33.0,3653,24.2,6472,42.8
01,40,09,37,11024,100.0,5786,52.5,7318,66.4,5238,47.5,2080,18.9,3706,33.6
01,40,09,38,9728,100.0,5298,54.5,6291,64.7,4430,45.5,1861,19.1,3437,35.3
01,40,09,39,6131,100.0,3472,56.6,3623,59.1,2659,43.4,964,15.7,2508,40.9
01,40,09,40,7067,100.0,2933,41.5,5714,80.9,4134,58.5,1580,22.4,1353,19.1
01,40,09,41,3919,100.0,1936,49.4,2756,70.3,1983,50.6,773,19.7,1163,29.7
01,40,09,42,8635,100.0,4812,55.7,5364,62.1,3823,44.3,1541,17.8,3271,37.9
01,40,10,43,7749,100.0,5304,68.4,4450,57.4,2445,31.6,2005,25.9,3299,42.6
01,40,10,44,10314,100.0,7177,69.6,5606,54.4,3137,30.4,2469,23.9,4708,45.6
01,40,10,45,5687,100.0,4194,73.7,3076,54.1,1493,26.3,1583,27.8,2611,45.9
01,40,10,46,8932,100.0,4656,52.1,5864,65.7,4276,47.9,1588,17.8,3068,34.3
01,40,10,47,8159,100.0,5733,70.3,3945,48.4,2426,29.7,1519,18.6,4214,51.6
01,40,10,48,9499,100.0,5866,61.8,5594,58.9,3633,38.2,1961,20.6,3905,41.1
