district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
01,01,11,01,3114,127,107,31,454,941,344,398,712,1501,1207
01,01,11,02,192,7,3,0,31,39,42,37,33,77,52
01,01,11,03,5518,273,394,137,722,1590,733,769,900,2467,2148
01,01,11,04,4704,285,388,175,893,1605,643,387,328,2135,1800
01,01,11,05,1135,74,67,21,92,316,222,174,169,529,458
01,01,12,01,2190,82,145,52,267,578,333,336,397,1039,772
01,01,12,02,608,39,36,12,37,206,116,85,77,270,221
01,01,12,03,1004,45,42,19,96,319,204,116,163,492,375
01,01,12,04,7463,367,378,111,712,2375,1074,888,1558,3691,2176
01,01,13,01,6431,440,331,61,652,2840,962,573,572,3083,1815
01,01,13,02,12535,697,1003,257,1191,5006,2365,1062,954,6078,3246
01,01,13,03,9536,419,391,236,1257,3586,1214,922,1511,4449,3079
01,01,13,04,8607,428,470,170,812,2091,966,962,2708,4591,1924
01,01,13,05,7617,389,355,94,679,2345,1051,767,1937,3758,1739
01,01,13,06,9530,558,425,130,1277,3174,1408,1057,1501,4620,2549
01,01,14,01,16331,1163,1257,278,1592,7246,2671,1159,965,8038,4544
01,01,14,02,13341,1031,1017,162,1098,6349,2139,772,773,6637,3379
01,02,21,01,3522,218,181,68,681,1274,469,336,295,1588,1256
01,02,21,02,6374,363,402,129,1111,2324,840,617,588,2911,2553
01,02,21,03,258,13,57,4,16,93,45,14,16,119,132
01,02,21,04,18377,964,1106,373,2855,6483,2511,2072,2013,8657,5678
01,02,21,05,5299,308,375,137,896,1831,681,527,544,2512,1931
01,02,21,06,11799,624,779,243,1421,3472,1822,1577,1861,5899,2590
01,02,22,01,11292,702,703,237,2058,4238,1437,959,958,5240,3591
01,02,22,02,1488,100,156,63,233,411,218,122,185,748,482
01,02,22,03,6969,453,618,192,1015,2162,891,662,976,3420,2322
01,02,22,04,5824,304,363,87,702,1804,913,669,982,2906,1461
01,02,22,05,3311,252,346,97,407,852,406,401,550,1611,1033
01,02,22,06,3027,181,202,43,321,945,489,394,452,1452,648
01,02,22,07,5630,201,265,83,961,1428,791,647,1254,2709,1745
