district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,01,11,01,1747,100,101,19,354,677,163,186,147,818,1207
01,01,11,02,71,4,3,0,18,27,19,0,0,25,52
01,01,11,03,3248,234,334,125,512,1045,387,324,287,1441,2148
01,01,11,04,3030,206,322,153,646,1024,304,227,148,1413,1800
01,01,11,05,657,65,58,15,60,213,121,77,48,329,458
01,01,12,01,1171,66,114,39,183,378,153,136,102,551,772
01,01,12,02,288,27,26,6,21,132,43,24,9,135,221
01,01,12,03,512,39,33,10,58,214,82,37,39,250,375
01,01,12,04,3303,266,308,80,428,1341,393,285,202,1643,2176
01,01,13,01,2538,224,156,27,334,1295,279,142,81,1228,1815
01,01,13,02,4699,336,434,97,609,2321,602,181,119,2299,3246
01,01,13,03,4169,260,263,206,752,1937,405,229,117,1895,3079
01,01,13,04,3084,313,329,116,489,1118,378,213,128,1566,1924
01,01,13,05,2653,233,230,64,337,1157,367,135,130,1206,1739
01,01,13,06,3726,312,257,79,876,1482,397,212,111,1790,2549
01,01,14,01,6296,571,569,138,800,3194,661,224,139,3146,4544
01,01,14,02,4877,453,409,55,560,2689,459,151,101,2488,3379
01,02,21,01,1825,161,157,50,328,672,239,116,102,836,1256
01,02,21,02,3719,282,332,111,556,1401,475,308,254,1706,2553
01,02,21,03,186,7,41,4,16,78,24,10,6,91,132
01,02,21,04,8842,607,800,264,1356,3218,1165,802,630,4074,5678
01,02,21,05,3064,238,336,116,504,1036,386,237,211,1420,1931
01,02,21,06,4232,304,438,124,652,1533,513,383,285,2032,2590
01,02,22,01,5663,450,530,179,1040,2075,684,402,303,2596,3591
01,02,22,02,972,79,135,51,152,293,116,62,84,473,482
01,02,22,03,4057,354,517,173,547,1286,505,298,377,2004,2322
01,02,22,04,2334,163,223,50,353,869,318,189,169,1125,1461
01,02,22,05,1969,203,295,81,227,609,196,182,176,956,1033
01,02,22,06,1195,124,121,21,145,418,168,119,79,591,648
01,02,22,07,2468,119,142,56,698,845,249,191,168,1171,1745
01,03,31,01,16504,1588,2129,708,2615,5425,2040,1094,905,7689,10951
01,03,31,02,7182,659,887,291,1160,2297,965,466,457,3436,4509
01,03,32,01,8873,889,1400,414,1068,2742,1088,690,582,4317,4184
01,03,32,02,5343,530,756,195,614,1703,728,378,439,2645,2555
01,03,32,03,9098,852,1169,383,1404,3027,1112,592,559,4215,5643
01,04,41,01,9735,760,1000,251,1409,3526,1338,874,577,4474,6290
01,04,41,02,6159,543,619,170,857,2141,777,563,489,2954,3673
01,04,41,03,4451,339,448,198,731,1615,564,298,258,2091,3091
01,04,42,01,15744,1278,1888,648,2454,5186,2209,1091,990,7289,10049
01,04,42,02,9539,656,836,310,1920,3672,1111,640,394,4324,6645
01,04,42,03,9510,721,1026,312,1360,3340,1250,771,730,4345,6435
02,01,01,01,4617,361,527,203,857,1563,550,320,236,2166,2846
02,01,01,02,8933,787,1307,385,1085,2769,1256,675,669,4480,4253
02,01,01,03,10842,941,1462,460,1418,3483,1520,755,803,5187,5584
02,01,01,04,3252,223,463,185,394,1000,485,281,221,1584,1634
02,02,02,01,443,56,48,9,31,214,39,18,28,210,269
02,02,02,02,2535,188,241,109,406,896,307,199,189,1206,1673
02,02,02,03,4126,322,378,107,512,1688,546,336,237,2003,2543
02,02,02,04,5016,369,380,162,689,2101,617,375,323,2391,3174
02,02,02,05,5900,358,548,188,874,2206,835,473,418,2885,3621
02,02,02,06,8587,634,882,300,1059,3487,1084,583,558,4211,5223
02,03,03,01,5684,328,573,226,682,1938,843,454,640,2778,3468
02,03,03,02,6974,427,706,251,889,2604,980,509,608,3329,4321
02,03,04,01,7197,447,699,212,943,3011,930,435,520,3448,4751
02,03,04,02,5413,350,416,179,693,2219,726,354,476,2602,3547
02,04,05,01,1263,122,189,48,165,401,188,106,44,629,734
02,04,05,02,1831,161,195,49,261,822,183,112,48,943,1159
02,04,05,03,2596,257,208,70,404,1247,227,126,57,1291,1753
02,04,07,01,4341,365,430,120,986,1646,410,254,130,2118,2838
02,04,07,02,2446,186,186,41,395,1279,214,105,40,1150,1654
02,04,07,03,762,89,74,28,183,324,29,28,7,313,660
02,05,06,01,2452,182,149,42,421,1321,197,111,29,1185,1732
02,05,06,02,5664,486,420,85,895,3056,455,159,108,2761,3964
02,05,08,01,5805,427,422,105,1061,3019,489,217,65,2713,4260
02,05,08,02,5809,372,301,60,1004,3409,420,150,93,2727,4335
