district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01,10,01,01,2092,514,40,56,77,24,66,72,40,18,30,33,70,9,25,387,129,94,32,494,93,55,249,21,31,24,48,89
01,10,01,02,1199,326,25,6,42,26,27,59,28,26,6,27,23,3,7,235,130,53,16,361,66,19,225,7,19,9,58,35
01,10,01,03,3096,903,124,33,73,34,68,180,66,140,32,53,177,30,74,481,197,111,50,934,311,77,350,61,95,33,76,146
01,10,01,04,3038,584,72,31,79,36,31,102,52,33,16,45,108,51,19,304,145,64,6,1323,384,60,687,159,136,19,65,211
01,10,02,05,1734,398,24,12,53,12,40,23,113,22,9,37,30,6,6,352,172,98,12,339,81,30,180,20,19,52,53,41
01,10,02,06,957,285,20,30,33,21,24,30,18,28,3,52,18,6,9,252,163,26,6,119,39,9,42,3,3,16,55,22
01,10,02,07,4324,1142,105,55,106,82,79,149,192,71,31,90,138,20,57,857,451,165,53,995,186,54,543,37,210,179,133,153
01,10,03,08,3133,1185,129,42,128,94,111,177,45,83,16,150,71,18,15,433,197,64,46,483,103,53,178,12,29,41,211,56
01,10,03,09,5046,1759,266,46,278,151,172,206,99,57,42,300,165,18,62,470,255,67,18,767,218,73,319,22,116,82,409,99
01,10,03,10,4958,1401,164,63,211,95,132,201,121,61,32,156,129,22,41,624,266,131,44,1025,172,69,562,42,193,337,208,104
01,10,03,11,4254,794,73,41,131,10,90,114,104,48,22,54,228,34,44,435,179,86,40,1137,314,52,486,21,165,769,73,173
01,10,03,12,4445,1037,112,40,137,59,111,150,85,53,31,111,108,6,37,723,394,115,34,1007,275,51,489,20,151,124,144,200
01,10,03,13,4941,1366,126,64,197,75,137,210,81,68,30,140,242,32,83,452,175,91,37,1225,599,63,350,33,93,175,312,228
01,10,04,14,2761,847,66,21,114,74,77,153,46,85,22,75,69,12,19,382,192,92,15,611,121,54,265,6,67,25,116,61
01,10,04,15,5133,1975,241,98,326,146,191,209,70,62,30,293,134,10,34,471,194,87,19,664,138,49,313,19,100,85,368,117
01,10,04,16,5466,2174,330,114,391,178,206,225,65,73,40,341,141,18,46,486,225,87,25,577,142,49,250,13,54,63,559,111
01,20,05,17,2176,708,44,37,57,27,24,214,92,76,35,28,149,45,56,107,34,21,6,891,175,37,507,148,129,9,29,124
01,20,05,18,4341,1222,74,87,107,28,57,286,203,118,74,66,417,59,159,201,75,42,17,1614,562,39,760,163,151,51,56,243
01,20,05,19,4912,1448,123,74,157,51,69,377,168,82,97,96,446,77,157,252,126,37,15,1720,606,52,858,244,264,44,83,299
01,20,05,20,4513,1288,125,76,184,70,70,322,96,65,85,94,306,50,94,279,105,86,12,1560,787,63,469,123,87,60,85,260
01,20,05,21,3070,934,47,42,92,19,43,193,297,63,45,40,204,24,114,207,72,59,6,1256,477,36,566,222,139,10,56,167
