district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,10,01,01,2404,137,170,43,376,957,272,190,259,1154,1581
01,10,01,02,1438,79,96,24,153,653,176,167,90,672,1093
01,10,01,03,3594,234,299,104,418,1332,428,330,449,1741,2202
01,10,01,04,3252,194,282,105,466,1268,414,267,256,1569,1960
01,10,02,05,2033,91,155,43,291,922,212,145,174,941,1528
01,10,02,06,1027,73,91,31,107,424,164,80,57,523,674
01,10,02,07,5089,368,479,104,495,2259,555,389,440,2567,3257
01,10,03,08,3650,242,272,59,400,1849,461,198,169,1827,2502
01,10,03,09,5700,378,508,171,574,2525,841,457,246,2837,3660
01,10,03,10,5618,379,429,121,724,2684,600,403,278,2650,3877
01,10,03,11,5368,387,597,162,914,2054,530,370,354,2675,3455
01,10,03,12,5681,438,481,121,635,2685,629,389,303,2704,3784
01,10,03,13,6059,390,469,105,1245,2575,609,350,316,3021,4184
01,10,04,14,3289,329,353,71,275,1789,297,85,90,1641,2422
01,10,04,15,6171,392,549,183,778,2873,790,412,194,3093,4163
01,10,04,16,6048,448,566,153,520,2937,830,375,219,3088,3932
01,20,05,17,2489,141,245,81,395,987,285,179,176,1095,1767
01,20,05,18,4742,325,365,104,801,1814,542,433,358,2214,3270
01,20,05,19,5611,293,468,169,741,2273,659,484,524,2586,3831
01,20,05,20,4841,257,382,141,610,1891,578,516,466,2293,2989
01,20,05,21,3289,185,327,119,434,1212,398,320,294,1523,2126
01,20,05,22,4558,307,345,122,533,1739,575,408,529,2295,2623
01,20,06,23,6023,355,499,180,764,2445,742,539,499,2891,3731
01,20,06,24,5139,492,375,79,638,2792,394,229,140,2424,3593
01,20,06,25,4293,247,492,181,510,1382,574,424,483,2118,2441
01,20,06,26,2856,154,240,70,264,1232,369,235,292,1332,1772
01,20,06,27,2328,182,341,97,284,662,312,228,222,1142,1195
01,20,06,28,1573,126,146,37,149,635,178,172,130,792,886
01,20,06,29,3084,135,171,45,652,1289,279,229,284,1485,2118
01,30,07,30,5901,411,719,258,853,1863,780,511,506,2744,3968
01,30,07,31,5654,405,637,223,795,1981,655,546,412,2633,3745
01,30,07,32,6403,506,759,234,856,2233,795,589,431,3057,4075
01,30,07,33,7508,452,870,337,961,2451,1076,700,661,3570,4642
01,30,08,34,9698,710,1400,498,972,2815,1309,1032,962,4854,4465
01,30,08,35,6823,424,773,259,1251,1987,834,634,661,3380,3641
01,30,08,36,10137,672,1138,393,1400,3540,1360,905,729,4806,6364
01,40,09,37,6004,404,516,183,764,2226,767,606,538,2860,3760
01,40,09,38,5386,334,467,155,720,2108,671,486,445,2486,3452
01,40,09,39,3572,253,348,110,505,1355,430,298,273,1658,2529
01,40,09,40,3092,368,375,88,283,1038,351,308,281,1560,1417
01,40,09,41,1952,141,193,48,233,666,221,199,251,958,1110
01,40,09,42,5053,307,436,160,724,2014,617,441,354,2420,3452
01,40,10,43,5264,290,512,238,712,1589,755,657,511,2550,3237
01,40,10,44,7225,448,787,270,847,2657,954,705,557,3390,4636
01,40,10,45,4110,282,479,169,514,1395,538,412,321,1897,2481
01,40,10,46,4778,277,335,142,713,1960,577,402,372,2193,3138
01,40,10,47,5867,300,451,188,1178,2397,570,459,324,2697,4299
01,40,10,48,6093,319,475,171,1099,2231,717,589,492,2792,4081
01,40,10,49,4194,230,396,128,485,1291,540,530,594,2004,2843
02,10,01,01,5489,321,536,160,791,2015,707,537,422,2616,3629
02,10,01,02,6274,407,707,288,806,1982,820,693,571,3096,3200
02,10,01,03,3550,250,412,155,364,1136,511,391,331,1789,1801
02,10,01,04,3916,267,437,175,438,1154,627,464,354,1931,2107
02,10,01,05,6743,434,736,300,634,2167,1000,768,704,3305,3333
02,10,01,06,3173,174,337,169,369,918,447,409,350,1521,1563
02,20,02,07,1275,127,146,43,131,547,141,55,85,596,799
02,20,02,08,2731,180,273,98,313,1025,314,283,245,1343,1727
02,20,02,09,4773,296,436,159,488,1926,700,434,334,2349,2810
02,20,02,10,5880,321,457,261,637,2375,829,503,497,2797,3654
02,20,02,11,6493,382,485,176,883,2375,868,695,629,3181,3778
02,20,02,12,4262,303,438,143,451,1503,581,464,379,2077,2220
02,20,02,13,4674,256,381,144,506,1996,664,362,365,2311,2939
02,30,03,14,4275,157,341,138,394,1338,751,567,589,2048,2499
02,30,03,15,4755,229,415,163,497,1659,767,523,502,2267,2811
02,30,03,16,2121,100,177,77,188,740,344,243,252,1048,1220
02,30,04,17,4653,236,404,167,499,1784,691,428,444,2249,2884
02,30,04,18,3838,206,261,96,399,1597,590,354,335,1848,2398
02,30,04,19,5503,257,392,134,554,2331,806,538,491,2575,3516
02,40,05,20,2540,247,276,85,302,1003,271,184,172,1293,1508
02,40,05,21,3801,354,377,92,373,1888,351,200,166,1889,2425
02,40,05,22,4102,330,416,82,389,2135,405,209,136,2087,2550
02,40,06,23,7584,624,756,193,1162,3293,635,427,494,3706,4910
02,40,06,24,5000,287,254,88,1175,2397,428,243,128,2242,3646
02,40,06,25,947,65,67,10,86,612,77,24,6,452,763
02,50,07,26,3784,263,250,58,418,2193,335,155,112,1787,2603
02,50,07,27,2690,218,221,57,280,1407,271,118,118,1348,1793
02,50,07,28,3849,286,296,70,360,2204,389,174,70,1922,2644
02,50,07,29,2096,165,192,53,223,1097,193,95,78,1008,1297
02,50,08,30,1825,152,102,39,184,1028,208,66,46,876,1282
02,50,08,31,3475,211,306,78,391,1885,325,192,87,1679,2421
02,50,08,32,4670,404,358,105,504,2684,384,148,83,2202,3278
02,50,08,33,4287,247,226,50,500,2596,410,173,85,2066,3160
02,50,08,34,4374,283,299,61,553,2507,414,169,88,2112,2965
02,50,08,35,4318,360,363,59,607,2317,349,156,107,2015,3143
02,50,08,36,1454,185,186,45,86,621,149,102,80,783,716
03,10,01,01,1011,100,109,29,90,443,123,63,54,418,651
03,10,01,02,1312,176,134,39,238,503,92,59,71,587,994
03,10,01,03,2654,304,356,104,422,899,256,153,160,1209,2078
03,20,02,04,533,34,59,10,145,176,46,23,40,147,433
03,20,02,05,2183,204,317,81,400,678,229,133,141,1143,1408
03,20,02,06,1810,169,241,67,345,568,217,107,96,941,1257
03,20,02,07,2825,273,405,108,315,1056,315,177,176,1418,1732
03,20,03,08,917,116,143,31,60,268,107,105,87,448,436
03,20,03,09,1172,108,215,52,96,393,134,86,88,588,651
03,20,03,10,1622,185,244,83,128,493,240,90,159,874,778
03,30,04,11,3187,378,599,164,342,985,317,210,192,1578,2028
03,30,04,12,732,89,116,21,64,225,87,44,86,381,351
03,30,04,13,358,46,55,21,27,86,67,19,37,171,163
03,30,05,14,837,116,161,37,84,251,76,41,71,461,490
03,30,05,15,6,0,0,0,6,0,0,0,0,0,6
03,30,05,16,3255,406,458,103,468,1309,284,115,112,1503,2392
03,30,05,17,59,3,12,6,0,12,9,7,10,32,28
03,40,06,18,1175,104,187,54,101,303,186,116,124,588,436
03,40,06,19,2556,258,324,102,290,906,305,185,186,1290,1348
03,40,06,20,830,84,119,44,108,247,109,49,70,404,437
03,40,07,21,3152,339,423,121,297,1307,371,179,115,1577,1796
03,40,07,22,900,69,128,36,104,345,89,52,77,463,526
03,40,07,23,2164,247,293,69,244,930,175,99,107,1114,1284
03,40,07,24,1861,215,258,62,181,791,188,101,65,998,1091
03,40,07,25,1310,154,195,57,119,476,141,71,97,686,716
03,40,08,26,1924,195,218,39,293,872,179,54,74,918,1372
03,40,08,27,2793,231,279,65,285,1367,285,145,136,1390,1779
03,40,08,28,1530,153,127,31,132,808,149,68,62,748,1069
03,40,08,29,1571,123,162,47,334,598,130,75,102,811,1073
03,40,08,30,2025,229,195,57,221,863,240,116,104,1041,1285
03,40,08,31,0,0,0,0,0,0,0,0,0,0,0
03,50,09,32,2295,296,272,75,377,920,196,85,74,1046,1848
03,50,09,33,1824,179,202,49,176,879,174,78,87,905,1198
03,50,09,34,3480,358,356,62,315,1767,349,172,101,1702,2351
03,50,09,35,2165,163,228,76,268,1000,241,111,78,1140,1469
03,50,09,36,2717,256,357,101,319,1142,273,162,107,1379,1761
03,50,10,37,2144,194,195,47,297,909,237,127,138,1005,1525
03,50,10,38,1630,168,265,79,187,592,147,94,98,835,1110
03,60,11,39,1697,145,157,21,213,844,191,66,60,843,1151
03,60,11,40,2248,165,170,66,240,1215,246,108,38,1053,1550
03,60,11,41,2841,197,260,96,382,1402,288,120,96,1421,1967
03,60,11,42,4343,262,373,93,434,2234,544,271,132,2187,2943
03,60,12,43,2339,181,212,40,208,1228,278,133,59,1201,1476
03,60,12,44,2388,178,197,52,222,1238,293,119,89,1210,1537
03,60,12,45,4759,370,382,127,499,2486,478,230,187,2431,3222
03,60,13,46,2318,181,218,57,232,1129,307,143,51,1150,1569
03,60,13,47,3371,223,321,118,355,1526,511,221,96,1697,2149
03,60,13,48,2739,163,254,58,273,1339,397,185,70,1409,1766
03,60,14,49,2478,223,298,76,332,906,247,184,212,1274,1569
