district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
01,10,01,01,3580,100.0,2404,67.2,1999,55.8,1176,32.8,823,23,1581,44.2
01,10,01,02,2034,100.0,1438,70.7,941,46.3,596,29.3,345,17,1093,53.7
01,10,01,03,5790,100.0,3594,62.1,3588,62,2196,37.9,1392,24,2202,38
01,10,01,04,4889,100.0,3252,66.5,2929,59.9,1637,33.5,1292,26.4,1960,40.1
01,10,02,05,2917,100.0,2033,69.7,1389,47.6,884,30.3,505,17.3,1528,52.4
01,10,02,06,1876,100.0,1027,54.7,1202,64.1,849,45.3,353,18.8,674,35.9
01,10,02,07,8844,100.0,5089,57.5,5587,63.2,3755,42.5,1832,20.7,3257,36.8
01,10,03,08,7297,100.0,3650,50,4795,65.7,3647,50,1148,15.7,2502,34.3
01,10,03,09,12651,100.0,5700,45.1,8991,71.1,6951,54.9,2040,16.1,3660,28.9
01,10,03,10,10181,100.0,5618,55.2,6304,61.9,4563,44.8,1741,17.1,3877,38.1
01,10,03,11,9787,100.0,5368,54.8,6332,64.7,4419,45.2,1913,19.5,3455,35.3
01,10,03,12,10727,100.0,5681,53,6943,64.7,5046,47,1897,17.7,3784,35.3
01,10,03,13,11590,100.0,6059,52.3,7406,63.9,5531,47.7,1875,16.2,4184,36.1
01,10,04,14,5513,100.0,3289,59.7,3091,56.1,2224,40.3,867,15.7,2422,43.9
01,10,04,15,13348,100.0,6171,46.2,9185,68.8,7177,53.8,2008,15,4163,31.2
01,10,04,16,13523,100.0,6048,44.7,9591,70.9,7475,55.3,2116,15.6,3932,29.1
01,20,05,17,3924,100.0,2489,63.4,2157,55,1435,36.6,722,18.4,1767,45
01,20,05,18,7096,100.0,4742,66.8,3826,53.9,2354,33.2,1472,20.7,3270,46.1
01,20,05,19,9592,100.0,5611,58.5,5761,60.1,3981,41.5,1780,18.6,3831,39.9
01,20,05,20,9513,100.0,4841,50.9,6524,68.6,4672,49.1,1852,19.5,2989,31.4
01,20,05,21,5259,100.0,3289,62.5,3133,59.6,1970,37.5,1163,22.1,2126,40.4
01,20,05,22,11521,100.0,4558,39.6,8898,77.2,6963,60.4,1935,16.8,2623,22.8
01,20,06,23,10990,100.0,6023,54.8,7259,66.1,4967,45.2,2292,20.9,3731,33.9
01,20,06,24,6942,100.0,5139,74,3349,48.2,1803,26,1546,22.3,3593,51.8
01,20,06,25,6905,100.0,4293,62.2,4464,64.6,2612,37.8,1852,26.8,2441,35.4
01,20,06,26,6079,100.0,2856,47,4307,70.9,3223,53,1084,17.8,1772,29.1
01,20,06,27,3388,100.0,2328,68.7,2193,64.7,1060,31.3,1133,33.4,1195,35.3
01,20,06,28,3281,100.0,1573,47.9,2395,73,1708,52.1,687,20.9,886,27
