district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
01,10,01,01,3580,165,203,49,466,1219,385,376,717,1711,1581
01,10,01,02,2034,91,105,27,204,799,242,304,262,921,1093
01,10,01,03,5790,287,374,123,632,1943,654,679,1098,2717,2202
01,10,01,04,4889,255,355,129,686,1830,628,557,449,2302,1960
01,10,02,05,2917,112,161,49,361,1130,303,310,491,1372,1528
01,10,02,06,1876,85,112,41,201,658,256,274,249,903,674
01,10,02,07,8844,452,582,134,729,3301,974,1030,1642,4371,3257
01,10,03,08,7297,366,470,123,664,3088,1061,784,741,3569,2502
01,10,03,09,12651,593,865,340,1248,4485,2075,1830,1215,6200,3660
01,10,03,10,10181,464,595,166,1082,4039,1230,1120,1485,4804,3877
01,10,03,11,9787,457,742,210,1246,2950,940,965,2277,5035,3455
01,10,03,12,10727,591,676,175,995,4128,1166,1142,1854,5280,3784
01,10,03,13,11590,572,750,163,1617,4136,1323,1271,1758,5704,4184
01,10,04,14,5513,452,465,102,459,2785,624,360,266,2681,2422
01,10,04,15,13348,647,1005,378,1446,5076,2140,1709,947,6629,4163
01,10,04,16,13523,752,1068,364,1110,5307,2385,1543,994,6766,3932
01,20,05,17,3924,173,285,94,595,1592,429,376,380,1753,1767
01,20,05,18,7096,402,418,127,1159,2879,730,704,677,3304,3270
01,20,05,19,9592,434,610,220,1243,3913,1035,998,1139,4466,3831
01,20,05,20,9513,418,574,190,1174,3635,1071,1169,1282,4542,2989
01,20,05,21,5259,253,386,131,708,1992,573,576,640,2414,2126
01,20,05,22,11521,521,681,234,1218,3652,1312,1643,2260,5838,2623
01,20,06,23,10990,547,731,247,1346,4534,1269,1182,1134,5204,3731
01,20,06,24,6942,596,463,94,853,3720,574,384,258,3253,3593
01,20,06,25,6905,324,598,215,862,2311,807,766,1022,3404,2441
01,20,06,26,6079,255,376,111,601,2183,706,780,1067,2987,1772
01,20,06,27,3388,210,412,121,427,892,405,390,531,1684,1195
01,20,06,28,3281,178,188,61,320,1132,406,506,490,1577,886
01,20,06,29,6039,193,267,81,972,1978,576,735,1237,2931,2118
01,30,07,30,8060,476,803,291,1230,2662,974,771,853,3741,3968
01,30,07,31,8922,495,748,268,1269,3176,979,974,1013,4232,3745
01,30,07,32,10078,642,935,289,1329,3628,1201,1033,1021,4875,4075
01,30,07,33,11684,586,1044,376,1548,4087,1499,1239,1305,5653,4642
01,30,08,34,14258,898,1631,555,1691,4287,1800,1591,1805,7162,4465
01,30,08,35,10821,535,941,301,1737,3027,1243,1228,1809,5510,3641
01,30,08,36,14947,791,1299,439,2206,5362,1870,1482,1498,7073,6364
01,40,09,37,10966,518,705,250,1293,3673,1243,1487,1797,5348,3760
01,40,09,38,9681,454,629,203,1201,3741,1068,1055,1330,4604,3452
01,40,09,39,6149,335,450,134,799,2340,660,645,786,3001,2529
01,40,09,40,7094,497,577,145,634,1938,699,1001,1603,3717,1417
01,40,09,41,3863,184,235,60,395,1003,355,472,1159,2042,1110
01,40,09,42,8789,433,563,178,1205,3525,1015,949,921,4271,3452
01,40,10,43,7627,391,584,259,1066,2490,939,895,1003,3705,3237
01,40,10,44,10226,566,872,309,1261,3964,1210,1043,1001,4861,4636
01,40,10,45,5531,309,528,181,735,2033,670,561,514,2590,2481
01,40,10,46,8869,429,480,172,1218,3772,984,927,887,4198,3138
01,40,10,47,8206,384,518,204,1530,3497,800,688,585,3838,4299
01,40,10,48,9520,440,590,196,1561,3702,1060,1007,964,4448,4081
01,40,10,49,6637,308,471,152,715,2106,730,850,1305,3271,2843
02,10,01,01,7225,354,605,173,1096,2592,907,756,742,3386,3629
02,10,01,02,8660,477,780,315,1221,2689,1058,1027,1093,4265,3200
02,10,01,03,5470,311,511,177,649,1790,680,659,693,2757,1801
02,10,01,04,5550,300,491,200,713,1629,803,733,681,2748,2107
02,10,01,05,9263,485,817,325,1059,2928,1259,1091,1299,4604,3333
02,10,01,06,4813,228,419,200,563,1375,600,700,728,2365,1563
02,20,02,07,2666,206,264,65,191,986,336,224,394,1300,799
02,20,02,08,5745,273,467,176,618,1894,746,824,747,2848,1727
02,20,02,09,10957,542,858,259,982,3882,1595,1444,1395,5420,2810
02,20,02,10,12350,534,817,375,1252,4445,1742,1666,1519,5993,3654
02,20,02,11,14595,655,924,299,1588,4759,1960,2314,2096,7251,3778
02,20,02,12,8340,465,712,222,828,2819,1146,1165,983,4165,2220
02,20,02,13,10004,463,683,255,921,3708,1460,1277,1237,5009,2939
02,30,03,14,7085,247,474,183,712,2153,1224,1120,972,3357,2499
02,30,03,15,8209,348,617,223,898,2710,1242,1125,1046,3944,2811
02,30,03,16,4160,169,303,113,381,1388,640,577,589,2031,1220
02,30,04,17,8301,354,614,225,890,2988,1292,975,963,3992,2884
02,30,04,18,7629,345,504,150,684,2859,1218,1018,851,3723,2398
02,30,04,19,10396,439,627,212,1058,4070,1606,1318,1066,4947,3516
02,40,05,20,5904,317,437,131,519,1628,575,727,1570,3068,1508
02,40,05,21,8712,529,662,172,776,3539,953,849,1232,4388,2425
02,40,05,22,11394,606,862,218,926,4767,1590,1110,1315,5738,2550
02,40,06,23,14037,785,1015,278,1707,5172,1363,1274,2443,7005,4910
02,40,06,24,11887,530,647,222,1685,4712,1581,1253,1257,5561,3646
02,40,06,25,1328,74,73,19,125,849,104,51,33,606,763
02,50,07,26,9175,481,579,142,843,4532,1286,757,555,4313,2603
02,50,07,27,6519,355,451,129,562,2918,923,583,598,3183,1793
02,50,07,28,10073,549,739,216,902,4784,1564,853,466,4951,2644
02,50,07,29,5407,309,463,104,494,2410,819,454,354,2578,1297
02,50,08,30,4071,223,236,69,371,1956,585,378,253,1914,1282
02,50,08,31,7857,364,572,156,722,3782,1072,706,483,3783,2421
02,50,08,32,9541,603,685,178,939,4977,1184,602,373,4496,3278
02,50,08,33,10045,477,564,141,989,5216,1471,791,396,4787,3160
02,50,08,34,11299,572,839,224,1174,5207,1755,990,538,5401,2965
02,50,08,35,8820,544,610,151,984,4317,1024,613,577,4139,3143
02,50,08,36,5137,405,589,139,259,1766,797,570,612,2606,716
03,10,01,01,4720,321,469,125,318,1377,676,618,816,2224,651
03,10,01,02,3505,245,260,81,391,976,370,387,795,1710,994
03,10,01,03,9449,583,917,282,1001,2341,979,1054,2292,4877,2078
03,20,02,04,2423,97,217,67,251,466,306,437,582,1083,433
03,20,02,05,9167,463,890,297,965,2002,1301,1504,1745,4771,1408
03,20,02,06,6842,381,750,221,757,1630,1023,974,1106,3544,1257
03,20,02,07,11799,596,1247,365,1016,2978,1737,1802,2058,6069,1732
03,20,03,08,5261,266,560,181,380,1080,755,1012,1027,2671,436
03,20,03,09,5484,295,623,175,391,1216,710,967,1107,2753,651
03,20,03,10,8088,464,827,276,622,1924,1111,1292,1572,4188,778
03,30,04,11,11764,804,1489,434,1039,3092,1450,1548,1908,6094,2028
03,30,04,12,5226,248,465,150,356,940,658,988,1421,2642,351
03,30,04,13,3195,167,340,108,230,541,480,600,729,1592,163
03,30,05,14,6869,282,714,220,460,1172,935,1326,1760,3493,490
03,30,05,15,49,0,3,6,9,6,0,7,18,25,6
03,30,05,16,9560,647,934,256,945,2618,1080,1379,1701,4657,2392
03,30,05,17,1088,34,77,39,60,132,158,223,365,540,28
03,40,06,18,4783,234,496,174,436,984,711,902,846,2416,436
03,40,06,19,10596,541,860,293,931,2490,1333,1734,2414,5477,1348
03,40,06,20,3506,170,319,150,323,629,533,556,826,1820,437
03,40,07,21,11895,679,1329,468,1059,3605,2066,1419,1270,6161,1796
03,40,07,22,3807,196,344,129,346,866,554,567,805,2061,526
03,40,07,23,7507,512,817,238,715,2571,1047,771,836,3818,1284
03,40,07,24,8494,527,786,258,792,2372,1134,1098,1527,4584,1091
03,40,07,25,7645,423,748,207,537,1833,876,1151,1870,4135,716
03,40,08,26,7222,385,682,195,682,2202,966,900,1210,3729,1372
03,40,08,27,9703,469,786,263,801,3349,1482,1229,1324,4985,1779
03,40,08,28,4934,266,342,102,402,1783,631,589,819,2512,1069
03,40,08,29,5968,268,501,183,759,1642,737,702,1176,3146,1073
