district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01,01,11,01,2049,540,46,58,85,19,62,106,25,18,21,31,74,6,26,381,130,92,27,433,98,51,211,11,44,16,50,82
01,01,11,02,90,42,0,0,3,0,6,14,0,6,3,3,3,0,0,0,0,0,0,12,0,3,9,0,3,3,9,0
01,01,11,03,3041,890,124,32,90,37,50,185,73,118,36,53,181,43,60,423,183,89,35,922,323,83,346,55,94,42,71,125
01,01,11,04,2994,593,70,33,77,35,39,97,55,24,15,53,111,50,24,285,107,83,0,1297,378,63,686,179,128,25,56,220
01,01,11,05,1109,287,17,9,35,28,27,55,22,21,0,21,13,0,13,229,128,48,13,364,47,18,256,9,13,9,40,25
01,01,12,01,1593,385,16,15,46,18,26,31,114,21,9,33,43,9,19,342,155,87,15,331,59,28,196,31,14,42,53,55
01,01,12,02,316,140,14,0,24,9,7,9,14,23,3,9,12,0,6,40,12,9,0,21,3,0,9,0,0,0,32,3
01,01,12,03,630,165,6,15,19,12,9,30,18,6,0,22,12,3,6,224,152,21,0,73,30,9,22,6,0,12,22,12
01,01,12,04,4291,1197,106,49,109,70,91,178,198,80,22,81,145,25,52,891,461,156,46,920,211,55,479,23,178,169,122,155
01,01,13,01,3077,1163,121,35,127,105,122,173,59,77,28,152,66,9,16,385,178,67,26,481,103,57,173,19,41,36,200,57
01,01,13,02,5060,1789,270,63,265,145,165,208,114,72,43,289,162,15,53,500,275,73,18,762,240,54,303,22,101,97,424,90
01,01,13,03,4845,1362,168,66,211,79,134,186,102,64,19,158,134,22,53,566,268,107,34,965,184,55,502,46,177,321,216,129
01,01,13,04,4134,871,72,43,130,18,114,164,95,47,9,54,240,47,51,443,166,89,40,1031,292,47,436,22,162,738,59,136
01,01,13,05,4188,1007,89,29,133,57,111,159,95,27,24,114,98,16,28,643,329,120,29,982,250,40,512,41,160,134,135,177
01,01,13,06,4967,1381,135,54,182,62,109,242,75,78,36,136,207,21,54,464,196,97,38,1132,565,63,301,27,74,169,359,235
01,01,14,01,7829,2785,327,109,412,246,243,371,108,130,47,341,183,12,54,873,403,176,34,1312,249,122,629,27,180,96,478,168
01,01,14,02,5433,2138,307,123,382,173,184,226,60,85,43,345,141,24,40,462,204,81,17,643,131,57,294,18,69,52,561,95
01,02,21,01,1929,672,49,33,65,22,27,223,67,61,28,35,139,54,43,98,39,22,3,705,151,28,424,153,92,6,38,96
01,02,21,02,4318,1277,89,76,93,40,50,317,216,122,72,63,379,53,148,195,67,34,12,1624,567,36,762,177,142,45,64,230
01,02,21,03,218,29,0,3,0,0,0,0,13,7,3,0,21,9,3,3,3,0,0,140,31,10,50,12,12,3,3,9
01,02,21,04,9423,2753,219,159,312,105,158,703,259,162,189,181,762,128,251,538,228,124,34,3232,1323,122,1298,370,339,87,183,568
01,02,21,05,3087,943,60,48,110,18,46,180,266,71,43,31,201,33,107,229,74,72,15,1239,429,35,617,242,128,18,53,171
01,02,21,06,4035,1276,145,59,165,64,84,244,99,127,59,116,197,32,60,436,167,114,34,1095,399,83,414,112,55,26,137,182
01,02,22,01,5466,1541,148,73,200,75,98,355,114,138,72,108,315,71,72,355,145,85,15,2088,985,64,737,169,226,31,114,321
01,02,22,02,3486,758,47,41,125,51,45,119,59,39,27,85,88,9,21,427,199,100,35,1039,531,67,312,66,64,45,86,275
01,02,22,03,4169,925,55,60,72,27,42,237,174,56,67,49,344,86,104,265,119,64,16,1953,1022,39,712,232,163,21,52,371
01,02,22,04,2546,803,86,46,85,24,52,202,45,64,21,62,104,17,41,315,144,78,8,657,263,42,272,55,55,12,89,118
